geo_label_city,date_label,strata_race_label,strata_sex_label,Cancer | All Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Crime Incidents | Homicides,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Injury Deaths,Deaths | Motor Vehicle Deaths,Deaths | Premature Death,Diabetes and Obesity | Diabetes Deaths,Life Expectancy at Birth | Life Expectancy,Mental Health | Suicide,Respiratory Infection | COVID-19 Deaths,Respiratory Infection | Pneumonia or Influenza Deaths,Sexually Transmitted Disease | HIV-Related Deaths,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths
Austin,2013,Black,Female,170.5831454,11.33349479,32.79696731,269.2307855,185.9885008,,801.9881611,,34.87232266,,6924.555949,28.99751303,78.97535044,,,,,9.372485359,
Austin,2013,Black,Male,230.9002143,30.81620866,68.04883426,387.5132082,310.9291019,11.27359839,1182.336403,13.06978654,132.3772683,34.57768767,12425.31324,42.08327351,72.43956599,14.43694307,,,20.27654521,31.58730855,
Austin,2013,Hispanic,Female,113.5380432,9.235979102,10.95230134,122.2149093,73.52056699,,531.2127098,,39.10014555,7.670171443,3154.978246,27.37044736,84.36341751,2.489880743,,9.229411866,,3.792519927,
Austin,2013,Hispanic,Male,134.6289844,19.6352809,17.56315197,188.0380116,135.4268309,5.670538496,682.1045578,6.060148439,68.76870256,17.42966928,5498.331831,30.05711109,79.43502969,6.257961776,,10.38258584,3.616674812,9.035041513,3.668129128
Austin,2013,White,Female,122.1131304,10.07143601,28.52782871,140.7369661,100.0173633,1.402714747,600.5271179,3.808674516,57.50696391,4.511748182,3706.870609,9.916527134,82.98454403,10.5878498,,11.14506554,,15.21983471,1.966882417
Austin,2013,White,Male,175.8392074,12.36430456,42.28631712,232.7265015,180.251321,2.986327418,832.2897901,19.89164274,105.5230289,12.34117079,6212.681408,13.00099475,77.79180137,29.52029589,,10.69499868,2.121226351,22.32410805,6.416429856
Austin,2014,Asian/PI,Female,113.3125943,,,116.4295909,82.47054738,,469.5392242,,20.51483774,,2168.834821,,,,,,,,
Austin,2014,Asian/PI,Male,139.7639183,,31.02159407,126.2486482,70.60458407,,425.9182682,,28.15736745,,2902.934653,,,,,,,,
Austin,2014,Black,Female,170.9660109,,30.42808605,243.0580985,167.5348309,,774.0817622,,41.25487902,,7095.313546,34.06962595,79.36612247,,,,,10.77958447,
Austin,2014,Black,Male,221.2877512,,60.83425167,387.788592,314.1118738,9.728191703,1194.452101,9.73951937,116.8214556,32.54005339,11190.53919,50.55349854,72.35721748,8.87789774,,,17.83390261,24.46180707,
Austin,2014,Hispanic,Female,100.9575747,6.882989719,9.554472742,129.8845782,83.09797306,,526.5917154,,41.74189139,9.234104417,3193.27918,25.35231627,84.59800943,3.663649144,,9.58634617,,4.58134929,
Austin,2014,Hispanic,Male,129.3419707,14.42530364,15.79623829,209.0273369,142.0710755,5.171789702,701.4052773,5.231646142,70.41697542,17.29988577,5348.614121,32.10147404,80.34195727,4.938131758,,11.8906422,,8.21029924,3.287535827
Austin,2014,White,Female,118.94752,8.924757167,29.45251991,141.8474394,100.2882985,1.465809484,595.3608938,3.889712518,60.63082182,4.96121495,3621.185852,8.367266108,82.99145938,10.11441166,,11.24608729,,15.38622966,4.487222429
Austin,2014,White,Male,169.6418889,,37.12777738,226.6068889,177.7065387,3.293424451,816.3347193,18.18003481,104.7717724,12.28213263,5906.625517,13.40639585,77.59604617,28.8668769,,12.54794318,1.878997517,20.24173728,7.488891165
Austin,2015,Asian/PI,Female,90.85531906,,,88.58954638,53.09002857,,371.7468705,,19.89926675,,2204.575191,,,,,,,,
Austin,2015,Asian/PI,Male,147.0094605,,24.39891074,101.1679594,55.00821922,,444.7246766,,26.64496044,,2294.008129,,,,,,,,
Austin,2015,Black,Female,180.1888645,13.83932914,35.48360126,233.5408247,154.1472066,,793.9568269,,44.33682949,,7401.587734,29.30820329,78.09193126,,,,,14.52177974,
Austin,2015,Black,Male,252.8147945,35.27877642,59.771844,439.7145432,312.4878192,15.14615479,1304.292087,18.23916589,113.6549299,25.58385059,11319.04758,49.85744281,72.94698678,11.18961018,,,17.4093126,22.22791588,
Austin,2015,Hispanic,Female,113.2607495,8.667458364,12.21394556,133.3725625,86.5954116,,527.7562919,,37.15275526,8.904076582,3050.921186,22.58679287,83.24606622,2.632968222,,10.24130501,,4.589673057,2.059100798
Austin,2015,Hispanic,Male,120.2451659,9.898106211,13.02884069,196.3587783,130.8866731,4.874610925,646.4998728,6.593032344,66.69206449,16.47875685,5450.118663,25.77538785,80.34458341,8.185311939,,11.93748331,,9.00649633,4.522712783
Austin,2015,White,Female,116.2650811,8.466929986,28.33425611,154.8628696,105.5580849,1.849654886,601.0888106,3.648603072,57.49903177,5.23720826,3385.284345,8.232709311,82.41862132,8.87456686,,10.57466755,,14.04493152,6.655807437
Austin,2015,White,Male,165.9402854,12.35989193,40.13821368,226.9152594,178.8431664,2.889668601,809.9094367,17.52088416,100.104863,13.94761056,5692.454259,13.75987072,78.00274926,28.31043909,,12.58978699,2.106998379,19.08419888,10.23586243
Austin,2016,Asian/PI,Female,77.16156473,,,95.45734543,52.72823003,,336.3162391,,18.27509018,,1995.43342,,,,,,,,
Austin,2016,Asian/PI,Male,116.3701331,,26.11640135,94.33596847,53.6413976,,410.1407932,,19.02792699,,2327.305679,,,,,,,,
Austin,2016,Black,Female,155.7512577,13.71124048,32.74421211,227.5590738,150.7538647,,735.752241,,46.57624862,,7461.798744,23.87192639,77.78475346,,,,,18.53120897,10.80760329
