,,,,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
Boston,2014,Natives,Both,,9.240246407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.74521775,16.7746114,,,0.0,0.0,,,,,,,22.61251372,3.422330097,,,,,,19383.0,,24.06483791,19.92409867,,,52.27934045,7.69919427,,,,,,,,,,,,,,,,,,,,,,,,,,28.86937431,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57289528,,,37.67967146
Boston,2014,White,Both,,18.25778855,,,,6.670991459,91.30684428,,2.30446447,175.7992892,18.82510729,15.15624445,45.92101429,18.33014907,196.4469509,153.274706,,,,748.2008086,1.129595158,3.611251901,52.70201745,,3.251828256,0.755277311,5239.390349,,,,16.25684155,,,,10.26510564,68.01252582,,,2.570986408,1.669345864,,,,,,,44.7305998,1.235606061,,,,,,59438.0,,12.17770639,9.376301738,,,17.63676149,4.791666667,,,,,,,,,80.21364613,,,,6.645314438,,,,,,,,,,,,,8.342787264,,,,,,,,,,53.0,,18.4520191,,,1.943381464,,,,,,,,27.8580574,23.66544661,,,,39.70175175,,,28.67718004
Boston,2014,White,Female,,,,,,,,,,152.7519308,,12.05952108,40.88178458,,155.5954687,116.1431758,,,,624.8231886,,,34.97295695,,2.865168216,,3732.923101,,,,14.38054635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.79535688,,,,3.855278634,,,,,,,,,,,,,,,,,,,,,,,,,16.44851774,,,,,,,,,,,17.21314197,15.25699512,,,,,,,
Boston,2014,White,Male,,,,,,,,,,208.3990785,,18.3113293,52.49401123,,246.5233494,198.6320233,,,,899.4102411,2.007730608,,71.12627203,,3.7166762,,6677.337525,,,,18.60939069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.50652878,,,,9.446498502,,,,,,,,,,,,,,,,,,,,,,,,,22.07126907,,,3.816263757,,,,,,,,37.59530986,31.49039525,,,,,,,
Boston,2015,All,Both,2.110860052,14.62594462,0.273972603,34.52054795,10.5,8.679342905,84.70254958,,9.564236917,149.7292169,16.11001241,12.22003869,37.14531893,21.11899903,161.4062382,120.5086696,25.1,4.567537827,706.7934546,632.7147907,4.611128807,5.353291894,51.86945965,14.29286072,4.834456912,0.333694558,5278.812545,-0.755277311,21.9,8.5,19.59869202,14.5,14.6,16.9,12.2712211,47.39025143,60.98291222,17.46198604,3.876590989,1.365945066,11.3,37.05882353,23.12142857,5.153846154,34.88909427,970.1744581,35.34792899,1.829020055,7.852341945,0.792205792,0.06495105,0.5425,57.27522423,39686.0,36.40559767,20.54213423,29.69745963,34.02246713,19.80974741,31.24651961,7.336930965,28.34607073,4.151005865,62.40004414,16.7887999,0.349969013,1.924829572,55.17095736,57.08849681,81.11007992,13.7,8.1,11.8,5.534387544,26.7,9.7,65.8,26.1,44.4,69.9,62.8,25.4,30.9,16.28374764,13841.59358,10.99800047,11.9071227,55.09416311,37.96191435,71.75250609,53.94568883,50.80426758,25.8,,,,46.0,6.1,11.79127737,20.0,11.7,3.21601009,836.6,259.6,70.9,11.3,0.0,21.7,16.4,25.13732313,20.53266283,24.8,22.3,4.8,39.03425143,34.29257415,49.36662554,33.63852467
Boston,2015,All,Female,,,,,11.3,,,,,126.9662666,,9.491885385,29.33862271,,130.6325156,92.30455493,,,,513.2321988,,,28.11837418,,3.850760563,,3632.849552,,,,16.36054659,11.4,14.3,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.99943091,,10.0,14.0,2.394285835,32.6,12.8,,,45.4,78.0,67.9,29.5,28.8,,,,,,,,,,,,,,,,9.333033614,17.0,5.4,1.560994874,,,,,,,,13.39838944,11.03336568,28.4,21.7,3.4,,,,
Boston,2015,All,Male,,,,,9.8,,,,,185.9416786,,15.92033202,48.72150997,,203.4318505,159.4292189,,8.641559348,,795.1147501,9.149508324,,79.11582174,,6.047874298,,7051.479587,,,,23.59354776,17.3,15.1,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.85318178,,5.9,9.3,9.08284268,20.7,6.5,,,43.5,62.0,57.9,21.0,33.1,,,,,,,,,,,,,,,,15.8831712,22.9,17.7,5.242850561,,,,,,,,37.67806656,30.66037147,21.3,22.8,6.0,,,,
Boston,2015,Asian/PI,Both,,22.42027856,,,,8.558352403,86.20689655,,0.993739442,121.5110398,12.86129524,8.293168388,37.35441754,,93.05323403,59.07862798,,,,370.7559899,,2.808199944,18.54070264,,,,2549.419102,,,,8.553011033,8.1,12.1,3.8,9.279754271,50.47856943,,,3.589353853,1.016132411,,,,,,,28.19375673,2.546884545,,,,,,30568.0,,31.15208186,27.19969396,,,30.02857333,7.285217016,,,,,,,,,86.95173531,,5.0,7.0,,22.1,7.9,,,62.8,81.7,58.4,26.1,11.7,,,,10.25618945,,,,,,,,,,42.0,,,7.6,5.5,,,,,,,,,,,14.5,9.5,2.6,30.51950252,,,31.67169338
Boston,2015,Asian/PI,Female,,,,,,,,,,100.2415313,,,25.37413515,,83.37716896,46.49329629,,,,314.5099196,,,12.69500534,,,,2302.668173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,2015,Asian/PI,Male,,,,,,,,,,149.2491065,,,52.78996645,,104.4707671,74.85029476,,,,442.0805213,,,26.01113668,,,,2879.253013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,2015,Black,Both,,6.433254181,,,8.3,11.23255201,76.92734332,,19.7693575,159.9483431,18.90373004,14.8556606,31.05883315,39.40914457,175.554805,121.1771078,,15.07751913,,693.4148886,15.08020348,7.419305492,57.99565294,,6.698867327,,7022.893447,,,,34.90600149,17.2,15.3,18.4,16.6991452,21.26468994,,,4.575886186,1.195902448,,,,,,,29.6009772,2.37826685,,,,,,23059.0,,23.97974616,35.4598388,,,46.15625902,11.01223706,,,,,,,,,80.09851912,,5.7,11.7,6.657047037,26.6,7.3,,,41.0,68.3,63.8,25.8,38.0,,,,40.43498914,,,,,,,,,,37.0,,11.1948769,19.1,12.1,6.792422804,,,,,,,,19.46933664,14.07239089,18.1,21.7,3.2,45.11924427,,,37.99168904
Boston,2015,Black,Female,,,,,,,,,,134.978893,,11.72828062,24.68361394,,,,,,,,,,30.143648,,5.91930854,,5077.899126,,,,28.66969561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.16602999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22270886,,,3.78472201,,,,,,,,12.28214397,8.734166982,,,,,,,
Boston,2015,Black,Male,,,,,,,,,,201.183643,,19.41683794,40.28098878,,222.1760503,166.0269263,,30.47437323,,881.673645,31.48828366,,92.12413157,,7.857273459,,9331.913908,,,,44.56771406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.27694447,,,,11.65823732,,,,,,,,,,,,,,,,,,,,,,,,,13.13588576,,,10.71304557,,,,,,,,28.75070584,20.78098013,,,,,,,
Boston,2015,Hispanic,Both,,9.86353923,,,11.2,9.001058948,83.77773634,,24.77393782,91.01740123,,5.535627616,14.85028778,20.56905452,97.22933063,70.99519367,,5.536642488,,428.5181147,4.935884389,5.362212175,45.34783911,,4.979628854,,4571.607934,,,,20.71911266,15.6,16.5,20.5,13.3388831,20.3032978,,,5.90505236,1.352572352,,,,,,,16.23463295,5.159671138,,,,,,19596.0,,31.3244794,42.75418429,,,55.53657094,9.783752538,,,,,,,,,86.82176838,,8.4,13.2,3.149196767,29.0,13.5,,,42.7,70.2,64.5,25.6,32.3,,,,40.88280061,,,,,,,,,,38.0,,7.074251039,23.3,12.6,,,,,,,,,27.30465968,20.72708269,31.8,26.0,5.7,33.81905066,,,44.22439468
Boston,2015,Hispanic,Female,,,,,,,,,,75.20148603,,,8.778611926,,80.47075206,58.40142217,,,,314.8141583,,,16.47313646,,,,2721.771141,,,,13.34011036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.993590363,5.412431247,,,,,,,
Boston,2015,Hispanic,Male,,,,,,,,,,118.2126149,,,23.2267525,,118.6425619,87.55174131,,10.89607131,,589.5090992,9.627885277,,78.02783499,,7.377351558,,6657.582427,,,,31.73792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.77725773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65212098,,,,,,,,,,,52.47243837,38.75934588,,,,,,,
Boston,2015,Natives,Both,,9.240246407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.74521775,16.7746114,,,0.0,0.0,,,,,,,22.61251372,3.422330097,,,,,,19383.0,,24.06483791,19.92409867,,,52.27934045,7.69919427,,,,,,,,,,,,,,,,,,,,,,,,,,28.86937431,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57289528,,,37.67967146
Boston,2015,White,Both,,18.25778855,,,,6.570143688,91.39784946,,1.664571797,167.8312756,17.7114489,13.17209438,46.00725206,17.7186886,184.5722867,143.7762374,,,,715.1769551,1.27448221,3.855297822,60.67973372,,4.285342927,0.755277311,5333.502502,,,,15.38187599,9.7,9.0,12.8,10.26510564,68.01252582,,,2.570986408,1.669345864,,,,,,,44.7305998,1.235606061,,,,,,59438.0,,12.17770639,9.376301738,,,17.63676149,4.791666667,,,,,,,,,79.66690103,,12.8,9.9,6.419432744,24.1,4.4,,,45.1,61.3,63.7,18.4,21.8,,,,8.342787264,,,,,,,,,,49.0,,14.25350211,20.9,10.4,2.514443746,,,,,,,,33.70524157,29.22399965,35.4,21.9,5.3,39.70175175,,,28.67718004
Boston,2015,White,Female,,,,,,,,,,146.3692179,,10.50253048,38.66469048,,145.9152642,108.1962873,,,,586.7563434,,,36.43360749,,3.189657769,,3648.720187,,,,13.92443902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.57699253,,,,2.83032323,,,,,,,,,,,,,,,,,,,,,,,,,11.48242441,,,,,,,,,,,20.8237191,18.14680148,,,,,,,
Boston,2015,White,Male,,,,,,,,,,201.3327259,,16.47368532,56.37457919,,233.1520787,188.4446146,,,,877.8053451,2.299461975,,86.38607327,,5.609054151,,6937.838596,,,,16.89659001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.35651994,,,,10.0547037,,,,,,,,,,,,,,,,,,,,,,,,,19.08070051,,,4.707883581,,,,,,,,45.58667697,39.57545612,,,,,,,
Boston,2016,All,Both,2.110860052,14.62594462,0.0,30.32786885,10.5,8.663387695,82.93678665,9.625345304,8.626666667,145.527311,17.95171355,11.06377391,33.07528855,23.02562114,161.7989689,120.4909757,25.1,5.003624881,707.3959755,633.7634004,5.125302122,5.351016437,57.01351772,14.29286072,4.319174995,0.333694558,5353.568888,-0.755277311,22.9,8.4,20.61675808,14.5,14.6,16.9,12.2712211,47.39025143,60.98291222,16.36890842,3.876590989,1.365945066,11.3,37.05882353,23.12142857,5.153846154,37.03525641,932.5151907,35.34792899,1.829020055,7.852341945,0.824198718,0.06495105,0.5425,57.27522423,39686.0,36.40559767,20.54213423,29.69745963,34.02246713,19.80974741,31.24651961,7.336930965,28.34607073,4.151005865,62.40004414,16.7887999,0.379704426,1.842683245,54.25334249,57.08849681,80.72066974,13.9,8.1,11.8,5.814262596,26.7,9.7,66.6,19.9,44.4,69.9,62.8,25.4,30.9,16.28374764,13841.59358,10.99800047,11.9071227,55.09416311,37.96191435,71.75250609,53.94568883,50.80426758,25.8,,,,49.0,6.2,11.69353393,20.0,11.7,3.197202813,825.0,295.0,86.1,9.9,0.0,22.8,16.4,31.04589515,25.39291403,24.8,22.3,4.8,39.03425143,34.29257415,49.36662554,33.63852467
Boston,2016,All,Female,,,,,,,,,,125.8696516,,8.10940741,27.45187931,,133.4415305,95.71775676,,,,522.1807034,,,29.87116456,,3.154367726,,3730.375438,,,,17.28498961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.45490745,,,,2.528631752,,,,,,,,,,,,,,,,,,,,,,,,,9.914068711,,,1.425742295,,,,,,,,15.46676852,11.92033136,,,,,,,
Boston,2016,All,Male,,,,,,,,,,177.1213673,,15.22556139,41.33321006,,199.1858759,153.9170531,,9.421853588,,781.1208601,10.1026177,,87.19524694,,5.755556174,,7102.056091,,,,24.84793633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.65206278,,,,9.616700045,,,,,,,,,,,,,,,,,,,,,,,,,14.68019623,,,5.384891478,,,,,,,,47.82137231,39.83813691,,,,,,,
Boston,2016,Asian/PI,Both,,22.42027856,,,,8.701594533,84.46288612,9.111617312,,111.3161902,,7.695306201,34.02224033,,93.53059984,50.97285536,,,,359.6798283,,,21.13221341,,,,2549.495675,,,,7.257272582,,,,9.279754271,50.47856943,,,3.589353853,1.016132411,,,,,,,28.19375673,2.546884545,,,,,,30568.0,,31.15208186,27.19969396,,,30.02857333,7.285217016,,,,,,,,,85.65809009,,,,5.454858474,,,,,,,,,,,,,10.25618945,,,,,,,,,,49.0,,6.817620412,,,,,,,,,,,,,,,,30.51950252,,,31.67169338
Boston,2016,Asian/PI,Female,,,,,,,,,,89.43995289,,,20.71089319,,93.55362688,45.38944696,,,,320.9175837,,,14.66082507,,,,2391.817484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,2016,Asian/PI,Male,,,,,,,,,,140.5114208,,,50.82508268,,96.7218885,59.0036149,,,,419.7066688,,,29.40987228,,,,2805.508823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.58037582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,2016,Black,Both,,6.433254181,,,,11.32946452,75.38835607,11.37053159,17.60420882,164.862277,24.91128284,14.19140951,29.59541976,42.47684521,181.6934625,124.3393629,,17.02379898,,713.5723834,17.46661797,7.371198014,66.87682115,,6.753070347,,7222.531895,,,,36.05365436,,,,16.6991452,21.26468994,,,4.575886186,1.195902448,,,,,,,29.6009772,2.37826685,,,,,,23059.0,,23.97974616,35.4598388,,,46.15625902,11.01223706,,,,,,,,,79.48981997,,,,6.657895025,,,,,,,,,,,,,40.43498914,,,,,,,,,,39.0,,9.870732183,,,6.030785626,,,,,,,,27.06909915,19.62530726,,,,45.11924427,,,37.99168904
Boston,2016,Black,Female,,,,,,,,,,142.5977087,,10.91863726,24.95841943,,,,,,,,,,31.82539162,,5.273957268,,5220.581472,,,,31.51610052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.65310249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12125031,,,,,,,,,,,14.45959197,9.108689882,,,,,,,
Boston,2016,Black,Male,,,,,,,,,,199.6139429,,18.97535045,36.27229747,,216.6498211,156.4980226,,34.15391868,,856.9052777,35.9012712,,108.407826,,8.573415252,,9581.59522,,,,42.06918139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.77455373,,,,12.64507073,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29843272,,,,,,,,43.10057708,32.89942974,,,,,,,
Boston,2016,Hispanic,Both,,9.86353923,,,,9.08617999,81.22788393,10.16126235,22.6509023,87.77922533,,5.464784306,13.58266443,27.85412311,116.2369669,83.69380651,,5.586931156,,458.1097808,4.728791708,5.888538381,54.26699003,,4.521939253,,4773.933809,,,,22.78365188,,,,13.3388831,20.3032978,,,5.90505236,1.352572352,,,,,,,16.23463295,5.159671138,,,,,,19596.0,,31.3244794,42.75418429,,,55.53657094,9.783752538,,,,,,,,,87.27886807,,,,2.808933617,,,,,,,,,,,,,40.88280061,,,,,,,,,,42.0,,8.087999601,,,2.976719396,,,,,,,,35.15473305,28.18583368,,,,33.81905066,,,44.22439468
Boston,2016,Hispanic,Female,,,,,,,,,,68.92555335,,,7.417680094,,87.90606093,61.50907645,,,,321.0580018,,,19.02718911,,,,2810.99831,,,,12.47458695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.924821098,6.376957434,,,,,,,
Boston,2016,Hispanic,Male,,,,,,,,,,130.3418223,,,22.38928278,,162.3440008,121.7202896,,10.26327896,,680.6276168,9.052419209,,94.41684884,,6.464731939,,6932.959783,,,,41.35473498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.18212246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.50998596,,,,,,,,,,,67.41280207,52.85487285,,,,,,,
Boston,2016,Natives,Both,,9.240246407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.74521775,16.7746114,,,0.0,0.0,,,,,,,22.61251372,3.422330097,,,,,,19383.0,,24.06483791,19.92409867,,,52.27934045,7.69919427,,,,,,,,,,,,,,,,,,,,,,,,,,28.86937431,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57289528,,,37.67967146
Boston,2016,White,Both,,18.25778855,,,,6.294256491,89.86348123,8.165560679,1.264685326,160.5194404,19.66904238,11.29072961,40.15594096,18.68624001,178.9251934,141.6001932,,,,705.7452988,1.356412323,3.596181509,64.60047785,,3.275457986,0.755277311,5400.218345,,,,16.54728432,,,,10.26510564,68.01252582,,,2.570986408,1.669345864,,,,,,,44.7305998,1.235606061,,,,,,59438.0,,12.17770639,9.376301738,,,17.63676149,4.791666667,,,,,,,,,79.67024578,,,,6.815019876,,,,,,,,,,,,,8.342787264,,,,,,,,,,53.0,,14.35909961,,,2.281087947,,,,,,,,39.64318548,34.32712979,,,,39.70175175,,,28.67718004
Boston,2016,White,Female,,,,,,,,,,144.0371713,,,36.51543084,,144.5252274,110.7219944,,,,584.7464156,,,37.29465175,,,,3720.81086,,,,14.73362709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.89277285,,,,3.291867827,,,,,,,,,,,,,,,,,,,,,,,,,12.0879764,,,,,,,,,,,23.91039059,19.56909184,,,,,,,
Boston,2016,White,Male,,,,,,,,,,188.8376503,,15.90648245,45.68318731,,222.4419443,180.9242067,,,,861.2356915,2.445567475,,92.42079824,,5.357433026,,7020.181598,,,,18.89892976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3018026,,,,10.25999819,,,,,,,,,,,,,,,,,,,,,,,,,18.26669176,,,4.132301839,,,,,,,,54.41548268,48.27779082,,,,,,,
Boston,2017,All,Both,2.110860052,14.62594462,0.821917808,47.67123288,14.5,8.651621633,82.20001769,9.807860262,7.468339291,142.5847735,17.65463405,9.894651859,31.93342339,23.65170215,155.0509146,113.3813403,23.8,5.588071087,669.2019218,614.6469481,5.476673083,5.315854666,59.57479952,14.29286072,4.131461309,0.333694558,5220.660095,-0.755277311,24.6,8.8,21.30637643,15.4,16.8,15.3,12.2712211,47.39025143,60.98291222,16.36890842,3.876590989,1.365945066,11.3,35.29411765,23.12142857,5.153846154,32.87693562,916.8238293,35.34792899,1.829020055,7.852341945,0.838304808,0.06495105,0.5425,57.27522423,39686.0,36.40559767,20.54213423,29.69745963,34.02246713,19.80974741,31.24651961,7.336930965,28.34607073,4.151005865,62.40004414,16.7887999,0.310478655,1.570874145,54.59259857,57.08849681,80.82508199,14.4,9.2,10.6,6.367723694,33.4,10.1,66.6,23.6,44.1,70.4,59.8,27.5,23.7,16.28374764,13841.59358,10.99800047,11.9071227,55.09416311,37.96191435,71.75250609,53.94568883,50.80426758,25.8,,,,51.0,6.7,11.40767176,18.6,9.9,2.599501246,822.8,326.7,120.9,19.0,0.0,22.6,16.4,34.07169873,27.68218983,22.9,24.4,3.1,39.03425143,34.29257415,49.36662554,33.63852467
Boston,2017,All,Female,,,,,19.3,,,,,123.6739661,,6.851669617,27.83298359,,127.1519761,90.14925539,,,,504.519823,,,27.61392445,,2.218220995,,3563.538905,,,,17.09352122,13.5,14.1,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.04857866,,10.3,10.8,2.275831778,40.8,11.8,,,44.5,77.3,61.3,34.8,25.2,,,,,,,,,,22.7,,,,,,10.15105857,14.9,6.3,1.845894811,,,,,,,,16.06719607,12.13491527,29.9,24.3,2.2,,,,
Boston,2017,All,Male,,,,,9.5,,,,,172.8412091,,14.28521464,38.0358236,,190.9177618,143.4655868,,10.92349159,,757.1988853,10.92225613,,95.6087342,,6.443139945,,7007.404035,,,,26.25129781,17.3,19.0,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6237502,,8.2,10.3,11.22455805,26.0,8.2,,,44.0,63.7,58.2,20.1,22.2,,,,,,,,,,29.2,,,,,,13.17085364,22.1,13.1,3.545236002,,,,,,,,53.50151288,44.40685451,15.6,24.4,3.9,,,,
Boston,2017,Asian/PI,Both,,22.42027856,,,,7.367933272,84.46420215,8.016682113,,116.9852003,14.37037121,8.408557722,28.78728737,,105.1061689,53.86950184,,,,374.8753682,,2.746498215,21.5236304,,,,2576.092251,,,,9.690939879,6.5,12.3,6.8,9.279754271,50.47856943,,,3.589353853,1.016132411,,,,,,,28.19375673,2.546884545,,,,,,30568.0,,31.15208186,27.19969396,,,30.02857333,7.285217016,,,,,,,,,87.05712556,,7.7,9.8,5.055945362,30.4,12.1,,,57.6,79.7,65.1,29.2,11.8,,,,10.25618945,,,,,,26.4,,,,51.0,,7.534571216,8.7,6.3,,,,,,,,,,,13.4,8.4,2.3,30.51950252,,,31.67169338
Boston,2017,Asian/PI,Female,,,,,,,,,,95.9838777,,,16.44517743,,98.83344893,49.26712107,,,,316.7766586,,,12.47280887,,,,2238.107348,,,,11.40199767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,2017,Asian/PI,Male,,,,,,,,,,145.1348328,,14.19543297,44.52424129,,111.4336395,58.72503106,,,,448.6375633,,,33.07046856,,,,3037.132381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09535441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,2017,Black,Both,,6.433254181,,,17.6,11.67383127,74.47595561,11.58446445,16.32293502,159.190517,23.12853523,12.37438172,28.33833043,44.71573962,187.4280337,129.4111054,,19.29939691,,723.5528529,18.70260209,7.572769583,69.93619491,,6.389864117,,7383.947219,,,,39.99119602,17.4,20.6,18.1,16.6991452,21.26468994,,,4.575886186,1.195902448,,,,,,,29.6009772,2.37826685,,,,,,23059.0,,23.97974616,35.4598388,,,46.15625902,11.01223706,,,,,,,,,80.03677063,,9.3,11.3,6.569637673,34.2,11.0,,,43.3,72.6,58.4,31.5,29.7,,,,40.43498914,,,,,,25.3,,,,40.0,,8.30219069,18.1,9.5,5.233504126,,,,,,,,31.53797288,21.83336521,18.0,24.7,1.8,45.11924427,,,37.99168904
Boston,2017,Black,Female,,,,,,,,,,139.633007,,,24.04398521,,,,,,,,,,29.7545623,,4.187787301,,5128.719697,,,,33.03066455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.21797404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99014755,,,3.371481566,,,,,,,,15.35267536,9.48425745,,,,,,,
Boston,2017,Black,Male,,,,,,,,,,189.032358,,,34.41573536,,219.7263859,155.6286243,,38.61346977,,868.7758566,37.68213849,,117.8792763,,9.235269362,,10072.64962,,,,48.77483664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.15540974,,,,12.88857791,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.689585033,,,,,,,,52.22387259,37.53595927,,,,,,,
Boston,2017,Hispanic,Both,,9.86353923,,,14.1,9.326060179,79.44058436,10.55780398,20.35510463,88.14879932,10.13349506,7.204508519,11.55208646,26.66881296,118.8976882,83.63794315,,7.126493386,,481.3421416,5.045141215,5.81641286,67.0043894,,3.656177126,,4848.877364,,,,28.92535863,18.6,17.9,17.6,13.3388831,20.3032978,,,5.90505236,1.352572352,,,,,,,16.23463295,5.159671138,,,,,,19596.0,,31.3244794,42.75418429,,,55.53657094,9.783752538,,,,,,,,,83.91585218,,8.9,9.5,4.544839059,34.8,9.8,,,43.7,72.2,59.0,29.2,24.0,,,,40.88280061,,,,,,29.2,,,,43.0,,8.379016783,20.1,11.4,,,,,,,,,44.91687918,36.30851151,25.1,26.8,3.2,33.81905066,,,44.22439468
Boston,2017,Hispanic,Female,,,,,,,,,,70.78302481,,,,,94.26061824,63.40666755,,,,353.0978844,,,23.99160339,,,,2709.651206,,,,17.67283722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25631622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.87618584,10.36092639,,,,,,,
Boston,2017,Hispanic,Male,,,,,,,,,,122.3057703,,,18.62982506,,155.3598048,114.5046409,,14.16580188,,665.3817782,9.958558003,,116.7261399,,5.292649183,,7249.922409,,,,46.63962515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0771915,,,,7.097838568,,,,,,,,,,,,,,,,,,,,,,,,,16.88352037,,,,,,,,,,,82.84707749,65.51883515,,,,,,,
Boston,2017,Natives,Both,,9.240246407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.74521775,16.7746114,,,0.0,0.0,,,,,,,22.61251372,3.422330097,,,,,,19383.0,,24.06483791,19.92409867,,,52.27934045,7.69919427,,,,,,,,,,,,,,,,,,,,,,,,,,28.86937431,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57289528,,,37.67967146
Boston,2017,White,Both,,18.25778855,,,,6.22899395,89.26432365,8.39403788,0.853242321,156.487087,18.56623879,9.690419742,40.047057,18.08596466,161.2060543,125.6235767,,,,656.6276702,1.661655951,3.513191038,64.60867565,,3.695680001,0.755277311,5107.861083,,,,14.79614551,7.3,7.8,7.1,10.26510564,68.01252582,,,2.570986408,1.669345864,,,,,,,44.7305998,1.235606061,,,,,,59438.0,,12.17770639,9.376301738,,,17.63676149,4.791666667,,,,,,,,,80.72972216,,12.0,12.3,8.009597019,29.9,6.4,,,39.3,54.4,64.7,12.2,15.4,,,,8.342787264,,,,,,17.0,,,,55.0,,14.02507875,18.6,7.7,1.595700708,,,,,,,,40.37668179,34.93051158,39.5,30.4,6.1,39.70175175,,,28.67718004
Boston,2017,White,Female,,,,,,,,,,139.880765,,,38.64060284,,128.6771584,96.8223918,,,,542.3987328,,,33.11134734,,,,3532.146661,,,,11.84550679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.15154137,,,,3.411412624,,,,,,,,,,,,,,,,,,,,,,,,,12.88976849,,,,,,,,,,,22.81673056,18.10438218,,,,,,,
