,,,,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
Austin,2010,Black,Male,,,,,,,,,,305.9965893,,21.02780127,66.93026818,,350.0364904,263.8762244,,15.81001622,,1153.246434,19.61465966,,101.3662228,,,,10945.54208,,,,25.54371488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.50246828,,,,,,,,33.41172603,,,,,,,,
Austin,2010,Hispanic,Both,,,,,,7.56941213,53.15785375,,77.94091788,134.2368221,8.807824841,14.26523017,22.17212176,28.0957801,173.7642223,125.7703287,,4.851729185,,656.1195646,5.094668925,,53.16989102,20.48891678,9.725707294,0.356257811,4657.919234,,,,25.88104985,,,,7.358185112,18.17644689,,,,,,,,,,,34.62873493,1.887775144,,,,,,16570.0,,29.58054448,40.71502173,,,57.64453585,9.00269075,,,,,,,,,,,,,4.742059421,,,,,,,,,,,,,,,,,,,,,,,,,6.361817076,,,,449.9,,,,,,,7.564694252,3.28517431,,,,,,,
Austin,2010,Hispanic,Female,,,,,,,,,,103.7544578,,12.22439445,17.24144602,,140.8506695,93.68691194,,3.400617222,,534.7145243,,,37.63764859,,3.736869326,,3312.773042,,,,29.04607198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.193495205,,,,,,,,
Austin,2010,Hispanic,Male,,,,,,,,,,184.4562198,,18.52787179,27.95463135,,236.2237151,185.8230248,,6.206742003,,871.7253644,7.145543415,,68.63379166,,15.59411179,,6004.098064,,,,19.98190816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0040341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.806397742,4.272863082,,,,,,,
Austin,2010,Natives,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.20579046,21.33956386,,,,,,,,,,,50.17751479,0.992924528,,,,,,19801.0,,28.60142797,43.02884615,,,50.16820858,7.829457364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,2010,White,Both,,,,,,6.654777548,84.19813542,,13.08223875,155.2409969,20.74383132,11.52692511,38.94136296,18.27991542,187.9392192,139.377853,,2.126556539,,694.3818927,9.093862108,,74.40119336,,8.509247251,0.486660277,4926.24818,,,,13.31094517,,,,8.726448065,59.29115765,,,,,,,,,,,52.15281287,0.917442119,,,,,,44166.0,,11.1761529,5.808207008,,,19.66626083,5.62352146,,,,,,,,,,,,,16.9749379,,,,,,,,,,,,,,,,,,,,,,,,,10.6373331,,,1.702132824,347.9,,,,,,,19.10024526,7.158902615,,,,,,,
Austin,2010,White,Female,,,,,,,,,,136.9851695,,11.5943144,29.5733417,,152.8290376,103.8914782,,,,599.2314014,2.740325488,,52.23603332,,5.043600583,,3729.416655,,,,10.41500023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.608157048,,,,,,,,,,,,,,,,,,,,,,,,,9.317621025,,,,,,,,,,,16.27051623,5.966741308,,,,,,,
Austin,2010,White,Male,,,,,,,,,,184.7959735,,11.21135897,52.31478343,,234.3856937,187.8922057,,2.38516509,,821.344639,15.72979042,,99.13700974,,11.93549962,,6108.084778,,,,17.0216383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.72699917,,,,,,,,,,,,,,,,,,,,,,,,,12.67401831,,,3.12256567,,,,,,,,21.94356713,8.366898792,,,,,,,
Austin,2011,All,Both,1.458997071,2.506039282,3.835616438,38.35616438,,7.858909405,69.53899597,,43.60932209,153.5496807,20.91776589,13.0556767,34.39627128,19.21178866,190.5724099,139.7086185,23.4,3.528983476,430.099799,699.6835869,8.42025155,,65.60496562,16.82868955,8.901790665,0.695747522,5095.44413,4.16935343,25.3,7.7,17.468989,,,,8.49604215,44.78169182,42.98900322,63.14366606,,,41.25,28.32369942,50.90238095,7.769230769,,,45.06290051,1.21912036,8.145933655,,0.003340583,0.4876,51.89652475,31387.0,37.98052897,19.39894657,27.23602876,,10.18525051,32.72458,7.334555582,19.08120494,,,,,1.927904408,10.1397925,6.288232493,80.50109886,10.1,,,13.08844854,,,62.4,20.3,,,,,,22.04468091,2685.086346,6.921902795,10.98588611,51.36841684,40.61898946,57.92412466,49.97393478,44.16342767,,,,,50.0,4.9,10.25600055,,,2.55767505,449.3,594.2,142.8,9.4,19.4,21.4,14.1,15.11811444,5.043283277,,,,71.70185205,7.104797372,,4.673878794
Austin,2011,All,Female,,,,,,,,,,135.3534076,,11.44185867,26.77719818,,155.2753939,105.2340192,,2.204353444,,602.0807624,2.208961446,,42.29106567,,3.928297747,,3761.318821,,,,17.10964739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.45927815,,,,5.174335824,,,,,,,,,,,,,,,,,,,,,,,,,10.01150513,,,0.973466568,124.2,,,,,,,11.30281136,3.29382593,,,,,,,
