,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Lung Cancer Deaths,Deaths | Motor Vehicle Deaths,Heat and Disasters | Community Social Vulnerability to Climate Disasters,Income | Per-capita Household Income,Mental Health | Adult Mental Distress,Respiratory Infection | New Tuberculosis Cases
0,20,0,0,2,1,0,0,0,2010,35.9764409,8.533844633,28.32369942,31387.0,10.1,6.5
1,20,0,1,2,1,0,0,0,2010,27.7824158,4.109670849,32.690283848,27726.0,12.139999999999999,5.1
2,20,0,2,2,1,0,0,0,2010,47.84770899,13.02870944,32.690283848,27726.0,12.139999999999999,5.1
3,20,4,0,2,1,0,0,0,2010,20.29132237285714,7.7544651117721495,32.690283848,31998.0,12.139999999999999,5.1
4,20,4,1,2,1,0,0,0,2010,21.393564248000004,4.275839673473587,32.69028384799999,27317.0,12.139999999999999,5.1000000000000005
5,20,4,2,2,1,0,0,0,2010,33.741681372500004,8.12345181421893,32.69028384799999,27317.0,12.139999999999999,5.1000000000000005
6,20,2,0,2,1,0,0,0,2010,51.94070369,9.57577561225,32.690283848,19782.0,12.139999999999999,5.1
7,20,2,1,2,1,0,0,0,2010,42.64307796,3.695052457,32.69028384799999,18175.2,12.139999999999999,5.1000000000000005
8,20,2,2,2,1,0,0,0,2010,66.93026818,15.556556775,32.69028384799999,18175.2,12.139999999999999,5.1000000000000005
9,20,3,0,2,1,0,0,0,2010,22.17212176,9.725707294,32.690283848,16570.0,12.139999999999999,5.1
10,20,3,1,2,1,0,0,0,2010,17.24144602,3.736869326,32.69028384799999,14187.8,12.139999999999999,5.1000000000000005
11,20,3,2,2,1,0,0,0,2010,27.95463135,15.59411179,32.69028384799999,14187.8,12.139999999999999,5.1000000000000005
12,20,5,0,2,1,0,0,0,2010,47.524339477999995,9.435881774799999,32.690283848,19801.0,12.139999999999999,5.1
13,20,1,0,2,1,0,0,0,2010,38.94136296,8.509247251,32.690283848,44166.0,12.139999999999999,5.1
14,20,1,1,2,1,0,0,0,2010,29.5733417,5.043600583,32.69028384799999,38129.6,12.139999999999999,5.1000000000000005
15,20,1,2,2,1,0,0,0,2010,52.31478343,11.93549962,32.69028384799999,38129.6,12.139999999999999,5.1000000000000005
16,20,0,0,2,1,0,0,0,2011,34.39627128,8.901790665,28.32369942,31387.0,10.1,4.9
17,20,0,1,2,1,0,0,0,2011,26.77719818,3.928297747,32.690283848,27726.0,12.139999999999999,3.94
18,20,0,2,2,1,0,0,0,2011,45.4904748,14.01044392,32.690283848,27726.0,12.139999999999999,3.94
19,20,4,0,2,1,0,0,0,2011,22.72011999,8.611969187285714,32.690283848,31998.0,12.139999999999999,3.94
20,20,4,1,2,1,0,0,0,2011,22.41231182,4.276535034119704,32.690283848,27317.0,12.139999999999999,3.9399999999999995
21,20,4,2,2,1,0,0,0,2011,29.5138234,9.688657916221034,32.690283848,27317.0,12.139999999999999,3.9399999999999995
22,20,2,0,2,1,0,0,0,2011,51.19673057,9.532169264,32.690283848,19782.0,12.139999999999999,3.94
23,20,2,1,2,1,0,0,0,2011,40.76925199,5.771274306333333,32.690283848,18175.2,12.139999999999999,3.9399999999999995
24,20,2,2,2,1,0,0,0,2011,68.94572484,19.02942557,32.690283848,18175.2,12.139999999999999,3.9399999999999995
25,20,3,0,2,1,0,0,0,2011,20.21811802,10.35503512,32.690283848,16570.0,12.139999999999999,3.94
26,20,3,1,2,1,0,0,0,2011,16.12059338,3.370402134,32.690283848,14187.8,12.139999999999999,3.9399999999999995
27,20,3,2,2,1,0,0,0,2011,25.69316513,17.32945149,32.690283848,14187.8,12.139999999999999,3.9399999999999995
28,20,5,0,2,1,0,0,0,2011,46.216312234,9.7108812212,32.690283848,19801.0,12.139999999999999,3.94
29,20,1,0,2,1,0,0,0,2011,37.39826445,8.709523099,32.690283848,44166.0,12.139999999999999,3.94
30,20,1,1,2,1,0,0,0,2011,28.97162728,4.764971531,32.690283848,38129.6,12.139999999999999,3.9399999999999995
31,20,1,2,2,1,0,0,0,2011,49.48489137,12.63132901,32.690283848,38129.6,12.139999999999999,3.9399999999999995
32,20,0,0,2,1,0,0,0,2012,31.29665916,9.183589892,28.32369942,31387.0,10.1,3.4
33,20,0,1,2,1,0,0,0,2012,24.871258,3.611739941,32.690283848,27726.0,12.139999999999999,3.3199999999999994
34,20,0,2,2,1,0,0,0,2012,40.72278767,15.21571252,32.690283848,27726.0,12.139999999999999,3.3199999999999994
35,20,4,0,2,1,0,0,0,2012,16.25535968,9.497315807470589,32.690283848,31998.0,12.139999999999999,3.3199999999999994
36,20,4,1,2,1,0,0,0,2012,23.904465800000004,5.609009746799909,32.69028384799999,27317.0,12.139999999999999,3.3199999999999994
37,20,4,2,2,1,0,0,0,2012,27.245784880625003,9.600231916159657,32.69028384799999,27317.0,12.139999999999999,3.3199999999999994
38,20,2,0,2,1,0,0,0,2012,48.26300832,15.53022967,32.690283848,19782.0,12.139999999999999,3.3199999999999994
39,20,2,1,2,1,0,0,0,2012,35.64365176,7.3737164945,32.69028384799999,18175.2,12.139999999999999,3.3199999999999994
40,20,2,2,2,1,0,0,0,2012,66.77035671,30.49299066,32.69028384799999,18175.2,12.139999999999999,3.3199999999999994
41,20,3,0,2,1,0,0,0,2012,17.02985039,10.34754074,32.690283848,16570.0,12.139999999999999,3.3199999999999994
