,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | All Cancer Deaths,Deaths | Injury Deaths,"Health Insurance | Uninsured, All Ages",Income Inequality | Income Inequality,Lead Poisoning | Housing Lead Risk,"Racial Segregation Indices | Racial Segregation, White and Non-White",Transportation | Longer Driving Commute Time
5711,17,1,2,3,1,0,0,0,2015,226.4350778,106.7293298,5.6003797242,0.48944,30.4149351462,38.363494524,37.971407623999994
5712,17,0,0,3,1,0,0,0,2016,179.7746621,73.11015093,8.779330345,0.483,38.74644593,26.70067994,31.06177796
5713,17,0,1,3,1,0,0,0,2016,159.7560457,43.06399471,9.7527962496,0.47896,26.719204442,37.449345877999995,38.046729794
5714,17,0,2,3,1,0,0,0,2016,210.0067531,106.0638789,9.7527962496,0.47896,26.719204442,37.449345877999995,38.046729794
5715,17,4,0,3,1,0,0,0,2016,143.8345533,45.22874361,10.29363785,0.47896,26.719204442,37.449345877999995,38.046729794
5716,17,4,1,3,1,0,0,0,2016,120.2137719,27.20636185,7.863905888800001,0.47896,26.719204442,37.449345877999995,37.971407623999994
5717,17,4,2,3,1,0,0,0,2016,179.0379113,67.21679482,7.863905888800001,0.47896,26.719204442,37.449345877999995,37.971407623999994
5718,17,2,0,3,1,0,0,0,2016,221.5087413,103.552462,8.228600543,0.47896,26.719204442,37.449345877999995,38.046729794
5719,17,2,1,3,1,0,0,0,2016,169.2807653,54.92383612,9.118498327,0.47896,26.719204442,37.449345877999995,37.971407623999994
5720,17,2,2,3,1,0,0,0,2016,299.3163926,160.3744235,9.118498327,0.47896,26.719204442,37.449345877999995,37.971407623999994
5721,17,3,0,3,1,0,0,0,2016,94.67022246,53.83827747,19.61290535,0.47896,26.719204442,37.449345877999995,38.046729794
5722,17,3,1,3,1,0,0,0,2016,86.94017131,39.27370448,17.673409284,0.47896,26.719204442,37.449345877999995,37.971407623999994
5723,17,3,2,3,1,0,0,0,2016,122.9006512,66.83082108,17.673409284,0.47896,26.719204442,37.449345877999995,37.971407623999994
5724,17,5,0,3,1,0,0,0,2016,149.5827951,67.60522664600002,12.86045043,0.47896,26.719204442,37.449345877999995,38.046729794
5725,17,1,0,3,1,0,0,0,2016,185.3821027,78.15856314,7.126993877,0.47896,26.719204442,37.449345877999995,38.046729794
5726,17,1,1,3,1,0,0,0,2016,166.5343354,45.06018783,5.6003797242,0.47896,26.719204442,37.449345877999995,37.971407623999994
5727,17,1,2,3,1,0,0,0,2016,215.2741061,114.2827012,5.6003797242,0.47896,26.719204442,37.449345877999995,37.971407623999994
5728,17,0,0,3,1,0,0,0,2017,173.1770088,76.16228375,8.779330345,0.483,38.74644593,26.70067994,31.06177796
5729,17,0,1,3,1,0,0,0,2017,150.9487565,46.85772445,9.7527962496,0.48944,30.414935146199998,38.363494524,38.046729794
5730,17,0,2,3,1,0,0,0,2017,206.6970139,109.2352745,9.7527962496,0.48944,30.414935146199998,38.363494524,38.046729794
5731,17,4,0,3,1,0,0,0,2017,151.140506,45.00751057,10.29363785,0.48944,30.414935146199998,38.363494524,38.046729794
5732,17,4,1,3,1,0,0,0,2017,140.5362387,32.10488016,7.863905888800001,0.48944,30.4149351462,38.363494524,37.971407623999994
5733,17,4,2,3,1,0,0,0,2017,164.7239985,61.02844764,7.863905888800001,0.48944,30.4149351462,38.363494524,37.971407623999994
5734,17,2,0,3,1,0,0,0,2017,229.7456063,103.1152015,8.228600543,0.48944,30.414935146199998,38.363494524,38.046729794
5735,17,2,1,3,1,0,0,0,2017,172.042938,64.07600182,9.118498327000001,0.48944,30.4149351462,38.363494524,37.971407623999994
5736,17,2,2,3,1,0,0,0,2017,345.8672584,160.1701812,9.118498327000001,0.48944,30.4149351462,38.363494524,37.971407623999994
5737,17,3,0,3,1,0,0,0,2017,96.58329415,56.04127153,19.61290535,0.48944,30.414935146199998,38.363494524,38.046729794
