,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Walking to Work,Crime Incidents | Violent Crime,Disability | People with Disabilities,Housing | Owner Occupied Housing,Language and Nativity | Primarily Speak Chinese,Population | Single-Parent Families,Substance Use | Adult Smoking
6495,19,1,2,3,1,0,0,0,2012,5.196640155200001,851.0593613999998,11.163310698,58.91205069,4.1641314938,9.6375552512,16.919999999999998
6496,19,0,0,3,1,0,0,0,2013,1.713148519,324.0460297,8.448624937,57.49316243,7.059183678,9.806357531,12.6
6497,19,0,1,3,1,0,0,0,2013,5.1872377752,825.26106244,11.2381092748,49.804017548,4.164131493800001,9.817156180200001,15.9
6498,19,0,2,3,1,0,0,0,2013,5.1872377752,825.26106244,11.2381092748,49.804017548,4.164131493800001,9.817156180200001,15.9
6499,19,4,0,3,1,0,0,0,2013,1.183522467,825.26106244,7.46539807,62.80943616,4.164131493800001,13.63209496,15.9
6500,19,4,1,3,1,0,0,0,2013,5.7475955608,825.26106244,10.2883943412,52.764632082000006,4.1641314938,13.881928113999999,15.899999999999997
6501,19,4,2,3,1,0,0,0,2013,5.7475955608,825.26106244,10.2883943412,52.764632082000006,4.1641314938,13.881928113999999,15.899999999999997
6502,19,2,0,3,1,0,0,0,2013,1.701014066,825.26106244,12.0495754,33.25773383,4.164131493800001,28.88505851,15.9
6503,19,2,1,3,1,0,0,0,2013,4.3582413650000005,825.26106244,16.016344361999998,29.282492776000005,4.1641314938,30.325770324,15.899999999999997
6504,19,2,2,3,1,0,0,0,2013,4.3582413650000005,825.26106244,16.016344361999998,29.282492776000005,4.1641314938,30.325770324,15.899999999999997
6505,19,3,0,3,1,0,0,0,2013,2.083278585,825.26106244,6.855847903,40.86138906,4.164131493800001,30.15375525,15.9
6506,19,3,1,3,1,0,0,0,2013,5.2648066536,825.26106244,8.166133929599999,34.831938964,4.1641314938,25.84034716,15.899999999999997
6507,19,3,2,3,1,0,0,0,2013,5.2648066536,825.26106244,8.166133929599999,34.831938964,4.1641314938,25.84034716,15.899999999999997
6508,19,5,0,3,1,0,0,0,2013,0.573394495,825.26106244,16.49092481,41.43365531,4.164131493800001,19.7763091,15.9
6509,19,1,0,3,1,0,0,0,2013,1.923568905,825.26106244,11.44919526,66.75800429,4.164131493800001,12.28649471,15.9
6510,19,1,1,3,1,0,0,0,2013,5.2835314122,825.26106244,11.8945494894,57.763794587999996,4.1641314938,9.2093740712,15.899999999999997
6511,19,1,2,3,1,0,0,0,2013,5.2835314122,825.26106244,11.8945494894,57.763794587999996,4.1641314938,9.2093740712,15.899999999999997
6512,19,0,0,3,1,0,0,0,2014,1.713148519,321.0921491,8.448624937,57.49316243,7.059183678,9.806357531,12.6
6513,19,0,1,3,1,0,0,0,2014,4.6516899166000005,784.6939827599999,11.2381092748,49.804017548000004,4.1641314938,9.8844075932,15.9
6514,19,0,2,3,1,0,0,0,2014,4.6516899166000005,784.6939827599999,11.2381092748,49.804017548000004,4.1641314938,9.8844075932,15.9
6515,19,4,0,3,1,0,0,0,2014,1.183522467,784.6939827599999,7.46539807,62.80943616,4.1641314938,13.63209496,15.9
6516,19,4,1,3,1,0,0,0,2014,5.747595560800001,784.6939827599999,10.2883943412,52.764632082000006,4.1641314938,13.881928114,15.9
6517,19,4,2,3,1,0,0,0,2014,5.747595560800001,784.6939827599999,10.2883943412,52.764632082000006,4.1641314938,13.881928114,15.9
6518,19,2,0,3,1,0,0,0,2014,1.701014066,784.6939827599999,12.0495754,33.25773383,4.1641314938,28.88505851,15.9
6519,19,2,1,3,1,0,0,0,2014,4.05293814,784.6939827599999,16.016344361999998,29.282492775999998,4.1641314938,30.018028085999998,15.9
6520,19,2,2,3,1,0,0,0,2014,4.05293814,784.6939827599999,16.016344361999998,29.282492775999998,4.1641314938,30.018028085999998,15.9
6521,19,3,0,3,1,0,0,0,2014,2.083278585,784.6939827599999,6.855847903,40.86138906,4.1641314938,30.15375525,15.9
6522,19,3,1,3,1,0,0,0,2014,5.264806653599999,784.6939827599999,8.166133929599999,34.831938964,4.1641314938,25.840347160000004,15.9
6523,19,3,2,3,1,0,0,0,2014,5.264806653599999,784.6939827599999,8.166133929599999,34.831938964,4.1641314938,25.840347160000004,15.9
6524,19,5,0,3,1,0,0,0,2014,0.573394495,784.6939827599999,16.49092481,41.43365531,4.1641314938,19.7763091,15.9
6525,19,1,0,3,1,0,0,0,2014,1.923568905,784.6939827599999,11.44919526,66.75800429,4.1641314938,12.28649471,15.9
6526,19,1,1,3,1,0,0,0,2014,5.2835314122,784.6939827599999,11.894549489400001,57.76379458800001,4.1641314938,9.2093740712,15.9
6527,19,1,2,3,1,0,0,0,2014,5.2835314122,784.6939827599999,11.894549489400001,57.76379458800001,4.1641314938,9.2093740712,15.9
6528,19,0,0,3,1,0,0,0,2015,1.713148519,329.6304842,8.448624937,57.49316243,7.059183678,9.806357531,11.5
6529,19,0,1,3,1,0,0,0,2015,4.6516899166,756.8178672,11.2381092748,49.804017548000004,4.1440612052,9.8844075932,16.3
6530,19,0,2,3,1,0,0,0,2015,4.6516899166,756.8178672,11.2381092748,49.804017548000004,4.1440612052,9.8844075932,16.3
6531,19,4,0,3,1,0,0,0,2015,1.183522467,756.8178672,7.46539807,62.80943616,4.1440612052,13.63209496,16.3
6532,19,4,1,3,1,0,0,0,2015,5.7475955608,756.8178671999999,10.2883943412,52.764632082000006,4.1641314938,13.881928113999999,16.299999999999997
6533,19,4,2,3,1,0,0,0,2015,5.7475955608,756.8178671999999,10.2883943412,52.764632082000006,4.1641314938,13.881928113999999,16.299999999999997
6534,19,2,0,3,1,0,0,0,2015,1.701014066,756.8178672,12.0495754,33.25773383,4.1440612052,28.88505851,16.3
6535,19,2,1,3,1,0,0,0,2015,4.05293814,756.8178671999999,16.016344362,29.282492775999998,4.1641314938,30.018028085999998,16.299999999999997
6536,19,2,2,3,1,0,0,0,2015,4.05293814,756.8178671999999,16.016344362,29.282492775999998,4.1641314938,30.018028085999998,16.299999999999997
6537,19,3,0,3,1,0,0,0,2015,2.083278585,756.8178672,6.855847903,40.86138906,4.1440612052,30.15375525,16.3
6538,19,3,1,3,1,0,0,0,2015,5.2648066536,756.8178671999999,8.166133929599999,34.831938964,4.1641314938,25.84034716,16.299999999999997
6539,19,3,2,3,1,0,0,0,2015,5.2648066536,756.8178671999999,8.166133929599999,34.831938964,4.1641314938,25.84034716,16.299999999999997
