,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Crime Incidents | Homicides,Diabetes and Obesity | Diabetes Deaths,"Housing | Homeless, Total",Language and Nativity | Foreign Born Population,Population | Population Density,"Sexually Transmitted Disease | Syphilis, Newborns"
0,20,0,0,2,1,0,0,0,2010,1.458997071,3.955670262,17.18095968,160.832269314,19.08120494,2685.086346,0.0
1,20,0,1,2,1,0,0,0,2010,0.4748883387999999,2.598894685,16.74117481,160.832269314,14.043232179799997,2024.09454426,7.18
2,20,0,2,2,1,0,0,0,2010,0.4748883387999999,5.251540797,17.84771037,160.832269314,14.043232179799997,2024.09454426,7.18
3,20,4,0,2,1,0,0,0,2010,0.4748883387999999,3.8844079031976437,22.0189722257,160.832269314,14.043232179799997,2024.09454426,7.18
4,20,4,1,2,1,0,0,0,2010,0.4748883388,1.9338806686675265,18.351404843,160.832269314,14.0432321798,2024.0945442599998,7.179999999999999
5,20,4,2,2,1,0,0,0,2010,0.4748883388,3.9888303594498953,20.395667676639007,160.832269314,14.0432321798,2024.0945442599998,7.179999999999999
6,20,2,0,2,1,0,0,0,2010,0.4748883387999999,10.4743466,36.59403803,160.832269314,14.043232179799997,2024.09454426,7.18
7,20,2,1,2,1,0,0,0,2010,0.4748883388,6.462583405,44.61118082,160.832269314,14.0432321798,2024.0945442599998,7.179999999999999
8,20,2,2,2,1,0,0,0,2010,0.4748883388,15.81001622,25.54371488,160.832269314,14.0432321798,2024.0945442599998,7.179999999999999
9,20,3,0,2,1,0,0,0,2010,0.4748883387999999,4.851729185,25.88104985,160.832269314,14.043232179799997,2024.09454426,7.18
10,20,3,1,2,1,0,0,0,2010,0.4748883388,3.400617222,29.04607198,160.832269314,14.0432321798,2024.0945442599998,7.179999999999999
11,20,3,2,2,1,0,0,0,2010,0.4748883388,6.206742003,19.98190816,160.832269314,14.0432321798,2024.0945442599998,7.179999999999999
12,20,5,0,2,1,0,0,0,2010,0.4748883387999999,7.095156537400001,22.45067543,160.832269314,14.043232179799997,2024.09454426,7.18
13,20,1,0,2,1,0,0,0,2010,0.4748883387999999,2.126556539,13.31094517,160.832269314,14.043232179799997,2024.09454426,7.18
14,20,1,1,2,1,0,0,0,2010,0.4748883388,3.2693777843333334,10.41500023,160.832269314,14.0432321798,2024.0945442599998,7.179999999999999
15,20,1,2,2,1,0,0,0,2010,0.4748883388,2.38516509,17.0216383,160.832269314,14.0432321798,2024.0945442599998,7.179999999999999
16,20,0,0,2,1,0,0,0,2011,1.458997071,3.528983476,17.468989,160.832269314,19.08120494,2685.086346,19.4
17,20,0,1,2,1,0,0,0,2011,0.47488833880000003,2.204353444,17.10964739,160.83226931400003,14.0432321798,2024.09454426,12.219999999999999
18,20,0,2,2,1,0,0,0,2011,0.47488833880000003,4.784780043,18.00033042,160.83226931400003,14.0432321798,2024.09454426,12.219999999999999
19,20,4,0,2,1,0,0,0,2011,0.47488833880000003,3.872815577626854,27.740041088125,160.83226931400003,14.0432321798,2024.09454426,12.219999999999999
20,20,4,1,2,1,0,0,0,2011,0.4748883387999999,2.2188297526309166,19.874680230400003,160.83226931400003,14.0432321798,2024.0945442599998,12.219999999999997
