,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Transportation | Lack of Car
0,20,0,0,2,1,0,0,0,2010,46.31688603,6.667826097600002,63.14366606,0.003340583,1.927904408,49.97393478,7.104797372
1,20,0,1,2,1,0,0,0,2010,48.77341113800001,6.667826097600001,62.850582694,-0.051235139,3.5260288044,51.579808184,7.9237953356
2,20,0,2,2,1,0,0,0,2010,48.77341113800001,6.667826097600001,62.850582694,-0.051235139,3.5260288044,51.579808184,7.9237953356
3,20,4,0,2,1,0,0,0,2010,5.46000546,3.4911364844016726,62.850582694,-0.051235139,3.5260288044,51.579808184,7.9237953356
4,20,4,1,2,1,0,0,0,2010,19.837401574,3.459505477943945,62.85058269399999,-0.051235138999999985,3.5260288043999997,51.579808184,7.9237953356
5,20,4,2,2,1,0,0,0,2010,19.837401574,3.459505477943945,62.85058269399999,-0.051235138999999985,3.5260288043999997,51.579808184,7.9237953356
6,20,2,0,2,1,0,0,0,2010,80.9587217,11.575789201400001,62.850582694,-0.051235139,3.5260288044,51.579808184,7.9237953356
7,20,2,1,2,1,0,0,0,2010,71.58069827199999,11.575789201400001,62.85058269399999,-0.051235138999999985,3.5260288043999997,51.579808184,7.9237953356
8,20,2,2,2,1,0,0,0,2010,71.58069827199999,11.575789201400001,62.85058269399999,-0.051235138999999985,3.5260288043999997,51.579808184,7.9237953356
9,20,3,0,2,1,0,0,0,2010,77.94091788,5.818345831399999,62.850582694,-0.051235139,3.5260288044,51.579808184,7.9237953356
10,20,3,1,2,1,0,0,0,2010,82.90633646399999,5.8183458314,62.85058269399999,-0.051235138999999985,3.5260288043999997,51.579808184,7.9237953356
11,20,3,2,2,1,0,0,0,2010,82.90633646399999,5.8183458314,62.85058269399999,-0.051235138999999985,3.5260288043999997,51.579808184,7.9237953356
12,20,5,0,2,1,0,0,0,2010,48.77341113800001,6.667826097600001,62.850582694,-0.051235139,3.5260288044,51.579808184,7.9237953356
13,20,1,0,2,1,0,0,0,2010,13.08223875,4.875738525,62.850582694,-0.051235139,3.5260288044,51.579808184,7.9237953356
14,20,1,1,2,1,0,0,0,2010,25.376287884,4.875738525,62.85058269399999,-0.051235138999999985,3.5260288043999997,51.579808184,7.9237953356
