,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Preterm Births,Deaths | Gun Deaths (Firearms),Education | Preschool Enrollment,Housing | Vacant Housing and Homelessness,Language and Nativity | Primarily Speak Spanish,"Racial Segregation Indices | Racial Segregation, White and Black",Substance Use | Opioid Overdose Deaths
3327,7,1,2,3,1,0,0,0,2022,8.3956433366,31.19629774,52.405911212,2.2319136644,15.675350847599997,48.478274424,32.83490443
3328,18,0,0,3,1,0,0,1,2010,8.4726469927088,8.68658354,53.27624721,3.5072092110339423,21.453298619909912,60.42966775,3.794859947
3329,18,0,1,3,1,0,0,1,2010,8.472206855247064,2.519332429263158,47.878974224725944,3.518141364493984,20.512711866891642,58.122420040844894,3.404568141071429
3330,18,0,2,3,1,0,0,1,2010,8.472206855247064,16.6263731,47.878974224725944,3.518141364493984,20.512711866891642,58.122420040844894,6.129863696
3331,18,4,0,3,1,0,0,1,2010,8.533373068288832,4.553664747599999,47.878974224725944,3.518141364493984,20.512711866891642,58.122420040844894,3.630371069439585
3332,18,4,1,3,1,0,0,1,2010,8.532654584962913,2.6093677308813548,47.79191584717708,3.522088624416281,20.431094741017066,58.10086421070978,1.6382098400184757
3333,18,4,2,3,1,0,0,1,2010,8.532654584962913,8.493368150893437,47.79191584717708,3.522088624416281,20.431094741017066,58.10086421070978,4.749177072519796
3334,18,2,0,3,1,0,0,1,2010,10.634672659657825,17.46206946,47.878974224725944,3.518141364493984,20.512711866891642,58.122420040844894,9.5456771888
3335,18,2,1,3,1,0,0,1,2010,10.633924578021116,4.656528810851302,47.79191584717708,3.522088624416281,20.431094741017066,58.10086421070978,9.667262390584971
3336,18,2,2,3,1,0,0,1,2010,10.633924578021116,35.6105011,47.79191584717708,3.522088624416281,20.431094741017066,58.10086421070978,11.793173099160716
3337,18,3,0,3,1,0,0,1,2010,8.944841190490166,5.708408292,47.878974224725944,3.518141364493984,20.512711866891642,58.122420040844894,2.62603253525
3338,18,3,1,3,1,0,0,1,2010,8.945091916442461,1.6781224135223125,47.79191584717708,3.522088624416281,20.431094741017066,58.10086421070978,3.925195149326289
3339,18,3,2,3,1,0,0,1,2010,8.945091916442461,10.80481482,47.79191584717708,3.522088624416281,20.431094741017066,58.10086421070978,4.434254108285716
3340,18,5,0,3,1,0,0,1,2010,8.472206855247066,8.786828382215667,47.878974224725944,3.518141364493984,20.512711866891642,58.122420040844894,5.992221948041863
3341,18,1,0,3,1,0,0,1,2010,8.209538870461888,9.429558879,47.878974224725944,3.518141364493984,20.512711866891642,58.122420040844894,8.521732212
3342,18,1,1,3,1,0,0,1,2010,8.2111050507944,3.0393447524,47.79191584717708,3.522088624416281,20.431094741017066,58.10086421070978,9.7035229038
3343,18,1,2,3,1,0,0,1,2010,8.2111050507944,17.13445621,47.79191584717708,3.522088624416281,20.431094741017066,58.10086421070978,13.500932
3344,18,0,0,3,1,0,0,1,2011,9.423194727262795,8.457041694,53.27624721,3.4721229566656597,29.52077914682113,60.42966775,3.60703701
3345,18,0,1,3,1,0,0,1,2011,9.426650779569254,2.337105008571428,51.24751181165637,3.5124467872890506,28.326590753970056,57.937447131265614,1.555270397
3346,18,0,2,3,1,0,0,1,2011,9.426650779569254,15.88340149,51.24751181165637,3.5124467872890506,28.326590753970056,57.937447131265614,5.845248028
3347,18,4,0,3,1,0,0,1,2011,8.536794437739744,5.2380738093125006,51.24751181165637,3.5124467872890506,28.326590753970056,57.937447131265614,3.631324493662134
3348,18,4,1,3,1,0,0,1,2011,8.533968533513614,3.2937351424354087,51.24244662337685,3.5197880415772143,28.269067155727114,57.93122474924463,1.6475267545545746
3349,18,4,2,3,1,0,0,1,2011,8.533968533513614,8.2890443724,51.24244662337685,3.5197880415772143,28.269067155727114,57.93122474924463,4.72659810518048
3350,18,2,0,3,1,0,0,1,2011,10.638234974281275,18.22628808,51.24751181165637,3.5124467872890506,28.326590753970056,57.937447131265614,8.4525606084
3351,18,2,1,3,1,0,0,1,2011,10.635292655395913,4.653943257548635,51.24244662337685,3.5197880415772143,28.269067155727114,57.93122474924463,9.66770303440038
3352,18,2,2,3,1,0,0,1,2011,10.635292655395913,35.83991381,51.24244662337685,3.5197880415772143,28.269067155727114,57.93122474924463,9.598310991799998
3353,18,3,0,3,1,0,0,1,2011,8.943647250307025,5.717091692,51.24751181165637,3.5124467872890506,28.326590753970056,57.937447131265614,1.967561967
3354,18,3,1,3,1,0,0,1,2011,8.944633393621183,1.2994903407670628,51.24244662337685,3.5197880415772143,28.269067155727114,57.93122474924463,3.55425363304656
3355,18,3,2,3,1,0,0,1,2011,8.944633393621183,9.924764222,51.24244662337685,3.5197880415772143,28.269067155727114,57.93122474924463,3.441487036
3356,18,5,0,3,1,0,0,1,2011,8.473011770210425,9.03530541810801,51.24751181165637,3.5124467872890506,28.326590753970056,57.937447131265614,3.6497483017088004
3357,18,1,0,3,1,0,0,1,2011,8.202080824671585,8.694441405,51.24751181165637,3.5124467872890506,28.326590753970056,57.937447131265614,7.69468856
3358,18,1,1,3,1,0,0,1,2011,8.208240850187646,3.259663891,51.24244662337685,3.5197880415772143,28.269067155727114,57.93122474924463,11.0685072566
3359,18,1,2,3,1,0,0,1,2011,8.208240850187646,16.02114096,51.24244662337685,3.5197880415772143,28.269067155727114,57.93122474924463,12.00602093
3360,18,0,0,3,1,0,0,1,2012,9.412102682975476,8.79000226,53.27624721,2.168886294538689,31.43442680116816,60.42966775,3.855446119
3361,18,0,1,3,1,0,0,1,2012,9.424850516084538,2.30947998,51.237618753518746,2.216581970046355,29.055583123950726,57.92529390345037,1.579428152
3362,18,0,2,3,1,0,0,1,2012,9.424850516084538,15.4781471,51.237618753518746,2.216581970046355,29.055583123950726,57.92529390345037,6.234544932
3363,18,4,0,3,1,0,0,1,2012,8.545864050132293,4.327902937842106,51.237618753518746,2.216581970046355,29.055583123950726,57.92529390345037,3.680724301257357
3364,18,4,1,3,1,0,0,1,2012,8.535440551798782,3.8754732582700915,51.23740506920224,2.220691854574268,28.97863270616172,57.925031400780014,1.8758458249415544
3365,18,4,2,3,1,0,0,1,2012,8.535440551798782,7.4678034724,51.23740506920224,2.220691854574268,28.97863270616172,57.925031400780014,4.717897601450352
3366,18,2,0,3,1,0,0,1,2012,10.64767821428167,22.54235032,51.237618753518746,2.216581970046355,29.055583123950726,57.92529390345037,9.3962008194
3367,18,2,1,3,1,0,0,1,2012,10.636825314273732,4.7558702795978505,51.23740506920224,2.220691854574268,28.97863270616172,57.925031400780014,7.423156103198699
3368,18,2,2,3,1,0,0,1,2012,10.636825314273732,41.2866715,51.23740506920224,2.220691854574268,28.97863270616172,57.925031400780014,10.157855704800001
3369,18,3,0,3,1,0,0,1,2012,8.940482267736057,5.485814279,51.237618753518746,2.216581970046355,29.055583123950726,57.92529390345037,2.58064101
3370,18,3,1,3,1,0,0,1,2012,8.944119709902955,1.3351338752046478,51.23740506920224,2.220691854574268,28.97863270616172,57.925031400780014,3.9790150624312695
3371,18,3,2,3,1,0,0,1,2012,8.944119709902955,9.681756216,51.23740506920224,2.220691854574268,28.97863270616172,57.925031400780014,4.372855473
3372,18,5,0,3,1,0,0,1,2012,8.473913517499875,9.037977260441577,51.237618753518746,2.216581970046355,29.055583123950726,57.92529390345037,3.6494446373733203
3373,18,1,0,3,1,0,0,1,2012,8.182310500099982,7.207829943,51.237618753518746,2.216581970046355,29.055583123950726,57.92529390345037,8.410840525
3374,18,1,1,3,1,0,0,1,2012,8.20503208249025,3.2380591329999997,51.23740506920224,2.220691854574268,28.97863270616172,57.925031400780014,11.108958443600002
3375,18,1,2,3,1,0,0,1,2012,8.20503208249025,12.4307747,51.23740506920224,2.220691854574268,28.97863270616172,57.925031400780014,12.89598927
3376,18,0,0,3,1,0,0,1,2013,9.119953202627926,9.273625478,48.17860492,2.147050335851589,34.37099307,54.16741727,3.398931659
3377,18,0,1,3,1,0,0,1,2013,9.145852904801755,2.161826787,50.21723337648125,2.3002503151206155,33.712351693938906,56.67179111654964,1.412611676
3378,18,0,2,3,1,0,0,1,2013,9.145852904801755,16.66652595,50.21723337648125,2.3002503151206155,33.712351693938906,56.67179111654964,5.459251676
3379,18,4,0,3,1,0,0,1,2013,8.510589481423672,5.395045151571429,50.21723337648125,2.3002503151206155,33.712351693938906,56.67179111654964,2.9620791337064256
3380,18,4,1,3,1,0,0,1,2013,8.470596156499921,4.407885915857286,50.21744706079776,2.3074801426732208,33.69934185886533,56.67205361921997,2.0116971211968027
3381,18,4,2,3,1,0,0,1,2013,8.470596156499921,8.602920557125,50.21744706079776,2.3074801426732208,33.69934185886533,56.67205361921997,4.717130691870964
3382,18,2,0,3,1,0,0,1,2013,10.986276023030731,25.51834045,50.21723337648125,2.3002503151206155,33.712351693938906,56.67179111654964,11.052422584
3383,18,2,1,3,1,0,0,1,2013,10.974574364153254,5.868787242420514,50.21744706079776,2.3074801426732208,33.69934185886533,56.67205361921997,9.9625829888
3384,18,2,2,3,1,0,0,1,2013,10.974574364153254,48.55177419,50.21744706079776,2.3074801426732208,33.69934185886533,56.67205361921997,11.726552722000001
3385,18,3,0,3,1,0,0,1,2013,8.61309796528222,5.176018633,50.21723337648125,2.3002503151206155,33.712351693938906,56.67179111654964,2.910190541
3386,18,3,1,3,1,0,0,1,2013,8.605652331135209,1.8917396786796936,50.21744706079776,2.3074801426732208,33.69934185886533,56.67205361921997,3.0237642951908756
3387,18,3,2,3,1,0,0,1,2013,8.605652331135209,8.90457864,50.21744706079776,2.3074801426732208,33.69934185886533,56.67205361921997,4.987559599
3388,18,5,0,3,1,0,0,1,2013,8.198833730826061,9.197589249050159,50.21723337648125,2.3002503151206155,33.712351693938906,56.67179111654964,3.5881142692837797
3389,18,1,0,3,1,0,0,1,2013,8.155827421316094,9.060149208,50.21723337648125,2.3002503151206155,33.712351693938906,56.67179111654964,7.146969997
3390,18,1,1,3,1,0,0,1,2013,8.23307578325557,3.6551498030000005,50.21744706079776,2.3074801426732208,33.69934185886533,56.67205361921997,11.0707182914
3391,18,1,2,3,1,0,0,1,2013,8.23307578325557,15.60658687,50.21744706079776,2.3074801426732208,33.69934185886533,56.67205361921997,11.21072224
3392,18,0,0,3,1,0,0,1,2014,9.149088770603502,9.983821246,48.17860492,1.6786490923087503,34.37099307,54.16741727,3.591106956
3393,18,0,1,3,1,0,0,1,2014,9.255446550591076,2.443087461,49.19691329157234,1.7829374013930703,34.37099307,55.41836853842785,1.48457945075
3394,18,0,2,3,1,0,0,1,2014,9.255446550591076,17.87379664,49.19691329157234,1.7829374013930703,34.37099307,55.41836853842785,5.938260957
3395,18,4,0,3,1,0,0,1,2014,8.93991248404956,5.090060471,49.19691329157234,1.7829374013930703,34.37099307,55.41836853842785,2.5518719668914507
3396,18,4,1,3,1,0,0,1,2014,8.907047904993469,4.373564163437699,49.19752168791659,1.7850715991567903,34.37099307,55.41911592910024,1.9812898361744362
3397,18,4,2,3,1,0,0,1,2014,8.907047904993469,11.38785357068421,49.19752168791659,1.7850715991567903,34.37099307,55.41911592910024,4.193688593315943
3398,18,2,0,3,1,0,0,1,2014,10.817046882002941,28.74598276,49.19691329157234,1.7829374013930703,34.37099307,55.41836853842785,10.993574430599999
3399,18,2,1,3,1,0,0,1,2014,11.068661844949133,5.955622473465088,49.19752168791659,1.7850715991567903,34.37099307,55.41911592910024,11.2361189696
3400,18,2,2,3,1,0,0,1,2014,11.068661844949133,56.21641055,49.19752168791659,1.7850715991567903,34.37099307,55.41911592910024,12.235278163799999
3401,18,3,0,3,1,0,0,1,2014,8.738502263397928,5.229168335,49.19691329157234,1.7829374013930703,34.37099307,55.41836853842785,2.691778078
3402,18,3,1,3,1,0,0,1,2014,8.765188696575127,2.0962601207345504,49.19752168791659,1.7850715991567903,34.37099307,55.41911592910024,3.7028203596835425
3403,18,3,2,3,1,0,0,1,2014,8.765188696575127,9.967122067,49.19752168791659,1.7850715991567903,34.37099307,55.41911592910024,4.584052351
3404,18,5,0,3,1,0,0,1,2014,8.384094822374694,9.365397932653961,49.19691329157234,1.7829374013930703,34.37099307,55.41836853842785,3.603616038458523
3405,18,1,0,3,1,0,0,1,2014,7.950262622486486,8.842111836,49.19691329157234,1.7829374013930703,34.37099307,55.41836853842785,8.40261114
3406,18,1,1,3,1,0,0,1,2014,8.152456431066991,3.8939770874000006,49.19752168791659,1.7850715991567903,34.37099307,55.41911592910024,9.0796516781875
3407,18,1,2,3,1,0,0,1,2014,8.152456431066991,14.62119157,49.19752168791659,1.7850715991567903,34.37099307,55.41911592910024,13.23362648
3408,18,0,0,3,1,0,0,1,2015,8.801168463638348,9.482552449,48.17860492,1.508315565,34.37099307,54.16741727,3.487901433
3409,18,0,1,3,1,0,0,1,2015,8.875151312027329,2.002127493,48.17860492,1.7866537705041028,34.37099307,54.16741727,1.371844291
3410,18,0,2,3,1,0,0,1,2015,8.875151312027329,17.39157711,48.17860492,1.7866537705041028,34.37099307,54.16741727,5.75575989
3411,18,4,0,3,1,0,0,1,2015,9.264729412823009,5.267889329,48.17860492,1.7866537705041028,34.37099307,54.16741727,1.8880318208595903
3412,18,4,1,3,1,0,0,1,2015,9.382460092779048,4.170785480189162,48.17860492,1.7870954237466585,34.37099307,54.167417269999994,2.0414227378915886
3413,18,4,2,3,1,0,0,1,2015,9.382460092779048,14.129445234821429,48.17860492,1.7870954237466585,34.37099307,54.167417269999994,3.2558093364487903
3414,18,2,0,3,1,0,0,1,2015,11.207357029201605,25.25842423,48.17860492,1.7866537705041028,34.37099307,54.16741727,8.200604221375
3415,18,2,1,3,1,0,0,1,2015,10.790064301998367,6.768483451088598,48.17860492,1.7870954237466585,34.37099307,54.167417269999994,10.5559020472
3416,18,2,2,3,1,0,0,1,2015,10.790064301998367,52.48940314,48.17860492,1.7870954237466585,34.37099307,54.167417269999994,15.5408669004
3417,18,3,0,3,1,0,0,1,2015,8.449543352638655,4.996431386,48.17860492,1.7866537705041028,34.37099307,54.16741727,2.106033479
3418,18,3,1,3,1,0,0,1,2015,8.33568402778406,1.4189621294889943,48.17860492,1.7870954237466585,34.37099307,54.167417269999994,3.5395582492
3419,18,3,2,3,1,0,0,1,2015,8.33568402778406,8.693816722,48.17860492,1.7870954237466585,34.37099307,54.167417269999994,3.676782012
3420,18,5,0,3,1,0,0,1,2015,8.410824124555182,9.37491800512144,48.17860492,1.7866537705041028,34.37099307,54.16741727,3.605871345205996
3421,18,1,0,3,1,0,0,1,2015,7.166989296724373,9.651658166,48.17860492,1.7866537705041028,34.37099307,54.16741727,7.978649934
3422,18,1,1,3,1,0,0,1,2015,7.183937948574583,4.0350312058,48.17860492,1.7870954237466585,34.37099307,54.167417269999994,8.868936667578946
3423,18,1,2,3,1,0,0,1,2015,7.183937948574583,16.54211444,48.17860492,1.7870954237466585,34.37099307,54.167417269999994,13.02463705
3424,18,0,0,3,1,0,0,1,2016,8.791271564,9.295676712,48.17860492,1.572,34.37099307,54.16741727,3.685352502
3425,18,0,1,3,1,0,0,1,2016,8.872393717762886,2.843380346,47.58864278328026,1.874588867994752,34.252591496874174,53.66157956357327,1.712009321
3426,18,0,2,3,1,0,0,1,2016,8.872393717762886,16.25874715,47.58864278328026,1.874588867994752,34.252591496874174,53.66157956357327,5.78243324
3427,18,4,0,3,1,0,0,1,2016,9.053497942,9.553665399,47.58864278328026,1.874588867994752,34.252591496874174,53.66157956357327,1.9103070339098924
3428,18,4,1,3,1,0,0,1,2016,9.39151336067928,4.151587989401496,47.5882903057624,1.8751106571633565,34.25252075692323,53.66127734685781,2.008890127502325
3429,18,4,2,3,1,0,0,1,2016,9.39151336067928,13.78178983,47.5882903057624,1.8751106571633565,34.25252075692323,53.66127734685781,2.723218987060252
