geo_label_city,"Incidents per 100,000","Per 1,000","Per 1,000 females aged 15-19","Per 100,000","Per 100,000 females","Per 100,000 males",Percent,"Years per 100,000 population aged <75"
Austin,6.251402894070313,4.5146474454,28.931283740229507,106.6083163977697,19.762196187034483,21.142664632313725,31.328354493657994,5329.699044615385
Baltimore,35.68019117328333,7.522319310111111,35.042769972890625,156.9786570657424,25.19825673948718,29.20108743610256,29.165128699816734,9288.741486066667
Boston,12.770369998489583,4.968460176102564,12.887509802396552,94.14939589528002,16.726983735403845,26.78586511320755,26.40481439157548,5163.934123215385
Charlotte,10.1156564861203,5.083568505711112,27.32095043893846,104.73047466526704,21.595588723023255,27.336777206923077,27.586532285995908,5218.50390891282
Chicago,21.205146823783952,6.456871988622222,23.23815279813846,104.81206816072616,20.449255225876925,22.979183920338713,27.35477939423837,7053.595873194872
Cleveland,28.476796609874015,11.49305808636111,43.307146714999995,150.56684404485384,25.767544667435896,32.749825033589744,30.346950193547205,10126.843506553845
Columbus,16.101046310769227,7.951329653888889,32.2977080826,126.1158326038146,22.704847543589747,22.399841437179486,30.95791142619331,6934.243552102564
Dallas,12.427379950278146,6.635555552813953,38.59454727376923,112.06826586454486,20.372943350326924,23.367793753846154,27.928058880114364,6807.6872439384615
Denver,14.0033306049771,6.162877386857143,26.60577682016923,118.61856729903381,21.65600573653846,29.819776244423075,30.417817028698884,7015.427166707692
Detroit,34.868577751753726,11.147013800388889,35.99842145520967,153.1571342153929,25.08021738973684,26.733507685128206,29.06402379464706,10605.023188225641
El Paso,4.447033916134831,6.112628480361111,42.7552713390625,124.0132639226766,21.54317742179487,19.47904627846154,30.24070465640892,7105.57939756923
Fort Worth,10.245688901783216,7.4254987288,32.130761032234375,121.46123418457358,22.68474090721154,24.883881963076924,26.033955302445392,6740.966557646154
Houston,14.633445904143647,5.740648997088889,42.141207825584615,119.39899364007239,25.318859505846152,23.591046061603176,25.592529841128655,8411.448062497437
Indianapolis,23.198910661727272,7.798580637844444,39.624892903230766,139.88640414349865,23.94508395809524,30.91384830307692,29.364294145074346,8606.978394789743
Kansas City,32.306685871418445,6.7167940860270265,35.567738124015385,133.99887273741643,25.148945630769234,25.11749046528205,29.674354928747213,8205.639102184616
Las Vegas,9.326116054626373,4.236907834266666,26.131964589338462,107.83689694081298,22.093986305661538,21.01888665,29.957177609502903,7076.766907938461
Long Beach,13.872604076166667,4.290473543175,19.220558567645163,129.67860940890915,22.75723585740625,32.265797366111116,33.013291449386614,6695.087528517948
Los Angeles,10.471949803713514,4.828495316066666,16.988088131753848,98.38905733432486,21.370559355692308,24.0032493986,25.18475885722494,6047.159986697436
Louisville,21.029428738203126,6.4595730741388895,31.2367283240625,127.12717918953206,23.439546883076925,26.359900913846158,33.29650026892565,7948.482652280513
Memphis,28.86277762193985,8.311426585388888,46.74261501243077,140.69563027058965,28.69051336230769,34.94701202820512,30.713890511096658,9409.58164645641
Milwaukee,24.59292564050376,8.069935990111112,35.171236706184615,135.81080616679617,23.78257184511111,28.7157065285,30.70420401653282,8981.939975564102
Minneapolis,17.239882564102274,6.573058010733333,27.233403788953847,126.08194721464426,20.80346382025641,24.216680182972972,28.504087974722008,6692.433440148719
New York City,4.720801037984536,3.7973476212444446,15.950717484123079,83.71014448925,17.960659243907692,19.48698642713846,24.48181020788952,4971.919330117948
Oakland,25.604376675635596,5.189946223727272,20.03059070336508,110.16608918463085,19.60710124163158,24.80116755423729,27.09603371146087,6388.827635497436
Oklahoma City,15.467009624321427,8.214562244238095,40.77410229328125,130.39242417241448,22.773208304242424,26.306544413589744,31.498718293197026,7438.587669902565
Philadelphia,20.59279873670349,6.6098037376,31.79272868696923,125.78866278945583,21.03287115925,27.303448494267858,26.794654013563253,8371.500144476924
Phoenix,11.938147846089745,6.762004516088888,29.737836396353845,103.73393577593517,17.614397780245902,20.732398022352942,26.345266838172133,6736.368415425642
Portland,15.323739484794393,5.377280226644444,24.71962389367692,141.3319287501695,23.812503035777777,35.07418051975,28.43160029319841,7323.84152456923
San Antonio,12.570425817127516,6.7865531769,34.02710353901538,125.37772279603806,24.768026442033896,23.759074725961536,32.059862620178436,8082.475333369231
San Diego,5.968694046787879,4.764306430088889,13.797082333276924,94.25129720040488,19.903259074523078,23.987778898215385,25.553705971331727,5079.5449031538465
San Francisco,15.205688970942028,3.891473581733333,11.216387007714285,101.28508198657669,17.506162036769233,21.492465492234373,24.39041019332603,6416.748304323077
San Jose,5.350038913429688,4.443107297177778,13.283525613046153,96.529068567842,15.345382642403846,15.611911674076923,32.10887302068773,4721.105084697436
Seattle,10.571194824989474,4.7000622337777775,12.620897810446154,112.35469278640804,18.3589163091,27.18848527747059,25.69756476337733,5771.529976220512
Tucson,15.917273454394161,6.098891923166667,31.170295712444442,146.94177664921983,27.036638489999998,30.11470963340909,24.822422532963113,10048.2013186
U.S. Total,,,,,,,24.725757575757576,
Washington,24.632507473696077,6.064993692305555,25.349964308316665,119.05515755902722,25.411426365,30.043499755948716,26.17588948070263,5884.535905374359
