,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Active Transportation | Walking to Work,Birth Control | Teen Birth Control,Births | Low Birthweight,Births | Preterm Births,Births | Teen Births,Cancer | All Cancer Deaths,Cancer | Breast Cancer Deaths,Cancer | Colorectal Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Cardiovascular Disease | Heart Disease Deaths,Crime Incidents | Homicides,Crime Incidents | Violent Crime,Deaths | Deaths from All Causes,Deaths | Gun Deaths (Firearms),Deaths | Infant Deaths,Deaths | Injury Deaths,Deaths | Maternal Deaths,Deaths | Motor Vehicle Deaths,Deaths | Premature Death,Deaths | Racial Disparity in Police Killings,Diabetes and Obesity | Diabetes Deaths,Disability | People with Disabilities,Education | College Graduates,Education | Preschool Enrollment,Food Access | Limited Supermarket Access,"Health Insurance | Uninsured, All Ages","Health Insurance | Uninsured, Child",Heat and Disasters | Climate-related  Disasters,Heat and Disasters | Community Social Vulnerability to Climate Disasters,Heat and Disasters | Longer Summers,"Housing | Homeless, Children","Housing | Homeless, Total",Housing | Owner Occupied Housing,Housing | Renters vs. Owners,Housing | Vacant Housing and Homelessness,Income Inequality | Household Income Inequality,Income Inequality | Income Inequality,Income | Households with Higher-Incomes,Income | Per-capita Household Income,Income-related | Service Workers,Income-related | Unemployment,Language and Nativity | Foreign Born Population,Language and Nativity | Primarily Speak Chinese,Language and Nativity | Primarily Speak English,Language and Nativity | Primarily Speak Spanish,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Lead Poisoning | Housing Lead Risk,Life Expectancy at Birth | Life Expectancy,Mental Health | Adult Mental Distress,Mental Health | Suicide,Oral Health | Dental Care,Physical Activity | Teen Computer Time,Physical Activity | Teen Physical Education,Physical Activity | Teen TV Time,Population | Children,Population | Population Density,Population | Single-Parent Families,Race/Ethnicity | Minority Population,"Racial Segregation Indices | Racial Segregation, White and Asian","Racial Segregation Indices | Racial Segregation, White and Black","Racial Segregation Indices | Racial Segregation, White and Hispanic","Racial Segregation Indices | Racial Segregation, White and Non-White",Respiratory Disease | Teen Asthma,Respiratory Infection | COVID-19 Deaths,"Respiratory Infection | COVID-19 Vaccination, Adults","Respiratory Infection | COVID-19 Vaccination, Seniors","Respiratory Infection | Flu Vaccinations, Medicare",Respiratory Infection | New Tuberculosis Cases,Sexually Transmitted Disease | New Chlamydia Cases,Sexually Transmitted Disease | New Gonorrhea Cases,Sexually Transmitted Disease | Syphilis Prevalence,"Sexually Transmitted Disease | Syphilis, Newborns",Substance Use | Adult Smoking,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths,Transportation | Lack of Car,Transportation | Longer Driving Commute Time,Transportation | Public Transportation Use
1049,3,0,0,0,0,0,1,2010,,,,10.46057767,,90.07092199,154.0029717,,,44.69557739,167.1188542,128.6590114,,,666.9500395,,,43.56162709,,,5978.394085,,39.64571255,16.91551395,7.947409733,,,,,,,,,,40.4113441,1.474552684,,,,,11654.0,63.56095393,18.97989799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41040364,,,,
2499,4,0,2,0,1,0,1,2010,,,,10.35659444,,13.23687856,172.2395291,11.91069739,12.3821598,37.16126382,187.9711142,122.7133076,4.230291624,,632.7185258,4.55119234,,35.09084539,,6.154215113,4154.775082,,14.6448769,5.13172168,53.48718005,,,,,,,,,,46.10893283,1.168777151,,,,,30766.0,29.30284192,6.495232032,,,,,,,,,6.793689568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,3,0,0,0,0,0,1,2010,,,,6.859903382,,60.57142857,157.9885465,,,29.23230591,208.7145725,171.1783077,23.29230754,,739.686691,26.17163788,,87.13401821,,12.44001274,7770.44846,,35.26115874,9.703247253,5.040684331,,,,,,,,,,47.50699358,1.104953239,,,,,10381.0,73.3664818,21.14707952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56720427,,,,
4584,2,2,1,1,1,1,1,2010,,,,,,,223.9529363,,23.77473386,51.5623431,357.7056892,297.9268919,28.62186243,,942.461774,22.9698197,,66.38629269,,6.901615623,10177.01223,,42.81719701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.546712535,,,,,,,,,,,,,,,,,,,,,,,,13.7149612,4.884655641,,,
210,0,2,2,0,0,0,1,2010,,,,,,,269.7413528,,23.88734646,78.14449907,409.2692293,332.0134442,50.16316753,,1266.738877,46.44359108,,137.3771702,,12.16210428,14533.2105,,34.422891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.90927413,,,,,,,,,,,,,,,,,,,,,,,,30.99131184,25.33298434,,,
3343,1,2,3,1,0,0,1,2010,,,,,,,232.1924805,,20.97624839,62.77127278,,,,,1071.096007,17.13445621,,78.16615506,,,8366.736269,,27.46230525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.06755634,,,,,,,,,,,,,,,,,,,,,,,,27.98587991,13.500932,,,
3542,2,0,3,1,1,0,1,2010,,,,12.76533019,,41.66666667,253.2817699,42.28616548,28.27692626,58.40726214,417.035788,319.6440996,31.24718425,,1072.091205,30.32632356,,71.99911186,17.75126922,9.655190134,11615.7501,,42.70708424,15.94162996,22.44236311,,,,,,,,,,29.22944187,2.421207988,,,,,23182.0,35.82665086,16.94080853,,,,,,,,,8.856062462,,,,,,,,,,,,,,,,,,,,,,,,14.57570883,3.61331468,,,
6449,0,1,3,1,0,0,0,2010,,,,,,,124.7416898,,13.65375447,23.52543614,142.7152754,92.50162468,1.678164919,,483.1283462,1.092089377,,25.34022048,,4.255819302,2773.533128,,21.9069347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.455292421,,,,,,,,,,,,,,,,,,,,,,,,6.171708652,2.819693232,,,
3125,4,2,3,1,0,0,0,2010,,,,,,,136.0772985,,19.28563609,43.80476318,193.451924,150.3549704,,,524.5329474,8.130383249,,45.33990244,,11.80026603,4755.058517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.76864106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964,5,0,2,0,0,0,1,2010,,,,,,,,,,,,,,,,,,,,,,,,16.01466993,20.57264051,,,,,,,,,,37.2659176,1.683417085,,,,,17054.0,53.29787234,2.992776058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2288,0,0,2,1,0,0,0,2010,0.146594091,1.159234827,22.0,8.401768793,,57.80213883,186.7687513,23.01019471,19.96987115,48.70946257,256.9259443,188.5996356,7.696329209,575.1353437,820.4867123,10.96577081,,48.72702609,31.97631384,10.32216363,7017.087962,0.635850848,22.51091964,9.79555202,25.96170219,36.6504065,65.0474034,,,28.05,47.26027397,32.19166667,,,59.06672375,0.693000621,,-0.052676442,0.4565,50.9773867,24338.0,41.49540805,9.213272542,17.67363702,,,,2.8,13.7865662,,11.7,9.606115618,55.0,42.9,47.6,31.7,29.32696121,2183.629417,14.71507859,58.24013766,40.58520564,55.5106839,51.49402693,45.50696781,19.0,,,,48.0,6.3,442.1,141.2,8.3,35.9,18.8,8.454078316,2.29476911,6.565729925,,1.19047619
4789,4,2,3,1,0,0,0,2010,,,,,,,181.076625,,18.86422048,42.03188557,141.2278438,77.02745338,,,541.9009643,17.38608698,,43.79195456,,,4674.414726,,20.45916948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,2,0,2,1,0,0,0,2010,,,,14.27925892,,52.53061827,219.8508045,28.35933207,23.198567,60.66411375,231.1024858,162.4421114,14.38343522,,881.6073793,13.51498721,,44.76598666,27.22831745,6.764993342,8285.006778,,34.24187115,10.26641852,23.25175942,,,,,,,,,,43.62036142,1.292507369,,,,,19779.0,40.44595266,15.76447489,,,,,,,,,4.393048205,,,,,,,,,,,,,,,,,,,,,,,,4.890085435,1.873393702,,,
5423,1,2,3,1,1,0,1,2010,,,,,,,172.7800064,,15.6480323,49.3300556,249.9042652,199.3570451,6.222302056,,865.5911691,24.7513628,,112.1508465,,13.55355429,7963.936002,,25.17785529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.25984247,,,,,,,,,,,,,,,,,,,,,,,,31.91870784,14.72766416,,,
430,1,1,1,1,0,1,1,2010,,,,,,,153.0425736,,13.18022586,38.50534469,146.9243114,109.0495807,,,608.3296726,,,33.62546674,,,3874.233495,,9.966816434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17180436,,,,,,,,,,,,,,,,,,,,,,,,14.8657997,9.363212505,,,
1053,1,0,0,0,0,0,1,2010,,,,9.728575785,,44.34745882,223.6847986,20.66064349,19.06078179,64.36531693,330.1175403,271.0525618,6.346615091,,1014.208,8.472190716,,85.6099022,,6.607546702,10378.74281,,28.56565372,19.48406383,21.04648603,,,,,,,,,,58.51720821,0.708899024,,,,,23993.0,44.32484871,12.69258692,,,,,,,,,15.7700352,,,,,,,,,,,,,,,,,,,,,,,,38.02437895,31.63694939,,,
2707,4,0,0,1,0,0,0,2010,,,,7.32177264,,26.41878669,,,,,,,,,,,,,,,5732.536212,,,4.369786051,54.03478999,,,,,,,,,,44.48589037,1.247903755,,,,,24114.0,32.15645552,7.660345195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6254,1,1,3,1,0,1,0,2010,,,,,,,152.3051326,,12.69166302,37.04052189,158.871462,120.5288846,,,532.6702946,,,37.20254489,,,3092.808433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.176367093,,,,,,,,,,,,,,,,,,,,,,,,19.71954071,12.06657777,,,
2718,1,1,0,1,0,0,0,2010,,,,,,,,,,,223.789874,158.4438242,2.627820973,,786.8396738,3.862875969,,47.37952852,,7.704733365,6379.241116,,16.37123889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.634176802,,,,,,,,,,,,,,,,,,,,,,,,20.5336458,5.6007747,,,
7087,1,2,2,1,0,1,1,2010,,,,,,,140.1421995,,,25.5485239,202.8248143,170.6875583,,,,,,45.05596653,,,3085.731146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.15190506,,,,,,,,,,,,,,,,,,,,,,,,11.04233534,6.587520539,,,
5412,4,1,3,1,1,0,1,2010,,,,,,,98.95218136,,,,118.43902,100.5841218,,,444.7115504,,,40.8047862,,,3779.74652,,32.44405182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6036,4,1,3,1,1,0,0,2010,,,,,,,102.1725173,,9.884344282,23.68480389,127.0776197,79.74140291,,,385.1543986,,,15.01319722,,4.84894162,2803.796339,,16.16875152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,2,2,2,1,0,0,0,2010,,,,,,,333.2526664,,,88.45355918,431.1770307,325.4036108,37.36258425,,1323.857531,36.2499715,,92.71368569,,16.75977179,14028.95799,,43.24163564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.99160767,,,,,,,,,,,,,,,,,,,,,,,,20.94009099,,,,
4791,2,1,3,1,0,0,0,2010,,,,,,,190.7944975,,17.1863156,51.30610475,275.1445511,186.7591987,,,800.3836407,,,44.80201257,,,8340.584834,,37.1831057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9012639,,,,
2294,2,0,2,1,0,0,0,2010,,,,14.39931227,,68.72641095,228.8779028,30.44026059,33.07703566,53.62407221,329.6430564,230.909764,20.53610964,,989.5664762,18.94576042,,52.99420312,74.88392991,9.396736562,10786.83137,,36.70036017,14.28978706,16.2792099,,,,,,,,,,42.89823735,1.33109811,,,,,18077.0,42.74784713,15.79168165,,,,,,,,,4.299873006,,,,,,,,,,,,,,,,,,,,,,,,10.90209188,,,,
6241,0,1,3,1,0,1,0,2010,,,,,,,129.4877858,,13.78668157,28.79144355,145.4853049,102.2918584,1.445525131,,464.455982,1.145263172,,29.70410539,,1.936237019,2943.169252,,10.64740653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.354188389,,,,,,,,,,,,,,,,,,,,,,,,12.76397763,7.75883253,,,
2507,3,2,2,0,1,0,1,2010,,,,,,,167.4946647,,21.59352333,34.85799297,239.7790821,178.7606424,15.87222213,,790.161878,17.30365533,,68.03594727,,18.6781701,7200.37929,,35.16557175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75289317,,,,,,,,,,,,,,,,,,,,,,,,6.279038311,2.347874132,,,
5212,5,0,1,0,1,1,1,2010,,,,,,,,,,,,,,,,,,,,,,,,23.87082204,13.76651982,,,,,,,,,,48.9213198,1.044098573,,,,,14571.0,37.76357827,20.03065917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,4,2,0,1,1,1,1,2010,,,,,,,132.9729442,,19.18191005,35.44264391,171.9050998,127.4022344,,,519.3512988,,,19.69077853,,,3770.127202,,26.41419536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7075,4,0,2,1,0,1,1,2010,,,,7.547169811,,21.11984283,94.96854475,,,,149.0585588,95.6936044,,,431.7904665,,,33.36192249,,,3918.507598,,,3.999248085,78.6407767,,,,,,,,,,39.06047516,1.560132707,,,,,51425.0,14.51886393,2.688209007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6865,0,1,3,0,0,0,0,2010,,,,,,,175.6160003,,13.88968696,43.00548731,247.0157619,174.4313774,3.240991183,,832.6243009,5.300694343,,59.40035066,,8.376497238,6447.173041,,25.81147641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04254314,,,,,,,,,,,,,,,,,,,,,,,,27.04597897,18.78580444,,,
2919,2,1,0,1,0,0,0,2010,,,,,,,204.6925055,,19.82610304,43.54034177,231.6214176,149.8480234,14.91211643,,818.9030514,10.63314688,,45.36216887,,9.414915875,8374.144232,,39.32437639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.21187661,,,,
4164,4,1,0,0,0,0,1,2010,,,,,,,,,,,,,,,,,,,,,3014.257597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,4,2,0,0,0,0,1,2010,,,,,,,,,,,,,,,,,,,,,12617.58867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,5,0,2,1,1,0,1,2010,,,,,,,,,,,,,,,,,,,,,,,,15.97617815,16.41285956,,,,,,,,,,51.62721893,0.936962751,,,,,19860.0,41.90358467,7.595659623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5207,2,1,1,0,1,1,1,2010,,,,,,,204.6886665,,19.90145476,50.53081713,273.8870148,205.2011346,6.340775832,,854.6749843,3.374439762,,35.49445505,,4.699284925,8637.419871,,27.13112146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.849635961,,,,,,,,,,,,,,,,,,,,,,,,11.01763389,,,,
5208,2,2,1,0,1,1,1,2010,,,,,,,316.3589345,,30.96504073,89.65100376,414.749156,328.26368,74.42902741,,1335.109362,71.41600444,,156.9585446,,13.44585591,16721.86182,,39.86273853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02299288,,,,,,,,,,,,,,,,,,,,,,,,33.15849823,,,,
3130,3,1,3,1,0,0,0,2010,,,,,,,71.93049043,,8.051467725,11.41981259,134.0307224,95.11269421,2.710104463,,441.4646884,2.665440678,,25.27799622,,7.680233666,2793.310163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.303951429,,,,,,,,,,,,,,,,,,,,,,,,6.708292783,4.591157284,,,
5628,5,0,3,1,0,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,17.70879857,17.83746556,,,,,,,,,,26.25730994,2.808463252,,,,,16849.0,47.02886248,17.04225352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3135,1,2,3,1,0,0,0,2010,,,,,,,213.6305121,,,62.00309597,312.3883426,266.7897034,4.992016987,,986.9411034,26.475867,,109.7353804,,14.09750606,9359.417369,,13.69183287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.54317609,,,,,,,,,,,,,,,,,,,,,,,,38.90810828,29.7262588,,,
4994,0,2,2,1,0,0,0,2010,,,,,,,195.7476512,,15.4941292,58.16451507,297.3612842,240.7988985,12.43380554,,961.5739975,25.91978121,,95.45291092,,15.47834951,8820.558434,,35.63402499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.77282469,,,,,,,,,,,,,,,,,,,,,,,,20.12367103,13.3081033,,,
4380,5,0,0,1,0,0,0,2010,,,,,,,,,,,,,,,,,,,,,,,,15.84980894,12.80953837,,,,,,,,,,18.63679695,4.3657289,,,,,12816.0,44.68201754,25.27652601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6658,0,2,3,1,0,0,0,2010,,,,,,,218.001632,,18.45800752,51.72906894,255.0283828,198.0834446,3.995558809,,841.7161551,10.53157407,,71.68959723,,5.757165453,6075.173157,,28.75469711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.65776202,,,,,,,,,,,,,,,,,,,,,,,,20.92152581,15.25005478,,,
5620,4,1,3,1,0,0,0,2010,,,,,,,114.1203074,,,23.59371471,108.1463494,49.22935962,,,438.1674212,,,28.82627146,,,3302.848464,,32.93609438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1458,0,2,2,1,1,0,1,2010,,,,,,,208.1925955,,23.84567646,50.92542601,294.8877024,229.8075575,15.55395741,,923.1191346,21.10500939,,84.77746497,,15.27918351,8867.448871,,27.32332156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.26465011,,,,,,,,,,,,,,,,,,,,,,,,14.27016424,6.728341813,,,
1677,1,0,3,1,0,0,0,2010,,,,8.170865279,,22.06326818,168.6632415,21.46034396,15.85859565,38.00599927,183.4408075,139.3522168,2.22178897,,738.838675,9.064609059,,84.95179781,,7.455468789,6049.726428,,14.03059335,9.934274944,58.2756255,,,,,,,,,,55.89825503,0.78896461,,,,,46146.0,21.79722981,5.708984687,,,,,,,,,19.55676496,,,,,,,,,,,,,,,,,,,,,,,,28.70417898,17.43212852,,,
5211,3,2,1,0,1,1,1,2010,,,,,,,159.181355,,12.38931833,20.85857548,301.8235714,229.5291449,24.55529953,,854.1109582,20.30262595,,100.4869802,,12.48309313,9234.291433,,30.19839163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34127801,,,,,,,,,,,,,,,,,,,,,,,,27.49143964,,,,
3128,2,2,3,1,0,0,0,2010,,,,,,,232.2283179,,29.9386733,64.89448342,354.480364,294.7997249,25.13539853,,1023.958176,29.27248138,,84.78378562,,14.35248739,11943.23725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.42609588,,,,,,,,,,,,,,,,,,,,,,,,16.48346367,9.653369667,,,
6872,2,2,3,0,0,0,0,2010,,,,,,,344.7796685,,,,517.0864914,409.6756493,52.98793783,,1612.341467,51.25608043,,,,,14229.44328,,58.71538865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,4,0,2,0,0,0,1,2010,,,,8.414872798,,,160.9108252,,,,144.6161304,104.9456242,,,509.4319431,,,74.30527477,,,5339.982932,,,4.248164162,71.484375,,,,,,,,,,28.1382348,2.553883203,,,,,28894.0,22.49429079,5.536912752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5002,3,1,2,1,0,0,0,2010,,,,,,,129.7064027,,,,171.9538846,91.32224343,,,567.9953275,,,32.680573,,,3472.221262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,2,2,2,1,0,0,0,2010,,,,,,,319.8795925,,35.05064616,94.75370234,297.8110536,215.504306,23.98288614,,1160.925676,25.31548359,,63.25652944,,10.84974361,11146.13767,,47.5843605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.711833601,,,,,,,,,,,,,,,,,,,,,,,,6.255640523,,,,
3333,4,2,3,1,0,0,1,2010,,,,,,,187.355042,,,50.38820916,,,,,879.8700589,,,31.22098049,,,6845.92841,,33.53466233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6866,0,2,3,0,0,0,0,2010,,,,,,,276.5689516,,23.10036361,68.02975403,348.8211958,279.8415547,18.31016166,,1223.359093,40.14781189,,142.7383881,,19.10272679,11701.35841,,44.18418849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.54701827,,,,,,,,,,,,,,,,,,,,,,,,35.65009467,24.51562583,,,
