,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Active Transportation | Walking to Work,Births | Low Birthweight,Births | Preterm Births,Cancer | All Cancer Deaths,Cancer | Breast Cancer Deaths,Cancer | Lung Cancer Deaths,Cardiovascular Disease | Cardiovascular Disease Deaths,Crime Incidents | Homicides,Crime Incidents | Violent Crime,Deaths | Deaths from All Causes,Deaths | Injury Deaths,Deaths | Maternal Deaths,Deaths | Premature Death,Deaths | Racial Disparity in Police Killings,Diabetes and Obesity | Diabetes Deaths,Disability | People with Disabilities,Food Access | Limited Supermarket Access,"Health Insurance | Uninsured, All Ages","Health Insurance | Uninsured, Child","Housing | Homeless, Children",Housing | Renters vs. Owners,Income Inequality | Income Inequality,Income-related | Unemployment,Language and Nativity | Foreign Born Population,Language and Nativity | Primarily Speak Chinese,Language and Nativity | Primarily Speak Spanish,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Lead Poisoning | Housing Lead Risk,Life Expectancy at Birth | Life Expectancy,Mental Health | Adult Mental Distress,Population | Children,Population | Single-Parent Families,Race/Ethnicity | Minority Population,"Racial Segregation Indices | Racial Segregation, White and Black","Racial Segregation Indices | Racial Segregation, White and Non-White",Respiratory Infection | COVID-19 Deaths,Respiratory Infection | New Tuberculosis Cases,Sexually Transmitted Disease | New Gonorrhea Cases,"Sexually Transmitted Disease | Syphilis, Newborns",Substance Use | Adult Smoking,Substance Use | Drug Overdose Deaths,Substance Use | Opioid Overdose Deaths,Transportation | Lack of Car
4584,0.4,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,,,,,0.5661309596860868,,0.4481348592776189,0.5554457283061288,0.15978348269409615,,0.4464539574876113,0.12762851936475764,,0.32058016922421523,,0.4960519111587943,,,,,,,,,,,,,,,,,,,,,,,,,,0.04715912096871521,0.01959666519863782,
210,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,0.7058927760090484,,0.7176076582449372,0.6498723675517883,0.28170281746864345,,0.6325772075482321,0.28427066756758623,,0.4706980210323981,,0.3903721533616634,,,,,,,,,,,,,,,,,,,,,,,,,,0.1113429798162415,0.10851920091717494,
3343,0.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,0.591280850228061,,0.5617637785310577,,,,0.5202853236048026,0.15362091461174607,,0.2581967051112941,,0.3027421556811094,,,,,,,,,,,,,,,,,,,,,,,,,,0.10017741465780197,0.0570657979366808,
3542,0.4,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,,0.6332232494363248,,0.6556525323434401,0.8817275396937205,0.517524245695153,0.6640950146998096,0.17464226160176335,,0.5208565310212381,0.14001326629423416,0.18417788216356795,0.3701601527265457,,0.4946656511332355,0.35823390407935995,,,,,0.3903246559925776,,0.5861881453206284,,,,,,,,,,,,,,,,,,0.050356908831352784,0.014068053854450539,
6449,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.2633045011536092,,0.16391473050310976,0.16174075370979263,0.007287723423329163,,0.18281329444757716,0.03705991179462106,,0.06545073988834262,,0.23280305487897968,,,,,,,,,,,,,,,,,,,,,,,,,,0.019134970100237878,0.010616875394069651,
3125,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.29790463328611844,,0.36949350390319763,0.2546531333601184,,,0.2065780279779858,0.08118942893076947,,0.1337355874235431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3964,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,0.3602515215601846,,,,,0.2474833677569562,,0.1035564414586416,,,,,,,,,,,,,,,,,,,,
2288,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0018017267657643573,0.05170474683879217,0.2849226917240628,,0.45263218354716916,0.41250877159001104,0.4192141915031131,0.370891048846836,0.041349289488828864,0.18389556670486995,0.37644471323348117,0.08866315433569728,0.38730348296789735,0.21168681460913588,0.1263168354455081,0.2404068975428373,0.1884578993759832,0.905136936089088,,,,0.0557320693439843,0.17241379310344834,0.3187989011365357,0.35911789688796364,,,0.210534366686589,0.18762668767134308,,0.17857142857142858,1.0,0.22016617106413106,0.5065647238460341,0.43842685133160436,0.5514252431382399,,0.41221374045801523,0.16515013648771606,0.1646033929390188,0.4902912621359224,0.02761426618565537,0.008334166392509564,0.040609245908993355
4789,0.8,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.4352578786194655,,0.35152121104883477,0.159016868444673,,,0.2165466373020175,0.07777386499165548,,0.13095654204584312,,0.21457647633699609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,0.4,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,,,0.75406541779865,,0.5536098586088268,0.5427183300306689,0.5404027556582633,0.32360138651710074,0.07919692744034725,,0.4115257506631048,0.07992307748083792,0.31950477687599776,0.2553802456992444,,0.3880932116740857,0.20146486640423772,,,,,0.171800613754145,,0.5454844897962327,,,,,,,,,,,,,,,,,,0.014373575441739525,0.006501754056012568,
5423,0.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,,,,,0.40993377760202,,0.4255053644614858,0.3580324755605831,0.03300660045029982,,0.40233302916504066,0.22860850822786957,,0.24431590652454785,,0.27398217025945987,,,,,,,,,,,,,,,,,,,,,,,,,,0.11478837492311926,0.06240042141229094,
430,0.2,0.5,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,,,,,0.3496884214936602,,0.3157714079599219,0.1694486248756049,,,0.25467429716989576,0.055341398347214195,,0.10338169810859794,,0.08248344478652153,,,,,,,,,,,,,,,,,,,,,,,,,,0.051434633626421894,0.03907232203928785,
1053,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.3908287563454629,,0.5653125122524075,0.3553156194422208,0.5779231727977517,0.5049244456598304,0.033710186535759655,,0.48763367890230463,0.17004562414606636,,0.3275319559512272,,0.31663271422597655,0.45608822275962735,,,,,0.058810107248999065,,0.43919060727119064,,,,,,,,,,,,,,,,,,0.13747172633567542,0.13593291113176323,
2707,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.19871712975451783,,,,,,,,,,,0.1674202001681816,,,0.03857941139306548,,,,,0.16316505365464024,,0.2650642992877765,,,,,,,,,,,,,,,,,,,,
6254,0.2,0.5,1.0,1.0,0.0,1.0,0.0,0.0,,,,,0.3474375008139503,,0.3009219766213718,0.1913270544312933,,,0.2112485689866604,0.06323426043539547,,0.07645320578895977,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06946690411918434,0.05082829964879151,
2718,0.2,0.5,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.3102100376096553,0.012662580416942865,,0.3571325382368554,0.08568988619947572,,0.18970613504191663,,0.16311164837765868,,,,,,,,,,,,,,,,,,,,,,,,,,0.07249140896239077,0.022710813231956888,
7087,0.2,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,,,,,0.3103120933024093,,0.1844234929172264,0.27181740348840705,,,,0.08056292123774848,,0.07620931718352447,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037229973052874545,0.027001821235847514,
5412,0.8,0.5,1.0,1.0,1.0,0.0,1.0,0.0,,,,,0.1845861523404165,,,0.11728443425527764,,,0.16076345242955717,0.07118264531152112,,0.1001256062524177,,0.36545964183149665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6036,0.8,0.5,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.1944157126211157,,0.16553029824359294,0.13310402181419242,,,0.12657981579650832,0.014273221944800404,,0.06649363278314599,,0.16056244226185995,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2296,0.4,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,,,,,0.8997509004932881,,0.822114278614603,0.6899914139836557,0.2092541616894821,,0.6653612352307787,0.18572020016584642,,0.453321102242592,,0.5013953632041107,,,,,,,,,,,,,,,,,,,,,,,,,,0.07400140498225717,,
4791,0.4,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,,,,0.4649201298002845,,0.44553727970374263,0.4042541928149538,,,0.3649062820961049,0.0800025690455473,,0.2572955070939914,,0.4251217587032586,,,,,,,,,,,,,,,,,,,,,,,,,,0.07757228564270584,,
2294,0.4,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,,,0.7636481061020558,,0.5811636320513724,0.5933726253871396,0.469035342843027,0.5040555386769839,0.11401979304150218,,0.47349034144902125,0.09807872715555446,1.0,0.3415949930715957,,0.41904425442508814,0.3126042699130806,,,,,0.1792720411409465,,0.5464259017811648,,,,,,,,,,,,,,,,,,0.03670895060846503,,
