,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Crime Incidents | Homicides,Diabetes and Obesity | Diabetes Deaths,"Housing | Homeless, Total",Language and Nativity | Foreign Born Population,Population | Population Density,"Sexually Transmitted Disease | Syphilis, Newborns"
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,1.458997071,3.955670262,17.18095968,151.08470444383227,19.08120494,2685.086346,0.0
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.4132838703189088,2.598894685,16.74117481,150.723706729261,13.932141649791943,1957.499990127869,6.436696456569456
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.4132838703189088,5.251540797,17.84771037,150.723706729261,13.932141649791943,1957.499990127869,6.436696456569456
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,0.4132838703189088,6.344747574714286,24.225237000179433,150.723706729261,13.932141649791943,1957.499990127869,6.436696456569456
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.40395042167441997,4.0946207757142865,27.587660655714284,150.51135590671976,13.9153107642688,1947.4105134012634,6.324081485270663
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.40395042167441997,16.78034660014286,29.005153852857145,150.51135590671976,13.9153107642688,1947.4105134012634,6.324081485270663
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,0.4132838703189088,10.4743466,36.59403803,150.723706729261,13.932141649791943,1957.499990127869,6.436696456569456
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.40395042167441997,6.462583405,44.61118082,150.51135590671976,13.9153107642688,1947.4105134012634,6.324081485270663
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.40395042167441997,15.81001622,25.54371488,150.51135590671976,13.9153107642688,1947.4105134012634,6.324081485270663
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,0.4132838703189088,4.851729185,25.88104985,150.723706729261,13.932141649791943,1957.499990127869,6.436696456569456
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.40395042167441997,3.400617222,29.04607198,150.51135590671976,13.9153107642688,1947.4105134012634,6.324081485270663
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.40395042167441997,6.206742003,19.98190816,150.51135590671976,13.9153107642688,1947.4105134012634,6.324081485270663
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,0.4132838703189088,10.965524765285712,31.681066864285715,150.723706729261,13.932141649791943,1957.499990127869,6.436696456569456
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,0.4132838703189088,2.126556539,13.31094517,150.723706729261,13.932141649791943,1957.499990127869,6.436696456569456
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.40395042167441997,3.2693777843333334,10.41500023,150.51135590671976,13.9153107642688,1947.4105134012634,6.324081485270663
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.40395042167441997,2.38516509,17.0216383,150.51135590671976,13.9153107642688,1947.4105134012634,6.324081485270663
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,1.458997071,3.528983476,17.468989,151.38006788316756,19.08120494,2685.086346,19.4
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,0.40903783619356443,2.204353444,17.10964739,150.87732303094486,14.203282660558285,1928.6286017030272,12.689565648914778
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,0.40903783619356443,4.784780043,18.00033042,150.87732303094486,14.203282660558285,1928.6286017030272,12.689565648914778
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,0.40903783619356443,8.821516343857143,25.323540777391543,150.87732303094486,14.203282660558285,1928.6286017030272,12.689565648914778
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,0.3990610874641123,4.030447770285715,29.076434595714286,150.60534764723806,14.227531274727514,1914.164935012378,12.760707679814734
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,0.3990610874641123,13.973581928857142,25.777660312857144,150.60534764723806,14.227531274727514,1914.164935012378,12.760707679814734
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,0.40903783619356443,10.08263217,31.67257995,150.87732303094486,14.203282660558285,1928.6286017030272,12.689565648914778
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,0.3990610874641123,6.977157591500001,34.04193559,150.60534764723806,14.227531274727514,1914.164935012378,12.760707679814734
24,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,0.3990610874641123,15.99464802,31.58976388,150.60534764723806,14.227531274727514,1914.164935012378,12.760707679814734
25,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,0.40903783619356443,4.392607349,28.96732681,150.87732303094486,14.203282660558285,1928.6286017030272,12.689565648914778
