,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Transportation | Lack of Car
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,46.31688603,6.8044219321931685,63.14366606,0.003340583,1.927904408,49.97393478,7.104797372
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,48.3162955423628,6.811687208015261,63.0710539413821,-0.049009783788648474,3.03631580644724,52.29993361752038,7.762861665190891
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,48.3162955423628,6.811687208015261,63.0710539413821,-0.049009783788648474,3.03631580644724,52.29993361752038,7.762861665190891
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,5.46000546,3.746010101250551,63.0710539413821,-0.049009783788648474,3.03631580644724,52.29993361752038,7.762861665190891
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,18.21493908288719,3.73128918995191,63.104456665498745,-0.04867262904820509,2.9621213327406184,52.40903696533054,7.738479243185358
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,18.21493908288719,3.73128918995191,63.104456665498745,-0.04867262904820509,2.9621213327406184,52.40903696533054,7.738479243185358
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,80.9587217,11.487411127871129,63.0710539413821,-0.049009783788648474,3.03631580644724,52.29993361752038,7.762861665190891
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,70.87928770961744,11.48271046417429,63.104456665498745,-0.04867262904820509,2.9621213327406184,52.40903696533054,7.738479243185358
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,70.87928770961744,11.48271046417429,63.104456665498745,-0.04867262904820509,2.9621213327406184,52.40903696533054,7.738479243185358
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,77.94091788,5.526683438510039,63.0710539413821,-0.049009783788648474,3.03631580644724,52.29993361752038,7.762861665190891
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,84.60497045938304,5.511170463772653,63.104456665498745,-0.04867262904820509,2.9621213327406184,52.40903696533054,7.738479243185358
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,84.60497045938304,5.511170463772653,63.104456665498745,-0.04867262904820509,2.9621213327406184,52.40903696533054,7.738479243185358
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,35.62546077428572,7.189333970714285,63.0710539413821,-0.049009783788648474,3.03631580644724,52.29993361752038,7.762861665190891
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,13.08223875,4.730123509151174,63.0710539413821,-0.049009783788648474,3.03631580644724,52.29993361752038,7.762861665190891
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,24.625127134862026,4.722378520022256,63.104456665498745,-0.04867262904820509,2.9621213327406184,52.40903696533054,7.738479243185358
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,24.625127134862026,4.722378520022256,63.104456665498745,-0.04867262904820509,2.9621213327406184,52.40903696533054,7.738479243185358
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,43.60932209,6.797855194454798,63.14366606,0.003340583,1.927904408,49.97393478,7.104797372
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,43.42350145694309,6.808690280874258,62.97282199063703,-0.055348945849348345,4.220666038683523,52.00438469250241,7.658633082450754
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,43.42350145694309,6.808690280874258,62.97282199063703,-0.055348945849348345,4.220666038683523,52.00438469250241,7.658633082450754
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,3.856266433,3.758861691914331,62.97282199063703,-0.055348945849348345,4.220666038683523,52.00438469250241,7.658633082450754
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,14.343645324146683,3.7374343354097457,62.99134198211988,-0.05597221242489361,4.32590777367813,52.06871059699965,7.618459400132543
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,14.343645324146683,3.7374343354097457,62.99134198211988,-0.05597221242489361,4.32590777367813,52.06871059699965,7.618459400132543
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,69.44669804,11.491659834520313,62.97282199063703,-0.055348945849348345,4.220666038683523,52.00438469250241,7.658633082450754
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,67.03844619650091,11.484649488508499,62.99134198211988,-0.05597221242489361,4.32590777367813,52.06871059699965,7.618459400132543
24,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,67.03844619650091,11.484649488508499,62.99134198211988,-0.05597221242489361,4.32590777367813,52.06871059699965,7.618459400132543
