,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Respiratory Infection | New Tuberculosis Cases,Sexually Transmitted Disease | New Gonorrhea Cases,Language and Nativity | Foreign Born Population,Substance Use | Opioid Overdose Deaths,"Health Insurance | Uninsured, Child",Deaths | Deaths from All Causes,Language and Nativity | Primarily Speak Chinese
6813,12,1,0,3,1,0,0,0,2019,4.614303213126886,255.88597742127374,22.18795632459008,17.60114247,1.157618037,583.254833,4.342099614351113
6814,12,1,1,3,1,0,0,0,2019,4.61429446450612,255.88584586552108,22.187950010729406,10.24029612,2.2058923274578808,506.1816166,3.9021815561559205
6815,12,1,2,3,1,0,0,0,2019,4.61429446450612,255.88584586552108,22.187950010729406,24.48276384,2.2058923274578808,663.6975978,3.9021815561559205
6816,12,0,0,3,1,0,0,0,2020,4.0,206.0,19.84037637,19.51468265,1.835839486,614.119721,4.925589434
6817,12,0,1,3,1,0,0,0,2020,4.39998628822147,254.80032268385477,22.049959398024114,11.4922169,4.597876571465974,500.0788355,4.342099614351113
6818,12,0,2,3,1,0,0,0,2020,4.39998628822147,254.80032268385477,22.049959398024114,27.1858101,4.597876571465974,750.9999749,4.342099614351113
6819,12,4,0,3,1,0,0,0,2020,4.39998628822147,254.80032268385477,22.049959398024114,3.69935953,3.225806452,526.3024886,4.342099614351113
6820,12,4,1,3,1,0,0,0,2020,4.399993143484011,254.80016135667628,22.04994929993525,2.6784909677854314,2.906658600678256,431.843856,4.114462133546977
6821,12,4,2,3,1,0,0,0,2020,4.399993143484011,254.80016135667628,22.04994929993525,6.928820785,2.906658600678256,655.5179958,4.114462133546977
6822,12,2,0,3,1,0,0,0,2020,4.39998628822147,254.80032268385477,22.049959398024114,48.54560671,1.621770203,951.8087325,4.342099614351113
6823,12,2,1,3,1,0,0,0,2020,4.399993143484011,254.80016135667628,22.04994929993525,44.3107349,2.591982106447204,721.8508977,4.114462133546977
6824,12,2,2,3,1,0,0,0,2020,4.399993143484011,254.80016135667628,22.04994929993525,57.72032297,2.591982106447204,1415.165092,4.114462133546977
6825,12,3,0,3,1,0,0,0,2020,4.39998628822147,254.80032268385477,22.049959398024114,21.43322026,3.311612961,1317.906867,4.342099614351113
6826,12,3,1,3,1,0,0,0,2020,4.399993143484011,254.80016135667628,22.04994929993525,10.33392883775,5.918260914385709,545.9626351600001,4.114462133546977
6827,12,3,2,3,1,0,0,0,2020,4.399993143484011,254.80016135667628,22.04994929993525,34.44092612,5.918260914385709,1052.1303325000001,4.114462133546977
6828,12,5,0,3,1,0,0,0,2020,4.39998628822147,254.80032268385477,22.049959398024114,16.660088450680007,4.912280702,731.4810804673544,4.342099614351113
6829,12,1,0,3,1,0,0,0,2020,4.39998628822147,254.80032268385477,22.049959398024114,20.89554965,1.157618037,608.5581571,4.342099614351113
6830,12,1,1,3,1,0,0,0,2020,4.399993143484011,254.80016135667628,22.04994929993525,12.12418332,2.2058923274578808,510.686934,4.114462133546977
6831,12,1,2,3,1,0,0,0,2020,4.399993143484011,254.80016135667628,22.04994929993525,29.00261766,2.2058923274578808,716.4386993,4.114462133546977
6832,12,0,0,3,1,0,0,0,2021,4.0,206.0,19.84037637,27.9601186,1.835839486,606.6113094,4.925589434
6833,12,0,1,3,1,0,0,0,2021,3.8714438502675046,254.80032268385477,22.18795632459008,14.84254486,4.597876571465974,486.1779821,4.342099614351113
6834,12,0,2,3,1,0,0,0,2021,3.8714438502675046,254.80032268385477,22.18795632459008,40.30205623,4.597876571465974,747.5511783,4.342099614351113
6835,12,4,0,3,1,0,0,0,2021,3.8714438502675046,254.80032268385477,22.18795632459008,4.911322067,3.225806452,454.6080633,4.342099614351113
6836,12,4,1,3,1,0,0,0,2021,4.699984915664823,242.00051241029493,25.073537869670236,2.649067217282407,2.8297134149882592,350.8330614,4.114462133546977
6837,12,4,2,3,1,0,0,0,2021,4.699984915664823,242.00051241029493,25.073537869670236,9.644181451,2.8297134149882592,602.2666937,4.114462133546977
6838,12,2,0,3,1,0,0,0,2021,3.8714438502675046,254.80032268385477,22.18795632459008,79.43555634,1.621770203,1171.882525,4.342099614351113
6839,12,2,1,3,1,0,0,0,2021,4.699984915664823,242.00051241029493,25.073537869670236,42.96180641,3.0494709192726392,836.3876376,4.114462133546977
6840,12,2,2,3,1,0,0,0,2021,4.699984915664823,242.00051241029493,25.073537869670236,114.567782,3.0494709192726392,1646.789252,4.114462133546977
6841,12,3,0,3,1,0,0,0,2021,3.8714438502675046,254.80032268385477,22.18795632459008,34.08637405,3.311612961,740.7076253,4.342099614351113
6842,12,3,1,3,1,0,0,0,2021,4.699984915664823,242.00051241029493,25.073537869670236,11.7245517705,5.918260914385708,640.0274233,4.114462133546977
6843,12,3,2,3,1,0,0,0,2021,4.699984915664823,242.00051241029493,25.073537869670236,57.14353411,5.918260914385708,836.6833817,4.114462133546977
6844,12,5,0,3,1,0,0,0,2021,3.8714438502675046,254.80032268385477,22.18795632459008,20.989077358708613,4.912280702,738.8920177473844,4.342099614351113
6845,12,1,0,3,1,0,0,0,2021,3.8714438502675046,254.80032268385477,22.18795632459008,27.53869698,1.157618037,612.2119956,4.342099614351113
6846,12,1,1,3,1,0,0,0,2021,4.699984915664823,242.00051241029493,25.073537869670236,15.52793611,2.2058923274578808,506.1639043,4.114462133546977
6847,12,1,2,3,1,0,0,0,2021,4.699984915664823,242.00051241029493,25.073537869670236,38.41291962,2.2058923274578808,730.7630183,4.114462133546977
6848,12,0,0,3,1,0,0,0,2022,4.0,206.0,19.84037637,32.84393064,1.835839486,610.0050779,4.925589434
6849,12,0,1,3,1,0,0,0,2022,4.699969834087235,286.96998674526907,25.07346505551131,17.65953617,3.632469244604678,483.2671458,3.9021768790241746
6850,12,0,2,3,1,0,0,0,2022,4.699969834087235,286.96998674526907,25.07346505551131,47.02679741,3.632469244604678,760.6287856,3.9021768790241746
6851,12,4,0,3,1,0,0,0,2022,4.699969834087235,286.96998674526907,25.07346505551131,5.673343745,3.225806452,434.5349658,3.9021768790241746
6852,12,4,1,3,1,0,0,0,2022,4.128572016272799,252.8716428212282,22.04994929993525,2.6396431823139346,2.8297134149882592,332.0219374,3.90218155615592
6853,12,4,2,3,1,0,0,0,2022,4.128572016272799,252.8716428212282,22.04994929993525,11.0667428,2.8297134149882592,577.0126553,3.90218155615592
6854,12,2,0,3,1,0,0,0,2022,4.699969834087235,286.96998674526907,25.07346505551131,103.6895775,1.621770203,1485.460089,3.9021768790241746
6855,12,2,1,3,1,0,0,0,2022,4.128572016272799,252.8716428212282,22.04994929993525,52.73327053,3.0494709192726397,1020.105291,3.90218155615592
6856,12,2,2,3,1,0,0,0,2022,4.128572016272799,252.8716428212282,22.04994929993525,158.0370247,3.0494709192726397,1433.4782799999998,3.90218155615592
6857,12,3,0,3,1,0,0,0,2022,4.699969834087235,286.96998674526907,25.07346505551131,41.41810284,3.311612961,663.4267083,3.9021768790241746
6858,12,3,1,3,1,0,0,0,2022,4.128572016272799,252.8716428212282,22.04994929993525,10.163009123,5.7179309957919955,663.6544676,3.90218155615592
6859,12,3,2,3,1,0,0,0,2022,4.128572016272799,252.8716428212282,22.04994929993525,72.01022083,5.7179309957919955,691.3012815,3.90218155615592
6860,12,5,0,3,1,0,0,0,2022,4.699969834087235,286.96998674526907,25.07346505551131,23.306881834812007,4.912280702,730.3928822714275,3.9021768790241746
6861,12,1,0,3,1,0,0,0,2022,4.699969834087235,286.96998674526907,25.07346505551131,31.45990076,1.157618037,618.9462753,3.9021768790241746
6862,12,1,1,3,1,0,0,0,2022,4.128572016272799,252.8716428212282,22.04994929993525,18.07668348,2.2058923274578808,501.2878736,3.90218155615592
6863,12,1,2,3,1,0,0,0,2022,4.128572016272799,252.8716428212282,22.04994929993525,43.41843451,2.2058923274578808,751.8770407,3.90218155615592
6864,30,0,0,3,0,0,0,0,2010,1.9,44.5,15.21751215,21.80950739,6.634606215129759,1003.94239,3.055254390672858
6865,30,0,1,3,0,0,0,0,2010,4.624316535131128,76.39383818303858,18.59100357966052,18.78580444,6.49254939540019,832.6243009,2.2598989899186446
6866,30,0,2,3,0,0,0,0,2010,4.624316535131128,76.39383818303858,18.59100357966052,24.51562583,6.49254939540019,1223.359093,2.2598989899186446
6867,30,4,0,3,0,0,0,0,2010,4.624316535131128,76.39383818303858,18.59100357966052,3.1946665071070894,7.259905368412242,612.1311508,2.2598989899186446
6868,30,4,1,3,0,0,0,0,2010,4.659259742824704,76.68854865775224,18.639309221314303,12.756672515317966,5.316472967181984,624.2093207,2.2661451293313153
6869,30,4,2,3,0,0,0,0,2010,4.659259742824704,76.68854865775224,18.639309221314303,6.947135597604636,5.316472967181984,720.795529,2.2661451293313153
6870,30,2,0,3,0,0,0,0,2010,4.624316535131128,76.39383818303858,18.59100357966052,13.823063448967744,3.871871327261599,978.638193,2.2598989899186446
6871,30,2,1,3,0,0,0,0,2010,4.659259742824704,76.68854865775224,18.639309221314303,12.117675206255212,3.839849766367092,686.4999238,2.2661451293313153
6872,30,2,2,3,0,0,0,0,2010,4.659259742824704,76.68854865775224,18.639309221314303,12.828464411086573,3.839849766367092,1612.341467,2.2661451293313153
6873,30,3,0,3,0,0,0,0,2010,4.624316535131128,76.39383818303858,18.59100357966052,13.54589844,9.233590553375356,777.5566558,2.2598989899186446
6874,30,3,1,3,0,0,0,0,2010,4.659259742824704,76.68854865775224,18.639309221314303,10.26007954,8.222103950700866,644.1662131,2.2661451293313153
6875,30,3,2,3,0,0,0,0,2010,4.659259742824704,76.68854865775224,18.639309221314303,17.26574937,8.222103950700866,958.0390515,2.2661451293313153
6876,30,5,0,3,0,0,0,0,2010,4.624316535131128,76.39383818303858,18.59100357966052,18.663854528555984,15.139838118831477,885.6140332645095,2.2598989899186446
6877,30,1,0,3,0,0,0,0,2010,4.624316535131128,76.39383818303858,18.59100357966052,30.71329252,4.295804377810468,1129.541215,2.2598989899186446
6878,30,1,1,3,0,0,0,0,2010,4.659259742824704,76.68854865775224,18.639309221314303,26.40908333,3.1091052623453512,640.0109726999999,2.2661451293313153
6879,30,1,2,3,0,0,0,0,2010,4.659259742824704,76.68854865775224,18.639309221314303,34.35181331,3.1091052623453512,918.9386867714286,2.2661451293313153
6880,30,0,0,3,0,0,0,0,2011,2.8,39.9,15.21751215,21.58497716,6.7804202803252425,995.3603918,1.9924153520100867
6881,30,0,1,3,0,0,0,0,2011,2.9199173106185836,63.218614623215004,15.61392088141841,18.63965329,6.3248585178310694,826.4768684,2.70273608451716
6882,30,0,2,3,0,0,0,0,2011,2.9199173106185836,63.218614623215004,15.61392088141841,24.38955423,6.3248585178310694,1209.918903,2.70273608451716
6883,30,4,0,3,0,0,0,0,2011,2.9199173106185836,63.218614623215004,15.61392088141841,3.4630040917897094,6.263266089130819,745.4790388,2.70273608451716
6884,30,4,1,3,0,0,0,0,2011,3.0844825116767347,70.41496141940037,16.882192408239412,14.806820438208332,6.049273388376615,547.4761780697675,2.7158599672473587
6885,30,4,2,3,0,0,0,0,2011,3.0844825116767347,70.41496141940037,16.882192408239412,4.175393582519254,6.049273388376615,763.419316,2.7158599672473587
6886,30,2,0,3,0,0,0,0,2011,2.9199173106185836,63.218614623215004,15.61392088141841,16.06085165,3.8979369123428973,1017.604612,2.70273608451716
6887,30,2,1,3,0,0,0,0,2011,3.0844825116767347,70.41496141940037,16.882192408239412,12.122680522262831,3.7940436448263113,780.1037894,2.7158599672473587
6888,30,2,2,3,0,0,0,0,2011,3.0844825116767347,70.41496141940037,16.882192408239412,12.82239662012481,3.7940436448263113,1528.898794,2.7158599672473587
6889,30,3,0,3,0,0,0,0,2011,2.9199173106185836,63.218614623215004,15.61392088141841,12.40171816,9.501726590108829,761.2347351,2.70273608451716
6890,30,3,1,3,0,0,0,0,2011,3.0844825116767347,70.41496141940037,16.882192408239412,9.019407596,9.238860590348045,632.3500974,2.7158599672473587
6891,30,3,2,3,0,0,0,0,2011,3.0844825116767347,70.41496141940037,16.882192408239412,16.07010594,9.238860590348045,925.7725338,2.7158599672473587
6892,30,5,0,3,0,0,0,0,2011,2.9199173106185836,63.218614623215004,15.61392088141841,18.681857671575976,16.989455232835642,930.116425775853,2.70273608451716
6893,30,1,0,3,0,0,0,0,2011,2.9199173106185836,63.218614623215004,15.61392088141841,31.12843622,4.235061842143009,1115.271414,2.70273608451716
6894,30,1,1,3,0,0,0,0,2011,3.0844825116767347,70.41496141940037,16.882192408239412,26.74247147,4.006917734105677,640.6397056428572,2.7158599672473587
6895,30,1,2,3,0,0,0,0,2011,3.0844825116767347,70.41496141940037,16.882192408239412,35.07206975,4.006917734105677,917.6313059285714,2.7158599672473587
6896,30,0,0,3,0,0,0,0,2012,1.6,65.6,15.21751215,22.04533594,7.819576208373648,1003.850722,1.3951050641783131
6897,30,0,1,3,0,0,0,0,2012,2.706231276302782,74.42273169517495,16.046123047561487,19.59632643,6.922874660632502,819.8470162,1.755223072741436
6898,30,0,2,3,0,0,0,0,2012,2.706231276302782,74.42273169517495,16.046123047561487,24.4603095,6.922874660632502,1260.562665,1.755223072741436
6899,30,4,0,3,0,0,0,0,2012,2.706231276302782,74.42273169517495,16.046123047561487,3.460768163936249,6.8300788412781275,560.5498948,1.755223072741436
6900,30,4,1,3,0,0,0,0,2012,2.7099939079469624,74.5249765909455,16.065512070714227,14.463403654642843,6.454797884159646,565.4732689,1.765374225267268
6901,30,4,2,3,0,0,0,0,2012,2.7099939079469624,74.5249765909455,16.065512070714227,4.152774342323538,6.454797884159646,720.3880401,1.765374225267268
6902,30,2,0,3,0,0,0,0,2012,2.706231276302782,74.42273169517495,16.046123047561487,14.182573737023256,4.29537839286894,1136.48467,1.755223072741436
6903,30,2,1,3,0,0,0,0,2012,2.7099939079469624,74.5249765909455,16.065512070714227,11.669060154173966,4.18454096412886,802.7106501,1.765374225267268
6904,30,2,2,3,0,0,0,0,2012,2.7099939079469624,74.5249765909455,16.065512070714227,9.740113696842426,4.18454096412886,1405.8865572162165,1.765374225267268
6905,30,3,0,3,0,0,0,0,2012,2.706231276302782,74.42273169517495,16.046123047561487,13.35848658,10.72169416667227,767.5318508,1.755223072741436
6906,30,3,1,3,0,0,0,0,2012,2.7099939079469624,74.5249765909455,16.065512070714227,9.467669015,10.566393769192045,638.9067037,1.765374225267268
6907,30,3,2,3,0,0,0,0,2012,2.7099939079469624,74.5249765909455,16.065512070714227,17.47284006,10.566393769192045,927.9943587,1.765374225267268
6908,30,5,0,3,0,0,0,0,2012,2.706231276302782,74.42273169517495,16.046123047561487,21.71988319423724,19.496542635050545,955.0307866725826,1.755223072741436
6909,30,1,0,3,0,0,0,0,2012,2.706231276302782,74.42273169517495,16.046123047561487,31.7797593,5.026237718581154,1134.22609,1.755223072741436
6910,30,1,1,3,0,0,0,0,2012,2.7099939079469624,74.5249765909455,16.065512070714227,28.72980646,4.7352228614242735,647.4388752285714,1.765374225267268
6911,30,1,2,3,0,0,0,0,2012,2.7099939079469624,74.5249765909455,16.065512070714227,34.56088529,4.7352228614242735,922.7370995285715,1.765374225267268
6912,30,0,0,3,0,0,0,0,2013,2.4,79.9,15.07124627,23.3741258,9.355786144,1012.792714,0.778158585
6913,30,0,1,3,0,0,0,0,2013,2.572649611925023,76.71256343970393,15.133880760063336,20.63611774,6.942473160137621,841.9816244,1.747352257049874
6914,30,0,2,3,0,0,0,0,2013,2.572649611925023,76.71256343970393,15.133880760063336,26.09007556,6.942473160137621,1237.802708,1.747352257049874
6915,30,4,0,3,0,0,0,0,2013,2.572649611925023,76.71256343970393,15.133880760063336,3.4033072886587847,7.47300216,530.6904193,1.747352257049874
6916,30,4,1,3,0,0,0,0,2013,2.5720548376785692,76.71333808754642,15.1339057553245,11.948196332787967,7.604907968802157,556.4234027,1.7611144576321922
