,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Deaths | Maternal Deaths,Food Access | Limited Supermarket Access,"Housing | Homeless, Children",Births | Low Birthweight,"Health Insurance | Uninsured, All Ages",Deaths | Premature Death,Mental Health | Adult Mental Distress
0,20,0,0,2,1,0,0,0,2010,16.82868955,63.14366606,18.80514270609955,7.836413514,15.008394795230773,5094.792265,10.1
1,20,0,1,2,1,0,0,0,2010,25.586313539161008,63.14972136969631,18.80132805911153,8.98646778540736,15.117179320115271,3807.898474,12.328562809660424
2,20,0,2,2,1,0,0,0,2010,25.586313539161008,63.14972136969631,18.80132805911153,8.98646778540736,15.117179320115271,6377.25679,12.328562809660424
3,20,4,0,2,1,0,0,0,2010,15.81963707579896,63.14972136969631,18.80132805911153,8.785405665,13.407891053076924,2579.797021,12.328562809660424
4,20,4,1,2,1,0,0,0,2010,18.3880040269237,63.149728205683004,18.799924925359402,8.700316591822752,13.460956958066053,2025.151915,12.328567118741676
5,20,4,2,2,1,0,0,0,2010,18.3880040269237,63.149728205683004,18.799924925359402,8.700316591822752,13.460956958066053,3244.60378,12.328567118741676
6,20,2,0,2,1,0,0,0,2010,64.9266329,63.14972136969631,18.80132805911153,14.07894737,15.024385682846155,9309.636235,12.328562809660424
7,20,2,1,2,1,0,0,0,2010,53.531898167673035,63.149728205683004,18.799924925359402,14.151967421022805,15.110070922403107,7672.368289,12.328567118741676
8,20,2,2,2,1,0,0,0,2010,53.531898167673035,63.149728205683004,18.799924925359402,14.151967421022805,15.110070922403107,10945.54208,12.328567118741676
9,20,3,0,2,1,0,0,0,2010,20.48891678,63.14972136969631,18.80132805911153,7.56941213,31.225739624615382,4657.919234,12.328562809660424
10,20,3,1,2,1,0,0,0,2010,18.881344197117965,63.149728205683004,18.799924925359402,6.7695225516814865,31.45326051871323,3312.773042,12.328567118741676
11,20,3,2,2,1,0,0,0,2010,18.881344197117965,63.149728205683004,18.799924925359402,6.7695225516814865,31.45326051871323,6004.098064,12.328567118741676
12,20,5,0,2,1,0,0,0,2010,25.586313539161008,63.14972136969631,18.80132805911153,8.98646778540736,21.565810815384612,6474.52538950851,12.328562809660424
13,20,1,0,2,1,0,0,0,2010,34.49716332333333,63.14972136969631,18.80132805911153,6.654777548,8.62340957976923,4926.24818,12.328562809660424
14,20,1,1,2,1,0,0,0,2010,33.89510560128038,63.149728205683004,18.799924925359402,7.398634198824065,8.705605812658819,3729.416655,12.328567118741676
15,20,1,2,2,1,0,0,0,2010,33.89510560128038,63.149728205683004,18.799924925359402,7.398634198824065,8.705605812658819,6108.084778,12.328567118741676
16,20,0,0,2,1,0,0,0,2011,16.82868955,63.14366606,18.2635724909117,7.858909405,15.068239805631578,5095.44413,10.1
17,20,0,1,2,1,0,0,0,2011,23.073586303420136,63.149721369696316,18.8033280516929,8.898357457150912,15.274885480444507,3761.318821,12.014291460226385
18,20,0,2,2,1,0,0,0,2011,23.073586303420136,63.149721369696316,18.8033280516929,8.898357457150912,15.274885480444507,6421.457571,12.014291460226385
19,20,4,0,2,1,0,0,0,2011,15.12166075565788,63.149721369696316,18.8033280516929,9.057639524,13.518903601842105,2412.616192,12.014291460226385
20,20,4,1,2,1,0,0,0,2011,15.146533388335419,63.149728205683004,18.800744403584527,8.750333293268321,13.647904796035123,1968.819666,12.014288587505547
21,20,4,2,2,1,0,0,0,2011,15.146533388335419,63.149728205683004,18.800744403584527,8.750333293268321,13.647904796035123,2930.628153,12.014288587505547
22,20,2,0,2,1,0,0,0,2011,64.9266329,63.149721369696316,18.8033280516929,14.21554464,14.987091817526318,9639.976735,12.014291460226385
23,20,2,1,2,1,0,0,0,2011,51.83436285649902,63.149728205683004,18.800744403584527,14.066834313369442,14.61836948088008,7504.660627,12.014288587505547
24,20,2,2,2,1,0,0,0,2011,51.83436285649902,63.149728205683004,18.800744403584527,14.066834313369442,14.61836948088008,11846.24854,12.014288587505547
25,20,3,0,2,1,0,0,0,2011,20.48891678,63.149721369696316,18.8033280516929,7.353865493,30.49159171052632,4584.786725,12.014291460226385
26,20,3,1,2,1,0,0,0,2011,18.350284142014996,63.149728205683004,18.800744403584527,6.748523225930583,30.627638708290323,3267.514995,12.014288587505547
27,20,3,2,2,1,0,0,0,2011,18.350284142014996,63.149728205683004,18.800744403584527,6.748523225930583,30.627638708290323,5877.314008,12.014288587505547
28,20,5,0,2,1,0,0,0,2011,23.073586303420136,63.149721369696316,18.8033280516929,8.898357457150912,21.46529350157895,6309.705283249334,12.014291460226385
29,20,1,0,2,1,0,0,0,2011,34.49716332333333,63.149721369696316,18.8033280516929,6.872830937,8.238521755789474,5096.044359,12.014291460226385
30,20,1,1,2,1,0,0,0,2011,35.05086648179983,63.149728205683004,18.800744403584527,7.3188013830704035,8.333882896332613,3818.693508,12.014288587505547
31,20,1,2,2,1,0,0,0,2011,35.05086648179983,63.149728205683004,18.800744403584527,7.3188013830704035,8.333882896332613,6347.941352,12.014288587505547
32,20,0,0,2,1,0,0,0,2012,16.82868955,63.14366606,18.834011479230774,7.89372167,14.858460544833333,4920.523665,10.1
33,20,0,1,2,1,0,0,0,2012,25.586313539161008,63.149721369696316,18.799849415524445,8.839158591978338,15.135968186126245,3665.71229,12.014291460226385
34,20,0,2,2,1,0,0,0,2012,25.586313539161008,63.149721369696316,18.799849415524445,8.839158591978338,15.135968186126245,6185.547362,12.014291460226385
35,20,4,0,2,1,0,0,0,2012,14.771948223342466,63.149721369696316,18.799849415524445,9.134045077,12.962669697916665,2499.317653,12.014291460226385
36,20,4,1,2,1,0,0,0,2012,14.798766720097698,63.149728205683004,18.797041923540807,8.586315836073638,13.636300575642345,2013.085946,12.014288587505547
37,20,4,2,2,1,0,0,0,2012,14.798766720097698,63.149728205683004,18.797041923540807,8.586315836073638,13.636300575642345,3048.157932,12.014288587505547
38,20,2,0,2,1,0,0,0,2012,64.9266329,63.149721369696316,18.799849415524445,14.47102912,14.610500866833332,9384.397512,12.014291460226385
39,20,2,1,2,1,0,0,0,2012,45.02672938563095,63.149728205683004,18.797041923540807,13.690756361922599,14.61852026038168,7264.682898,12.014288587505547
40,20,2,2,2,1,0,0,0,2012,45.02672938563095,63.149728205683004,18.797041923540807,13.690756361922599,14.61852026038168,11552.29289,12.014288587505547
41,20,3,0,2,1,0,0,0,2012,20.48891678,63.149721369696316,18.799849415524445,7.4393531,30.811504504166667,4400.919039,12.014291460226385
42,20,3,1,2,1,0,0,0,2012,18.350284142014996,63.149728205683004,18.797041923540807,7.036762789235071,31.320256843236507,3186.684141,12.014288587505547
43,20,3,2,2,1,0,0,0,2012,18.350284142014996,63.149728205683004,18.797041923540807,7.036762789235071,31.320256843236507,5594.3876,12.014288587505547
44,20,5,0,2,1,0,0,0,2012,25.586313539161008,63.149721369696316,18.799849415524445,8.839158591978338,20.974539074166668,6451.260036910827,12.014291460226385
45,20,1,0,2,1,0,0,0,2012,34.49716332333333,63.149721369696316,18.799849415524445,6.883528265,8.399433892333333,5053.014048,12.014291460226385
46,20,1,1,2,1,0,0,0,2012,35.05086648179983,63.149728205683004,18.797041923540807,7.202675862497527,8.530320280524094,3729.230891,12.014288587505547
47,20,1,2,2,1,0,0,0,2012,35.05086648179983,63.149728205683004,18.797041923540807,7.202675862497527,8.530320280524094,6359.462841,12.014288587505547
