,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,"Sexually Transmitted Disease | Syphilis, Newborns",Disability | People with Disabilities,Language and Nativity | Primarily Speak Chinese,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Cancer | Breast Cancer Deaths,Lead Poisoning | Housing Lead Risk,"Racial Segregation Indices | Racial Segregation, White and Black"
0,20,0,0,2,1,0,0,0,2010,0.0,8.49604215,0.6316950816153847,1.927904408,19.97068927,6.288232493,57.92412466
1,20,0,1,2,1,0,0,0,2010,6.171474669543498,10.494515375971847,0.6515700039614318,3.2005617670176276,21.85805079211747,12.870790865182224,54.15693337207314
2,20,0,2,2,1,0,0,0,2010,6.171474669543498,10.494515375971847,0.6515700039614318,3.2005617670176276,21.85805079211747,12.870790865182224,54.15693337207314
3,20,4,0,2,1,0,0,0,2010,6.171474669543498,2.973168963,0.6515700039614318,3.2005617670176276,16.819690239704347,12.870790865182224,54.15693337207314
4,20,4,1,2,1,0,0,0,2010,6.171451622487693,4.63664256994156,0.65320335625659,3.2005543293690666,16.06649485187083,12.870774058836473,54.156917633832016
5,20,4,2,2,1,0,0,0,2010,6.171451622487693,4.63664256994156,0.65320335625659,3.2005543293690666,16.06649485187083,12.870774058836473,54.156917633832016
6,20,2,0,2,1,0,0,0,2010,6.171474669543498,16.22406961,0.6515700039614318,3.2005617670176276,39.89371387,12.870790865182224,54.15693337207314
7,20,2,1,2,1,0,0,0,2010,6.171451622487693,13.986385871180213,0.65320335625659,3.2005543293690666,32.781127417879055,12.870774058836473,54.156917633832016
8,20,2,2,2,1,0,0,0,2010,6.171451622487693,13.986385871180213,0.65320335625659,3.2005543293690666,32.781127417879055,12.870774058836473,54.156917633832016
9,20,3,0,2,1,0,0,0,2010,6.171474669543498,7.358185112,0.6515700039614318,3.2005617670176276,8.807824841,12.870790865182224,54.15693337207314
10,20,3,1,2,1,0,0,0,2010,6.171451622487693,6.097294961235911,0.65320335625659,3.2005543293690666,14.610998624005557,12.870774058836473,54.156917633832016
11,20,3,2,2,1,0,0,0,2010,6.171451622487693,6.097294961235911,0.65320335625659,3.2005543293690666,14.610998624005557,12.870774058836473,54.156917633832016
12,20,5,0,2,1,0,0,0,2010,6.171474669543498,12.20579046,0.6515700039614318,3.2005617670176276,21.85805079211747,12.870790865182224,54.15693337207314
13,20,1,0,2,1,0,0,0,2010,6.171474669543498,8.726448065,0.6515700039614318,3.2005617670176276,20.74383132,12.870790865182224,54.15693337207314
14,20,1,1,2,1,0,0,0,2010,6.171451622487693,12.221877864837806,0.65320335625659,3.2005543293690666,21.46149352247195,12.870774058836473,54.156917633832016
15,20,1,2,2,1,0,0,0,2010,6.171451622487693,12.221877864837806,0.65320335625659,3.2005543293690666,21.46149352247195,12.870774058836473,54.156917633832016
16,20,0,0,2,1,0,0,0,2011,19.4,8.49604215,0.5871168725789474,1.927904408,20.91776589,6.288232493,57.92412466
17,20,0,1,2,1,0,0,0,2011,12.857113735670824,10.680151157993553,0.6057397097007539,2.9861582973504865,22.62044802044168,12.608009970771478,54.86166129434813
18,20,0,2,2,1,0,0,0,2011,12.857113735670824,10.680151157993553,0.6057397097007539,2.9861582973504865,22.62044802044168,12.608009970771478,54.86166129434813
19,20,4,0,2,1,0,0,0,2011,12.857113735670824,2.973168963,0.6057397097007539,2.9861582973504865,17.49875241670807,12.608009970771478,54.86166129434813
20,20,4,1,2,1,0,0,0,2011,12.857128295142333,4.937385932575851,0.606070008009401,2.986145960103888,16.187402508309695,12.607987159295506,54.861661660713665
21,20,4,2,2,1,0,0,0,2011,12.857128295142333,4.937385932575851,0.606070008009401,2.986145960103888,16.187402508309695,12.607987159295506,54.861661660713665
22,20,2,0,2,1,0,0,0,2011,12.857113735670824,16.22406961,0.6057397097007539,2.9861582973504865,39.11484179,12.608009970771478,54.86166129434813
23,20,2,1,2,1,0,0,0,2011,12.857128295142333,13.986385871180213,0.606070008009401,2.986145960103888,31.542879808343468,12.607987159295506,54.861661660713665
24,20,2,2,2,1,0,0,0,2011,12.857128295142333,13.986385871180213,0.606070008009401,2.986145960103888,31.542879808343468,12.607987159295506,54.861661660713665
25,20,3,0,2,1,0,0,0,2011,12.857113735670824,7.358185112,0.6057397097007539,2.9861582973504865,10.1322591,12.608009970771478,54.86166129434813
26,20,3,1,2,1,0,0,0,2011,12.857128295142333,5.745890547667567,0.606070008009401,2.986145960103888,14.611435435911687,12.607987159295506,54.861661660713665
27,20,3,2,2,1,0,0,0,2011,12.857128295142333,5.745890547667567,0.606070008009401,2.986145960103888,14.611435435911687,12.607987159295506,54.861661660713665
28,20,5,0,2,1,0,0,0,2011,12.857113735670824,12.20579046,0.6057397097007539,2.9861582973504865,22.62044802044168,12.608009970771478,54.86166129434813
29,20,1,0,2,1,0,0,0,2011,12.857113735670824,8.726448065,0.6057397097007539,2.9861582973504865,21.78891126,12.608009970771478,54.86166129434813
30,20,1,1,2,1,0,0,0,2011,12.857128295142333,11.259801955965202,0.606070008009401,2.986145960103888,21.626216239825858,12.607987159295506,54.861661660713665
31,20,1,2,2,1,0,0,0,2011,12.857128295142333,11.259801955965202,0.606070008009401,2.986145960103888,21.626216239825858,12.607987159295506,54.861661660713665
32,20,0,0,2,1,0,0,0,2012,0.0,8.49604215,0.5758592695,1.927904408,21.71184809,6.288232493,57.92412466
