,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Deaths | Racial Disparity in Police Killings,Language and Nativity | Primarily Speak Chinese,Crime Incidents | Homicides,Food Access | Limited Supermarket Access,Active Transportation | Walking to Work,Mental Health | Adult Mental Distress,Substance Use | Opioid Overdose Deaths
413,24,1,0,2,0,0,0,1,2022,0.2627597912412199,0.43744808144312214,4.571175678,57.358932663558456,7.340012044,18.33243849484431,99.61816902
414,24,1,1,2,0,0,0,1,2022,0.262271275422082,0.43729582735880607,8.283019479,57.31965035246851,5.117990875508178,18.33053983581271,58.63412616
415,24,1,2,2,0,0,0,1,2022,0.262271275422082,0.43729582735880607,6.974739811,57.31965035246851,5.117990875508178,18.33053983581271,139.9406626
416,8,0,0,1,1,0,1,1,2010,-0.755277311,3.6874380644455256,7.826247012,17.46198604,15.05991885,13.6,8.99921606
417,8,0,1,1,1,0,1,1,2010,-0.19918871742462574,3.6593502104246323,1.871793197,17.643728896282955,13.861789894245907,13.114922511085815,5.157802494
418,8,0,2,1,1,0,1,1,2010,-0.19918871742462574,3.6593502104246323,14.33427381,17.643728896282955,13.861789894245907,13.114922511085815,13.0687255
419,8,4,0,1,1,0,1,1,2010,-0.19918871742462574,3.6593502104246323,2.849036097046615,17.643728896282955,16.598150175055093,13.114922511085815,4.3076280413215144
420,8,4,1,1,1,0,1,1,2010,-0.19129245996130828,3.6567913530223484,1.17820882313305,17.646309579292655,16.18267823366065,13.108034585696984,4.905329369899186
421,8,4,2,1,1,0,1,1,2010,-0.19129245996130828,3.6567913530223484,4.367761022892541,17.646309579292655,16.18267823366065,13.108034585696984,9.200886274022908
422,8,2,0,1,1,0,1,1,2010,-0.19918871742462574,3.6593502104246323,25.00933016,17.643728896282955,5.490910252718787,13.114922511085815,4.615815124
423,8,2,1,1,1,0,1,1,2010,-0.19129245996130828,3.6567913530223484,4.55628742204146,17.646309579292655,5.416907590451056,13.108034585696984,5.138458746652988
424,8,2,2,1,1,0,1,1,2010,-0.19129245996130828,3.6567913530223484,49.17692054,17.646309579292655,5.416907590451056,13.108034585696984,8.356416576
425,8,3,0,1,1,0,1,1,2010,-0.19918871742462574,3.6593502104246323,10.08144287,17.643728896282955,9.257567141067371,13.114922511085815,5.208027714
426,8,3,1,1,1,0,1,1,2010,-0.19129245996130828,3.6567913530223484,1.7464773835750411,17.646309579292655,9.17467713224391,13.108034585696984,2.543226302568477
427,8,3,2,1,1,0,1,1,2010,-0.19129245996130828,3.6567913530223484,18.27554529,17.646309579292655,9.17467713224391,13.108034585696984,12.895022389781937
428,8,5,0,1,1,0,1,1,2010,-0.19918871742462574,3.6593502104246323,7.3830584130511285,17.643728896282955,9.630792561158447,13.114922511085815,10.121935528326793
429,8,1,0,1,1,0,1,1,2010,-0.19918871742462574,3.6593502104246323,1.3986106955648199,17.643728896282955,14.52710221176741,13.114922511085815,14.40279998
430,8,1,1,1,1,0,1,1,2010,-0.19129245996130828,3.6567913530223484,1.3135387154694669,17.646309579292655,14.245897457812573,13.108034585696984,9.363212505
431,8,1,2,1,1,0,1,1,2010,-0.19129245996130828,3.6567913530223484,3.2370837130304464,17.646309579292655,14.245897457812573,13.108034585696984,19.06701983
432,8,0,0,1,1,0,1,1,2011,-0.755277311,3.8441561985527444,7.256871923,17.46198604,15.05991885,13.6,9.778366118
433,8,0,1,1,1,0,1,1,2011,-0.5588234780581816,3.787228900070977,2.063870012,15.414236967641681,14.215833631166728,13.490013174456028,4.832337576
434,8,0,2,1,1,0,1,1,2011,-0.5588234780581816,3.787228900070977,12.87443165,15.414236967641681,14.215833631166728,13.490013174456028,14.99531229
435,8,4,0,1,1,0,1,1,2011,-0.5588234780581816,3.787228900070977,2.2453469701139683,15.414236967641681,19.254959785857793,13.490013174456028,3.22272381931406
