,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Air Pollution | Poor Air Quality,Dietary Quality | Teen Breakfast,Lead Poisoning | Child Lead Levels 10+ mcg/dL,Physical Activity | Teen Physical Education,School Violence | Fighting in School
0,20,0,0,2,1,0,0,0,2010,25.47945205,17.200000000000003,1.978053874,55.95,27.65
1,20,0,1,2,1,0,0,0,2010,47.43623964743301,15.568059773975488,1.7086111277542029,64.56817813498427,24.928208871424495
2,20,0,2,2,1,0,0,0,2010,47.43623964743301,14.904383200485094,1.7086111277542029,54.69381711433068,34.353747954068254
3,20,4,0,2,1,0,0,0,2010,47.43623964743301,12.109762546910504,1.7086111277542029,50.08941139260482,13.736864142627796
4,20,4,1,2,1,0,0,0,2010,47.43631942535914,13.699189623919443,1.7069872900326553,65.59676571109304,19.840864347314906
5,20,4,2,2,1,0,0,0,2010,47.43631942535914,13.460881244859472,1.7069872900326553,59.88819869550291,28.280381053693752
6,20,2,0,2,1,0,0,0,2010,47.43623964743301,17.74820557063014,1.7086111277542029,61.102625910566154,36.09449781663339
7,20,2,1,2,1,0,0,0,2010,47.43631942535914,17.66702480285211,1.7069872900326553,66.25207708158896,31.83252895081731
8,20,2,2,2,1,0,0,0,2010,47.43631942535914,15.964383831286312,1.7069872900326553,60.2639289337915,37.23124597848479
9,20,3,0,2,1,0,0,0,2010,47.43623964743301,18.225450648347163,1.7086111277542029,57.05807190582619,31.690878914251833
10,20,3,1,2,1,0,0,0,2010,47.43631942535914,17.188281599307498,1.7069872900326553,66.65530953194236,26.348393462808446
11,20,3,2,2,1,0,0,0,2010,47.43631942535914,15.499481318020385,1.7069872900326553,60.66716138414488,33.13920924663881
12,20,5,0,2,1,0,0,0,2010,47.43623964743301,17.115329289472697,1.7086111277542029,56.54975086623508,27.459490901313565
13,20,1,0,2,1,0,0,0,2010,47.43623964743301,9.525102493753765,1.7086111277542029,60.483235555918725,22.20102988707046
14,20,1,1,2,1,0,0,0,2010,47.43631942535914,10.47461945531724,1.7069872900326553,68.33906066503764,21.15300276378846
15,20,1,2,2,1,0,0,0,2010,47.43631942535914,12.938026257637196,1.7069872900326553,62.35091251724016,28.080298817830872
16,20,0,0,2,1,0,0,0,2011,38.35616438,17.200000000000003,1.978053874,55.95,27.65
