,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Colorectal Cancer Deaths,Heat and Disasters | Number of Heat Waves,Mental Health | School Bullying,Population | Seniors,Sexually Transmitted Disease | HIV/AIDS Prevalence
0,20,0,0,2,1,0,0,0,2010,12.77803434,7.769230769,15.850000000000001,6.921902795,442.7
1,20,0,1,2,1,0,0,0,2010,11.84385819,4.8132073058013916,16.261654755698885,9.661093446283763,126.8
2,20,0,2,2,1,0,0,0,2010,13.69767157,4.8132073058013916,15.194752518178063,9.661093446283763,755.0
3,20,4,0,2,1,0,0,0,2010,14.355003342857144,4.8132073058013916,12.768436647126139,9.661093446283763,54.2
4,20,4,1,2,1,0,0,0,2010,11.656076056513685,4.813197060433373,14.929443078122896,9.661095734157461,116.64285714285714
5,20,4,2,2,1,0,0,0,2010,16.903018495316946,4.813197060433373,13.028509372603708,9.661095734157461,367.2571428571428
6,20,2,0,2,1,0,0,0,2010,21.40895751,4.8132073058013916,12.971190293136956,9.661093446283763,1209.3
7,20,2,1,2,1,0,0,0,2010,19.47566794,4.813197060433373,14.43520841476087,9.661095734157461,616.0428571428571
8,20,2,2,2,1,0,0,0,2010,21.02780127,4.813197060433373,14.130768679458386,9.661095734157461,776.9142857142855
9,20,3,0,2,1,0,0,0,2010,14.26523017,4.8132073058013916,16.250199544385442,9.661093446283763,449.9
10,20,3,1,2,1,0,0,0,2010,12.22439445,4.813197060433373,16.452956333434784,9.661095734157461,240.97142857142853
11,20,3,2,2,1,0,0,0,2010,18.52787179,4.813197060433373,15.804760528824609,9.661095734157461,491.58571428571423
12,20,5,0,2,1,0,0,0,2010,15.133215180080917,4.8132073058013916,15.433702339907414,9.661093446283763,350.47477062966436
13,20,1,0,2,1,0,0,0,2010,11.52692511,4.8132073058013916,19.44632203846466,9.661093446283763,347.9
14,20,1,1,2,1,0,0,0,2010,11.5943144,4.813197060433373,17.60258398723472,9.661095734157461,221.6285714285714
15,20,1,2,2,1,0,0,0,2010,11.21135897,4.813197060433373,16.954388182624548,9.661095734157461,425.3714285714285
16,20,0,0,2,1,0,0,0,2011,13.0556767,7.769230769,15.850000000000001,6.921902795,449.3
17,20,0,1,2,1,0,0,0,2011,11.44185867,5.065943006362232,18.5,9.241913903467678,124.2
18,20,0,2,2,1,0,0,0,2011,14.88582644,5.065943006362232,18.8,9.241913903467678,771.1
19,20,4,0,2,1,0,0,0,2011,14.999575673913045,5.065943006362232,12.774033787234842,9.241913903467678,61.4
20,20,4,1,2,1,0,0,0,2011,12.006100679192821,5.0659385365693215,14.516802372998612,9.24190661215281,118.65714285714284
21,20,4,2,2,1,0,0,0,2011,16.557575688780812,5.0659385365693215,13.375105592724937,9.24190661215281,327.2285714285714
22,20,2,0,2,1,0,0,0,2011,19.03874382,5.065943006362232,13.5,9.241913903467678,1241.4
23,20,2,1,2,1,0,0,0,2011,18.52295506,5.0659385365693215,14.942461104209913,9.24190661215281,630.4714285714286
24,20,2,2,2,1,0,0,0,2011,24.61360587,5.0659385365693215,14.261462949291793,9.24190661215281,839.0428571428572
25,20,3,0,2,1,0,0,0,2011,15.68860437,5.065943006362232,19.1,9.241913903467678,455.6
26,20,3,1,2,1,0,0,0,2011,12.95861445,5.0659385365693215,16.16066185173086,9.24190661215281,264.74285714285713
27,20,3,2,2,1,0,0,0,2011,20.54311227,5.0659385365693215,15.451997306640722,9.24190661215281,473.31428571428575
28,20,5,0,2,1,0,0,0,2011,14.375318949877785,5.065943006362232,15.429291531365593,9.241913903467678,305.57312883448543
29,20,1,0,2,1,0,0,0,2011,11.91068317,5.065943006362232,25.2,9.241913903467678,348.6
30,20,1,1,2,1,0,0,0,2011,10.86440268,5.0659385365693215,18.581722562506272,9.24190661215281,226.05714285714288
31,20,1,2,2,1,0,0,0,2011,12.93206384,5.0659385365693215,16.973900336825444,9.24190661215281,434.62857142857143
32,20,0,0,2,1,0,0,0,2012,12.0441725,7.769230769,15.850000000000001,6.921902795,450.8
33,20,0,1,2,1,0,0,0,2012,10.0596556,5.065943006362232,16.763932669140054,9.241913903467678,121.1
34,20,0,2,2,1,0,0,0,2012,14.71450598,5.065943006362232,15.413207945796376,9.241913903467678,777.7
35,20,4,0,2,1,0,0,0,2012,13.524324701379312,5.065943006362232,13.537051037984165,9.241913903467678,54.4
36,20,4,1,2,1,0,0,0,2012,11.53103908490466,5.065938536569322,14.517331035464844,9.24190661215281,115.94285714285714
37,20,4,2,2,1,0,0,0,2012,16.4376489307447,5.065938536569322,13.361727982551894,9.24190661215281,330.6285714285715
38,20,2,0,2,1,0,0,0,2012,14.94586639,5.065943006362232,13.03770234004664,9.241913903467678,1230.3
39,20,2,1,2,1,0,0,0,2012,12.65453308,5.065938536569322,15.03650824740057,9.24190661215281,625.5714285714286
40,20,2,2,2,1,0,0,0,2012,19.66242475,5.065938536569322,14.23398749424331,9.24190661215281,840.2571428571429
41,20,3,0,2,1,0,0,0,2012,16.45732139,5.065943006362232,16.137976487311924,9.241913903467678,468.2
42,20,3,1,2,1,0,0,0,2012,11.89339215,5.065938536569322,15.9604574369153,9.24190661215281,267.3
43,20,3,2,2,1,0,0,0,2012,23.83412498,5.065938536569322,15.403888270782645,9.24190661215281,481.9857142857143
44,20,5,0,2,1,0,0,0,2012,14.407894971057283,5.065943006362232,15.057765107008183,9.241913903467678,315.2143028443962
