,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Transportation | Lack of Car
431,8,1,2,1,1,0,1,1,2010,4.808447017209984,4.279958026758512,17.646309579292655,0.016265870828377205,2.4784910530001096,55.775486979880455,38.42956398673925
432,8,0,0,1,1,0,1,1,2011,15.78875393,6.08268119493804,17.46198604,-0.031607855,2.640492155,55.28552415,36.2571571
433,8,0,1,1,1,0,1,1,2011,14.921070660718176,6.156410474012011,15.414236967641681,0.010205983427556754,2.446610952089406,56.1319070538176,38.06483289052123
434,8,0,2,1,1,0,1,1,2011,14.921070660718176,6.156410474012011,15.414236967641681,0.010205983427556754,2.446610952089406,56.1319070538176,38.06483289052123
435,8,4,0,1,1,0,1,1,2011,3.016773259,3.44542572969174,15.414236967641681,0.010205983427556754,2.446610952089406,56.1319070538176,38.06483289052123
436,8,4,1,1,1,0,1,1,2011,2.797676648629099,3.469543207097981,15.37740949623609,0.010335962859887313,2.4472994958705576,56.15575970540022,38.109998304101836
437,8,4,2,1,1,0,1,1,2011,2.797676648629099,3.469543207097981,15.37740949623609,0.010335962859887313,2.4472994958705576,56.15575970540022,38.109998304101836
438,8,2,0,1,1,0,1,1,2011,33.4693481,8.791014719172582,15.414236967641681,0.010205983427556754,2.446610952089406,56.1319070538176,38.06483289052123
439,8,2,1,1,1,0,1,1,2011,29.68802458842727,8.906592519691797,15.37740949623609,0.010335962859887313,2.4472994958705576,56.15575970540022,38.109998304101836
440,8,2,2,1,1,0,1,1,2011,29.68802458842727,8.906592519691797,15.37740949623609,0.010335962859887313,2.4472994958705576,56.15575970540022,38.109998304101836
441,8,3,0,1,1,0,1,1,2011,34.96503497,4.815021141617264,15.414236967641681,0.010205983427556754,2.446610952089406,56.1319070538176,38.06483289052123
442,8,3,1,1,1,0,1,1,2011,32.45924545210881,4.82555540684767,15.37740949623609,0.010335962859887313,2.4472994958705576,56.15575970540022,38.109998304101836
443,8,3,2,1,1,0,1,1,2011,32.45924545210881,4.82555540684767,15.37740949623609,0.010335962859887313,2.4472994958705576,56.15575970540022,38.109998304101836
444,8,5,0,1,1,0,1,1,2011,14.921070660718176,6.156410474012011,15.414236967641681,0.010205983427556754,2.446610952089406,56.1319070538176,38.06483289052123
445,8,1,0,1,1,0,1,1,2011,4.445250839,4.101624295374857,15.414236967641681,0.010205983427556754,2.446610952089406,56.1319070538176,38.06483289052123
446,8,1,1,1,1,0,1,1,2011,3.856051359346889,4.14595417476636,15.37740949623609,0.010335962859887313,2.4472994958705576,56.15575970540022,38.109998304101836
447,8,1,2,1,1,0,1,1,2011,3.856051359346889,4.14595417476636,15.37740949623609,0.010335962859887313,2.4472994958705576,56.15575970540022,38.109998304101836
448,8,0,0,1,1,0,1,1,2012,13.75920131,5.555798757485706,17.46198604,-0.031607855,2.640492155,55.28552415,36.2571571
449,8,0,1,1,1,0,1,1,2012,14.60554767269448,5.6407397492629165,15.429929384933343,0.010652995373881995,2.3269032536888927,56.11477211160287,38.035365877812275
450,8,0,2,1,1,0,1,1,2012,14.60554767269448,5.6407397492629165,15.429929384933343,0.010652995373881995,2.3269032536888927,56.11477211160287,38.035365877812275
451,8,4,0,1,1,0,1,1,2012,2.41360395,3.1652735692109406,15.429929384933343,0.010652995373881995,2.3269032536888927,56.11477211160287,38.035365877812275
452,8,4,1,1,1,0,1,1,2012,2.799951750204549,3.1975983561159986,15.38605529002078,0.010576197446427885,2.327051858401796,56.146403071886375,38.09388640489073
453,8,4,2,1,1,0,1,1,2012,2.799951750204549,3.1975983561159986,15.38605529002078,0.010576197446427885,2.327051858401796,56.146403071886375,38.09388640489073
454,8,2,0,1,1,0,1,1,2012,29.99798671,7.965520625654206,15.429929384933343,0.010652995373881995,2.3269032536888927,56.11477211160287,38.035365877812275
455,8,2,1,1,1,0,1,1,2012,29.423446100911942,8.104830097134446,15.38605529002078,0.010576197446427885,2.327051858401796,56.146403071886375,38.09388640489073
456,8,2,2,1,1,0,1,1,2012,29.423446100911942,8.104830097134446,15.38605529002078,0.010576197446427885,2.327051858401796,56.146403071886375,38.09388640489073
457,8,3,0,1,1,0,1,1,2012,32.02633942,4.770494107554731,15.429929384933343,0.010652995373881995,2.3269032536888927,56.11477211160287,38.035365877812275
458,8,3,1,1,1,0,1,1,2012,30.029175259170355,4.760291610879941,15.38605529002078,0.010576197446427885,2.327051858401796,56.146403071886375,38.09388640489073
459,8,3,2,1,1,0,1,1,2012,30.029175259170355,4.760291610879941,15.38605529002078,0.010576197446427885,2.327051858401796,56.146403071886375,38.09388640489073
460,8,5,0,1,1,0,1,1,2012,12.648140577381843,5.6407397492629165,15.429929384933343,0.010652995373881995,2.3269032536888927,56.11477211160287,38.035365877812275
461,8,1,0,1,1,0,1,1,2012,2.838427948,3.495068665894203,15.429929384933343,0.010652995373881995,2.3269032536888927,56.11477211160287,38.035365877812275
