,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Crime Incidents | Homicides,Diabetes and Obesity | Diabetes Deaths,"Housing | Homeless, Total",Language and Nativity | Foreign Born Population,Population | Population Density,"Sexually Transmitted Disease | Syphilis, Newborns"
0,20,0,0,2,1,0,0,0,2010,1.458997071,3.955670262,17.18095968,216.83167039680072,19.08120494,2685.086346,0.0
1,20,0,1,2,1,0,0,0,2010,0.39130247743608815,2.598894685,16.74117481,217.9085207281112,13.89250289231419,1933.7380602820836,6.171474669543498
2,20,0,2,2,1,0,0,0,2010,0.39130247743608815,5.251540797,17.84771037,217.9085207281112,13.89250289231419,1933.7380602820836,6.171474669543498
3,20,4,0,2,1,0,0,0,2010,0.39130247743608815,3.7868627941229223,21.78988291746154,217.9085207281112,13.89250289231419,1933.7380602820836,6.171474669543498
4,20,4,1,2,1,0,0,0,2010,0.39130056731251156,1.6813766124608605,16.565899143456022,218.30461636962005,13.892499447813394,1933.7359954346612,6.171451622487693
5,20,4,2,2,1,0,0,0,2010,0.39130056731251156,4.421689923621273,22.0430877035524,218.30461636962005,13.892499447813394,1933.7359954346612,6.171451622487693
6,20,2,0,2,1,0,0,0,2010,0.39130247743608815,10.4743466,36.59403803,217.9085207281112,13.89250289231419,1933.7380602820836,6.171474669543498
7,20,2,1,2,1,0,0,0,2010,0.39130056731251156,6.462583405,44.61118082,218.30461636962005,13.892499447813394,1933.7359954346612,6.171451622487693
8,20,2,2,2,1,0,0,0,2010,0.39130056731251156,15.81001622,25.54371488,218.30461636962005,13.892499447813394,1933.7359954346612,6.171451622487693
9,20,3,0,2,1,0,0,0,2010,0.39130247743608815,4.851729185,25.88104985,217.9085207281112,13.89250289231419,1933.7380602820836,6.171474669543498
10,20,3,1,2,1,0,0,0,2010,0.39130056731251156,3.400617222,29.04607198,218.30461636962005,13.892499447813394,1933.7359954346612,6.171451622487693
11,20,3,2,2,1,0,0,0,2010,0.39130056731251156,6.206742003,19.98190816,218.30461636962005,13.892499447813394,1933.7359954346612,6.171451622487693
12,20,5,0,2,1,0,0,0,2010,0.39130247743608815,7.039079582904138,21.028029402638342,217.9085207281112,13.89250289231419,1933.7380602820836,6.171474669543498
13,20,1,0,2,1,0,0,0,2010,0.39130247743608815,2.126556539,13.31094517,217.9085207281112,13.89250289231419,1933.7380602820836,6.171474669543498
14,20,1,1,2,1,0,0,0,2010,0.39130056731251156,3.2693777843333334,10.41500023,218.30461636962005,13.892499447813394,1933.7359954346612,6.171451622487693
15,20,1,2,2,1,0,0,0,2010,0.39130056731251156,2.38516509,17.0216383,218.30461636962005,13.892499447813394,1933.7359954346612,6.171451622487693
16,20,0,0,2,1,0,0,0,2011,1.458997071,3.528983476,17.468989,171.04054817178329,19.08120494,2685.086346,19.4
17,20,0,1,2,1,0,0,0,2011,0.38685536056398534,2.204353444,17.10964739,171.77233785498356,14.712555109010411,2108.8469959980343,12.857113735670824
18,20,0,2,2,1,0,0,0,2011,0.38685536056398534,4.784780043,18.00033042,171.77233785498356,14.712555109010411,2108.8469959980343,12.857113735670824
19,20,4,0,2,1,0,0,0,2011,0.38685536056398534,3.9154163394688846,27.289858809210532,171.77233785498356,14.712555109010411,2108.8469959980343,12.857113735670824
20,20,4,1,2,1,0,0,0,2011,0.386853348813858,2.510601863298893,17.42169353337558,171.91353186868216,14.712570404533915,2108.8489327808056,12.857128295142333
21,20,4,2,2,1,0,0,0,2011,0.386853348813858,4.104557112622916,24.74008718416725,171.91353186868216,14.712570404533915,2108.8489327808056,12.857128295142333
22,20,2,0,2,1,0,0,0,2011,0.38685536056398534,10.08263217,31.67257995,171.77233785498356,14.712555109010411,2108.8469959980343,12.857113735670824
23,20,2,1,2,1,0,0,0,2011,0.386853348813858,6.977157591500001,34.04193559,171.91353186868216,14.712570404533915,2108.8489327808056,12.857128295142333
24,20,2,2,2,1,0,0,0,2011,0.386853348813858,15.99464802,31.58976388,171.91353186868216,14.712570404533915,2108.8489327808056,12.857128295142333
25,20,3,0,2,1,0,0,0,2011,0.38685536056398534,4.392607349,28.96732681,171.77233785498356,14.712555109010411,2108.8469959980343,12.857113735670824
26,20,3,1,2,1,0,0,0,2011,0.386853348813858,2.973284808,31.99123952,171.91353186868216,14.712570404533915,2108.8489327808056,12.857128295142333
27,20,3,2,2,1,0,0,0,2011,0.386853348813858,5.710748534,24.32550821,171.91353186868216,14.712570404533915,2108.8489327808056,12.857128295142333
28,20,5,0,2,1,0,0,0,2011,0.38685536056398534,7.235129104217461,22.345505460527285,171.77233785498356,14.712555109010411,2108.8469959980343,12.857113735670824
29,20,1,0,2,1,0,0,0,2011,0.38685536056398534,2.119379116,13.29326828,171.77233785498356,14.712555109010411,2108.8469959980343,12.857113735670824
30,20,1,1,2,1,0,0,0,2011,0.386853348813858,1.588941298,11.25096289,171.91353186868216,14.712570404533915,2108.8489327808056,12.857128295142333
31,20,1,2,2,1,0,0,0,2011,0.386853348813858,2.626464997,15.62922347,171.91353186868216,14.712570404533915,2108.8489327808056,12.857128295142333
32,20,0,0,2,1,0,0,0,2012,1.458997071,3.026070084,17.29958833,171.7081769492308,19.08120494,2685.086346,0.0
33,20,0,1,2,1,0,0,0,2012,0.38685536056398534,2.026344483,16.07575197,173.90012005030886,14.712555109010411,2108.8469959980343,8.285665575808148
