,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cardiovascular Disease | Heart Disease Deaths,Deaths | Racial Disparity in Police Killings,"Housing | Homeless, Children",Income-related | Unemployment,Population | Children,Sexually Transmitted Disease | Syphilis Prevalence
0,20,0,0,2,1,0,0,0,2010,139.0183077,4.16935343,18.80514270609955,7.334555582,22.04468091,8.1
1,20,0,1,2,1,0,0,0,2010,104.0132076,1.752187358927356,18.80132805911153,8.736877130271091,25.146737340923067,8.871435362085728
2,20,0,2,2,1,0,0,0,2010,188.1989692,1.752187358927356,18.80132805911153,8.736877130271091,25.146737340923067,8.871435362085728
3,20,4,0,2,1,0,0,0,2010,69.61796231,1.752187358927356,18.80132805911153,6.419018225,25.146737340923067,8.871435362085728
4,20,4,1,2,1,0,0,0,2010,64.89276541679999,1.752185618543403,18.799924925359402,6.411306137358092,25.14673845893586,8.871431967052011
5,20,4,2,2,1,0,0,0,2010,111.1121059,1.752185618543403,18.799924925359402,6.411306137358092,25.14673845893586,8.871431967052011
6,20,2,0,2,1,0,0,0,2010,205.9905324,1.752187358927356,18.80132805911153,12.96263762,25.146737340923067,8.871435362085728
7,20,2,1,2,1,0,0,0,2010,165.9694955,1.752185618543403,18.799924925359402,15.102536122457622,25.14673845893586,8.871431967052011
8,20,2,2,2,1,0,0,0,2010,263.8762244,1.752185618543403,18.799924925359402,15.102536122457622,25.14673845893586,8.871431967052011
9,20,3,0,2,1,0,0,0,2010,125.7703287,1.752187358927356,18.80132805911153,9.00269075,25.146737340923067,8.871435362085728
10,20,3,1,2,1,0,0,0,2010,93.68691194,1.752185618543403,18.799924925359402,10.49533220354536,25.14673845893586,8.871431967052011
11,20,3,2,2,1,0,0,0,2010,185.8230248,1.752185618543403,18.799924925359402,10.49533220354536,25.14673845893586,8.871431967052011
12,20,5,0,2,1,0,0,0,2010,164.52621660182422,1.752187358927356,18.80132805911153,7.829457364,25.146737340923067,8.871435362085728
13,20,1,0,2,1,0,0,0,2010,139.377853,1.752187358927356,18.80132805911153,5.62352146,25.146737340923067,8.871435362085728
14,20,1,1,2,1,0,0,0,2010,103.8914782,1.752185618543403,18.799924925359402,6.788959060631245,25.14673845893586,8.871431967052011
15,20,1,2,2,1,0,0,0,2010,187.8922057,1.752185618543403,18.799924925359402,6.788959060631245,25.14673845893586,8.871431967052011
16,20,0,0,2,1,0,0,0,2011,139.7086185,4.16935343,18.2635724909117,7.334555582,22.04468091,9.4
17,20,0,1,2,1,0,0,0,2011,105.2340192,1.4098591357862604,18.8033280516929,9.005253000372823,25.696542407336562,8.785715852789016
18,20,0,2,2,1,0,0,0,2011,188.1766372,1.4098591357862604,18.8033280516929,9.005253000372823,25.696542407336562,8.785715852789016
19,20,4,0,2,1,0,0,0,2011,64.71926676,1.4098591357862604,18.8033280516929,6.419018225,25.696542407336562,8.785715852789016
20,20,4,1,2,1,0,0,0,2011,33.56591948,1.409849572438002,18.800744403584527,6.2924162810559805,25.696556089622817,8.785715069319695
21,20,4,2,2,1,0,0,0,2011,125.7363129,1.409849572438002,18.800744403584527,6.2924162810559805,25.696556089622817,8.785715069319695
22,20,2,0,2,1,0,0,0,2011,217.8581687,1.4098591357862604,18.8033280516929,12.96263762,25.696542407336562,8.785715852789016
23,20,2,1,2,1,0,0,0,2011,175.7746799,1.409849572438002,18.800744403584527,15.102536122457622,25.696556089622817,8.785715069319695
24,20,2,2,2,1,0,0,0,2011,276.8467464,1.409849572438002,18.800744403584527,15.102536122457622,25.696556089622817,8.785715069319695
25,20,3,0,2,1,0,0,0,2011,114.0278388,1.4098591357862604,18.8033280516929,9.00269075,25.696542407336562,8.785715852789016
26,20,3,1,2,1,0,0,0,2011,84.12630367,1.409849572438002,18.800744403584527,10.088446113100515,25.696556089622817,8.785715069319695
27,20,3,2,2,1,0,0,0,2011,160.7634714,1.409849572438002,18.800744403584527,10.088446113100515,25.696556089622817,8.785715069319695
28,20,5,0,2,1,0,0,0,2011,162.73984872343806,1.4098591357862604,18.8033280516929,7.829457364,25.696542407336562,8.785715852789016
29,20,1,0,2,1,0,0,0,2011,140.321276,1.4098591357862604,18.8033280516929,5.62352146,25.696542407336562,8.785715852789016
30,20,1,1,2,1,0,0,0,2011,104.8747224,1.409849572438002,18.800744403584527,6.5832543670709445,25.696556089622817,8.785715069319695
31,20,1,2,2,1,0,0,0,2011,189.2742892,1.409849572438002,18.800744403584527,6.5832543670709445,25.696556089622817,8.785715069319695
32,20,0,0,2,1,0,0,0,2012,132.3757854,4.16935343,18.834011479230774,7.334555582,22.04468091,12.5
33,20,0,1,2,1,0,0,0,2012,96.8234481,1.4098591357862604,18.799849415524445,8.692028503945917,25.696542407336562,8.6714527304973
34,20,0,2,2,1,0,0,0,2012,184.8739733,1.4098591357862604,18.799849415524445,8.692028503945917,25.696542407336562,8.6714527304973
35,20,4,0,2,1,0,0,0,2012,89.97281466,1.4098591357862604,18.799849415524445,6.419018225,25.696542407336562,8.6714527304973
36,20,4,1,2,1,0,0,0,2012,63.53169085,1.4098495724380022,18.797041923540807,6.081167547476503,25.696556089622817,8.671440652011965
37,20,4,2,2,1,0,0,0,2012,134.9958126,1.4098495724380022,18.797041923540807,6.081167547476503,25.696556089622817,8.671440652011965
38,20,2,0,2,1,0,0,0,2012,217.6626223,1.4098591357862604,18.799849415524445,12.96263762,25.696542407336562,8.6714527304973
