,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cardiovascular Disease | Cardiovascular Disease Deaths,Deaths | Premature Death,Heat and Disasters | Longer Summers,Income-related | Service Workers,Mental Health | Suicide,Sexually Transmitted Disease | New Gonorrhea Cases
0,20,0,0,2,1,0,0,0,2010,188.9291091,5094.792265,50.90238095,32.72458,12.06194214,140.2
1,20,0,1,2,1,0,0,0,2010,153.5750842,3807.898474,34.407988086392926,37.568444660059576,4.792585459,189.29972759017642
2,20,0,2,2,1,0,0,0,2010,237.9129081,6377.25679,34.407988086392926,37.568444660059576,19.86349818,189.29972759017642
3,20,4,0,2,1,0,0,0,2010,102.7632712,2579.797021,34.407988086392926,18.85036711,7.190316119389492,189.29972759017642
4,20,4,1,2,1,0,0,0,2010,71.38923082,2025.151915,34.40793395861179,33.12473311696484,4.106567269512062,189.29986378325964
5,20,4,2,2,1,0,0,0,2010,161.099229,3244.60378,34.40793395861179,33.12473311696484,12.348325063475198,189.29986378325964
6,20,2,0,2,1,0,0,0,2010,275.5111508,9309.636235,34.407988086392926,36.02018503,7.362212058,189.29972759017642
7,20,2,1,2,1,0,0,0,2010,228.1356625,7672.368289,34.40793395861179,42.65458865545338,4.0605664294339805,189.29986378325964
8,20,2,2,2,1,0,0,0,2010,350.0364904,10945.54208,34.40793395861179,42.65458865545338,12.200132604250001,189.29986378325964
9,20,3,0,2,1,0,0,0,2010,173.7642223,4657.919234,34.407988086392926,57.64453585,4.742059421,189.29972759017642
10,20,3,1,2,1,0,0,0,2010,140.8506695,3312.773042,34.40793395861179,66.89343279133698,3.0610643711562546,189.29986378325964
11,20,3,2,2,1,0,0,0,2010,236.2237151,6004.098064,34.40793395861179,66.89343279133698,7.0040341,189.29986378325964
12,20,5,0,2,1,0,0,0,2010,221.48662577001764,6474.52538950851,34.407988086392926,50.16820858,12.054823196330428,189.29972759017642
13,20,1,0,2,1,0,0,0,2010,187.9392192,4926.24818,34.407988086392926,19.66626083,16.9749379,189.29972759017642
14,20,1,1,2,1,0,0,0,2010,152.8290376,3729.416655,34.40793395861179,28.30009534420007,6.608157048,189.29986378325964
15,20,1,2,2,1,0,0,0,2010,234.3856937,6108.084778,34.40793395861179,28.30009534420007,27.72699917,189.29986378325964
16,20,0,0,2,1,0,0,0,2011,190.5724099,5095.44413,50.90238095,32.72458,13.08844854,142.8
17,20,0,1,2,1,0,0,0,2011,155.2753939,3761.318821,36.697169165793134,38.82136282684477,5.174335824,190.2004415233047
18,20,0,2,2,1,0,0,0,2011,239.0897256,6421.457571,36.697169165793134,38.82136282684477,21.66746639,190.2004415233047
19,20,4,0,2,1,0,0,0,2011,107.2708554,2412.616192,36.697169165793134,18.85036711,7.5761262157038445,190.2004415233047
20,20,4,1,2,1,0,0,0,2011,81.46164776,1968.819666,36.69716735091133,33.69050629921502,4.117589228463784,190.20022078082403
21,20,4,2,2,1,0,0,0,2011,174.4089107,2930.628153,36.69716735091133,33.69050629921502,12.749662980826443,190.20022078082403
22,20,2,0,2,1,0,0,0,2011,297.468536,9639.976735,36.697169165793134,36.02018503,8.29037384,190.2004415233047
23,20,2,1,2,1,0,0,0,2011,248.7483327,7504.660627,36.69716735091133,42.65458865545339,4.138896197,190.20022078082403
24,20,2,2,2,1,0,0,0,2011,370.9069928,11846.24854,36.69716735091133,42.65458865545339,15.030459,190.20022078082403
25,20,3,0,2,1,0,0,0,2011,161.6767369,4584.786725,36.697169165793134,57.64453585,4.93047941,190.2004415233047
26,20,3,1,2,1,0,0,0,2011,134.7492247,3267.514995,36.69716735091133,67.96168773164646,2.9783206573600003,190.20022078082403
27,20,3,2,2,1,0,0,0,2011,203.3140051,5877.314008,36.69716735091133,67.96168773164646,7.969602676,190.20022078082403
28,20,5,0,2,1,0,0,0,2011,220.96013103024572,6309.705283249334,36.697169165793134,50.16820858,12.105089099911666,190.2004415233047
29,20,1,0,2,1,0,0,0,2011,188.4665734,5096.044359,36.697169165793134,19.66626083,18.76316311,190.2004415233047
30,20,1,1,2,1,0,0,0,2011,151.265635,3818.693508,36.69716735091133,26.03321278128385,7.956069061,190.20022078082403
31,20,1,2,2,1,0,0,0,2011,238.2303727,6347.941352,36.69716735091133,26.03321278128385,30.31782951,190.20022078082403
32,20,0,0,2,1,0,0,0,2012,181.977635,4920.523665,50.90238095,32.72458,12.87254119,152.9
33,20,0,1,2,1,0,0,0,2012,143.1146835,3665.71229,36.697169165793134,37.76588417397974,5.818541565,164.75797849974174
34,20,0,2,2,1,0,0,0,2012,238.7645226,6185.547362,36.697169165793134,37.76588417397974,20.86608578,164.75797849974174
35,20,4,0,2,1,0,0,0,2012,144.469644,2499.317653,36.697169165793134,18.85036711,8.568675375045455,164.75797849974174
36,20,4,1,2,1,0,0,0,2012,105.6240605,2013.085946,36.69716735091133,33.41448970550167,4.119510181959779,164.75756071472733
37,20,4,2,2,1,0,0,0,2012,216.3289768,3048.157932,36.69716735091133,33.41448970550167,12.779402039505774,164.75756071472733
38,20,2,0,2,1,0,0,0,2012,291.7200033,9384.397512,36.697169165793134,36.02018503,8.848003259,164.75797849974174
39,20,2,1,2,1,0,0,0,2012,254.0492642,7264.682898,36.69716735091133,42.65458865545339,4.129348872,164.75756071472733
40,20,2,2,2,1,0,0,0,2012,350.6150549,11552.29289,36.69716735091133,42.65458865545339,16.20100905,164.75756071472733
