,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Preterm Births,Deaths | Gun Deaths (Firearms),Education | Preschool Enrollment,Housing | Vacant Housing and Homelessness,Language and Nativity | Primarily Speak Spanish,"Racial Segregation Indices | Racial Segregation, White and Black",Substance Use | Opioid Overdose Deaths
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.480533163249945,7.79317832,42.98900322,7.5064131223489845,14.75201765050063,57.92412466,5.316296067
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.502012994876909,2.424252248,44.48555494106077,7.424524687750433,14.367667640376391,55.439296302279445,4.224055566
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.502012994876909,13.4383718,44.48555494106077,7.424524687750433,14.367667640376391,55.439296302279445,6.417004384
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,8.672522431486765,5.536291828228288,44.48555494106077,7.424524687750433,14.367667640376391,55.439296302279445,4.2303045475714285
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,8.646642653836773,3.743931941714286,44.48558129935982,7.424495639254749,14.367578963795083,55.43932266568321,7.654617750999999
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,8.646642653836773,8.825420576915679,44.48558129935982,7.424495639254749,14.367578963795083,55.43932266568321,11.913428436428571
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,13.582718693167507,11.23645566,44.48555494106077,7.424524687750433,14.367667640376391,55.439296302279445,2.9511035330000004
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,13.572751371298322,3.931262673,44.48558129935982,7.424495639254749,14.367578963795083,55.43932266568321,6.894693043029711
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,13.572751371298322,19.61465966,44.48558129935982,7.424495639254749,14.367578963795083,55.43932266568321,6.809182663
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,9.274726820795557,5.094668925,44.48555494106077,7.424524687750433,14.367667640376391,55.439296302279445,3.28517431
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,9.265320307031933,2.8010446198712113,44.48558129935982,7.424495639254749,14.367578963795083,55.43932266568321,3.516077657715186
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,9.265320307031933,7.145543415,44.48558129935982,7.424495639254749,14.367578963795083,55.43932266568321,4.272863082
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,11.376637558857144,15.478661525999998,44.48555494106077,7.424524687750433,14.367667640376391,55.439296302279445,8.035143330999999
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,9.453027634941597,9.093862108,44.48555494106077,7.424524687750433,14.367667640376391,55.439296302279445,7.158902615
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,9.500748037671098,2.740325488,44.48558129935982,7.424495639254749,14.367578963795083,55.43932266568321,5.966741308
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,9.500748037671098,15.72979042,44.48558129935982,7.424495639254749,14.367578963795083,55.43932266568321,8.366898792
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,10.476764733704512,8.42025155,42.98900322,7.523820646102586,14.893819256033535,57.92412466,5.043283277
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.50201299263841,2.208961446,43.88651551286274,7.424524695008859,14.367667662493183,54.38985210745664,3.29382593
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,10.50201299263841,15.12409835,43.88651551286274,7.424524695008859,14.367667662493183,54.38985210745664,6.809763803
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,8.677062789177604,5.5314115386761,43.88651551286274,7.424524695008859,14.367667662493183,54.38985210745664,8.980463455285715
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,8.646642656533801,3.6303365054285712,43.88651526929932,7.424495641079507,14.367578969342937,54.38983187748342,5.9798836054285704
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,8.646642656533801,8.794985885704438,43.88651526929932,7.424495641079507,14.367578969342937,54.38983187748342,10.140049212
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,13.584467363775035,11.41740226,43.88651551286274,7.424524695008859,14.367667662493183,54.38985210745664,3.67680972225
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,13.572751372337054,5.3478190875,43.88651526929932,7.424495641079507,14.367578969342937,54.38983187748342,7.88124652
24,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,13.572751372337054,20.12549083,43.88651526929932,7.424495641079507,14.367578969342937,54.38983187748342,9.166728217
25,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,9.27637710302318,4.585681348,43.88651551286274,7.424524695008859,14.367667662493183,54.38985210745664,3.159011684
