,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Low Birthweight,Deaths | Deaths from All Causes,Education | College Graduates,Housing | Renters vs. Owners,Language and Nativity | Primarily Speak English,Race/Ethnicity | Minority Population,Substance Use | Drug Overdose Deaths
28,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2011,9.436246918200002,812.5726303399999,21.33956386,0.992924528,76.890041168,47.869648176000005,9.8433939956
29,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,6.872830937,710.1527407,59.29115765,0.917442119,76.890041168,47.869648176000005,19.57379054
30,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,7.4331644338,612.0382078,42.861002944,0.5459328624,76.890041168,47.869648176000005,15.118546
31,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,7.4331644338,837.9315666,42.861002944,0.5459328624,76.890041168,47.869648176000005,23.88386943
32,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,7.89372167,684.6948663,44.78169182,1.21912036,76.89004116800001,51.36841684,15.69225375
33,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,8.717220637999999,577.6089002,32.930064705999996,0.7842145078,76.89004116800001,47.869648176000005,11.16146548
34,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,8.717220637999999,831.5252262,32.930064705999996,0.7842145078,76.89004116800001,47.869648176000005,20.02693682
35,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2012,9.134045077,509.6216769,70.57371383,1.438026162,76.89004116800001,47.869648176000005,9.293235753000001
36,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2012,8.475806429399999,463.0506898,51.337292474,0.7927632176,76.89004116800001,47.869648176000005,11.275729475800002
37,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2012,8.475806429399999,596.5970299,51.337292474,0.7927632176,76.89004116800001,47.869648176000005,25.412951385999996
38,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,14.47102912,897.0170816,21.48810121,2.128226478,76.89004116800001,47.869648176000005,25.11766452
39,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,13.703331278000002,754.7887879,19.02868172,1.5856791986,76.89004116800001,47.869648176000005,12.49323931
40,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,13.703331278000002,1113.982678,19.02868172,1.5856791986,76.89004116800001,47.869648176000005,38.56731993
41,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,7.4393531,627.3372645,18.17644689,1.887775144,76.89004116800001,47.869648176000005,8.515144837
42,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,6.946637647599999,528.4497165,13.7450423104,1.3588212523999998,76.89004116800001,47.869648176000005,6.201271295
43,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,6.946637647599999,759.0747032,13.7450423104,1.3588212523999998,76.89004116800001,47.869648176000005,10.56774659
44,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2012,8.1629983764,712.3837351599999,21.33956386,0.992924528,76.89004116800001,47.869648176000005,22.500986054
45,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,6.883528265,694.9518906,59.29115765,0.917442119,76.89004116800001,47.869648176000005,20.10394393
