,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Breast Cancer Deaths,Deaths | Injury Deaths,"Health Insurance | Uninsured, All Ages",Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,Population | Population Density,"Respiratory Infection | COVID-19 Vaccination, Seniors",Transportation | Lack of Car
0,20,0,0,2,1,0,0,0,2010,19.97068927,65.42352643,15.125894451000002,0.003340583,1.927904408,2685.086346,87.97000611787054,7.104797372
1,20,0,1,2,1,0,0,0,2010,22.161667929967415,44.11109397,15.258359993458441,-0.05681681401322533,2.9861582973504865,1894.5649173965833,87.97003310229505,7.564019201947025
2,20,0,2,2,1,0,0,0,2010,22.161667929967415,89.25090483,15.258359993458441,-0.05681681401322533,2.9861582973504865,1894.5649173965833,87.97003310229505,7.564019201947025
3,20,4,0,2,1,0,0,0,2010,16.49076697641978,27.99791817,13.407891053076924,-0.05681681401322533,2.9861582973504865,1894.5649173965833,87.97003310229505,7.564019201947025
4,20,4,1,2,1,0,0,0,2010,15.693539788223813,25.733758688048784,13.460956958066053,-0.056816941566963056,2.986145960103888,1894.561957355374,87.97005908196961,7.564010980259002
5,20,4,2,2,1,0,0,0,2010,15.693539788223813,54.60338236,13.460956958066053,-0.056816941566963056,2.986145960103888,1894.561957355374,87.97005908196961,7.564010980259002
6,20,2,0,2,1,0,0,0,2010,39.89371387,68.38893885,15.024385682846155,-0.05681681401322533,2.9861582973504865,1894.5649173965833,87.97003310229505,7.564019201947025
7,20,2,1,2,1,0,0,0,2010,32.781127417879055,36.72725256,15.110070922403107,-0.056816941566963056,2.986145960103888,1894.561957355374,87.97005908196961,7.564010980259002
8,20,2,2,2,1,0,0,0,2010,32.781127417879055,101.3662228,15.110070922403107,-0.056816941566963056,2.986145960103888,1894.561957355374,87.97005908196961,7.564010980259002
9,20,3,0,2,1,0,0,0,2010,8.807824841,53.16989102,30.529549153461534,-0.05681681401322533,2.9861582973504865,1894.5649173965833,87.97003310229505,7.564019201947025
10,20,3,1,2,1,0,0,0,2010,14.610998624005557,37.63764859,30.61675900856722,-0.056816941566963056,2.986145960103888,1894.561957355374,87.97005908196961,7.564010980259002
11,20,3,2,2,1,0,0,0,2010,14.610998624005557,68.63379166,30.61675900856722,-0.056816941566963056,2.986145960103888,1894.561957355374,87.97005908196961,7.564010980259002
12,20,5,0,2,1,0,0,0,2010,22.161667929967415,55.74594712237085,21.529904791538463,-0.05681681401322533,2.9861582973504865,1894.5649173965833,87.97003310229505,7.564019201947025
13,20,1,0,2,1,0,0,0,2010,20.74383132,74.40119336,8.240728545,-0.05681681401322533,2.9861582973504865,1894.5649173965833,87.97003310229505,7.564019201947025
14,20,1,1,2,1,0,0,0,2010,21.61373213959724,52.23603332,8.24579879611326,-0.056816941566963056,2.986145960103888,1894.561957355374,87.97005908196961,7.564010980259002
15,20,1,2,2,1,0,0,0,2010,21.61373213959724,99.13700974,8.24579879611326,-0.056816941566963056,2.986145960103888,1894.561957355374,87.97005908196961,7.564010980259002
16,20,0,0,2,1,0,0,0,2011,20.91776589,65.60496562,14.534071856157892,0.003340583,1.927904408,2685.086346,87.96914248486745,7.104797372
17,20,0,1,2,1,0,0,0,2011,22.474933084558867,42.29106567,14.55662485879747,-0.043045850890975144,2.6537151103798537,2108.8469959980343,87.9692113898904,7.677213311878505
18,20,0,2,2,1,0,0,0,2011,22.474933084558867,90.78605863,14.55662485879747,-0.043045850890975144,2.6537151103798537,2108.8469959980343,87.9692113898904,7.677213311878505
19,20,4,0,2,1,0,0,0,2011,18.029486833970083,26.13600564,13.507414441842105,-0.043045850890975144,2.6537151103798537,2108.8469959980343,87.9692113898904,7.677213311878505
20,20,4,1,2,1,0,0,0,2011,15.435367322705215,19.18078167,13.632456075811582,-0.04304566374745546,2.6536951760640988,2108.8489327808056,87.96927626268052,7.677207676928654
21,20,4,2,2,1,0,0,0,2011,15.435367322705215,42.90453666,13.632456075811582,-0.04304566374745546,2.6536951760640988,2108.8489327808056,87.96927626268052,7.677207676928654
22,20,2,0,2,1,0,0,0,2011,39.11484179,72.70191448,14.987091817526318,-0.043045850890975144,2.6537151103798537,2108.8469959980343,87.9692113898904,7.677213311878505
23,20,2,1,2,1,0,0,0,2011,32.53370869409582,34.2084847,14.966744948276162,-0.04304566374745546,2.6536951760640988,2108.8489327808056,87.96927626268052,7.677207676928654
24,20,2,2,2,1,0,0,0,2011,32.53370869409582,116.0018348,14.966744948276162,-0.04304566374745546,2.6536951760640988,2108.8489327808056,87.96927626268052,7.677207676928654
25,20,3,0,2,1,0,0,0,2011,10.1322591,49.60127567,30.999575609473688,-0.043045850890975144,2.6537151103798537,2108.8469959980343,87.9692113898904,7.677213311878505
26,20,3,1,2,1,0,0,0,2011,14.611435435911687,33.02443681,31.31069135381899,-0.04304566374745546,2.6536951760640988,2108.8489327808056,87.96927626268052,7.677207676928654
27,20,3,2,2,1,0,0,0,2011,14.611435435911687,65.57948855,31.31069135381899,-0.04304566374745546,2.6536951760640988,2108.8489327808056,87.96927626268052,7.677207676928654
28,20,5,0,2,1,0,0,0,2011,22.474933084558867,56.51338498459872,21.498049874210526,-0.043045850890975144,2.6537151103798537,2108.8469959980343,87.9692113898904,7.677213311878505
