,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Lung Cancer Deaths,Deaths | Motor Vehicle Deaths,Heat and Disasters | Climate-related  Disasters,Income | Households with Higher-Incomes,Life Expectancy at Birth | Life Expectancy,Race/Ethnicity | Minority Population,Respiratory Infection | New Tuberculosis Cases,Transportation | Public Transportation Use
0,20,0,0,2,1,0,0,0,2010,35.9764409,8.533844633,41.25,51.89652475,78.60018174916668,51.36841684,6.5,4.673878794
1,20,0,1,2,1,0,0,0,2010,27.7824158,4.109670849,22.428513903869945,49.1792831929496,80.99997208166666,48.70420917209405,4.757158527890142,2.8363824073689825
2,20,0,2,2,1,0,0,0,2010,47.84770899,13.02870944,22.428513903869945,49.1792831929496,75.87129261416666,48.70420917209405,4.757158527890142,2.8363824073689825
3,20,4,0,2,1,0,0,0,2010,20.848974421199994,7.328073121763267,22.428513903869945,49.1792831929496,84.73257915437247,48.70420917209405,4.757158527890142,3.7331381751923076
4,20,4,1,2,1,0,0,0,2010,21.161497781276346,5.044782442933477,22.42854266372286,49.179278566876576,87.06279299815989,48.704228243676354,4.75715069319695,3.859021657198125
5,20,4,2,2,1,0,0,0,2010,35.37484971,7.800758923965568,22.42854266372286,49.179278566876576,81.90801574488815,48.704228243676354,4.75715069319695,3.859021657198125
6,20,2,0,2,1,0,0,0,2010,51.94070369,9.57577561225,22.428513903869945,49.1792831929496,74.48556935666667,48.70420917209405,4.757158527890142,5.835106016692308
7,20,2,1,2,1,0,0,0,2010,42.64307796,3.695052457,22.42854266372286,49.179278566876576,77.45301965916666,48.704228243676354,4.75715069319695,5.414517872536863
8,20,2,2,2,1,0,0,0,2010,66.93026818,15.556556775,22.42854266372286,49.179278566876576,71.04202824666667,48.704228243676354,4.75715069319695,5.414517872536863
9,20,3,0,2,1,0,0,0,2010,22.17212176,9.725707294,22.428513903869945,49.1792831929496,82.32455698241378,48.70420917209405,4.757158527890142,2.146038263692308
10,20,3,1,2,1,0,0,0,2010,17.24144602,3.736869326,22.42854266372286,49.179278566876576,83.9422007942553,48.704228243676354,4.75715069319695,2.1401316735549742
11,20,3,2,2,1,0,0,0,2010,27.95463135,15.59411179,22.42854266372286,49.179278566876576,79.49882921978723,48.704228243676354,4.75715069319695,2.1401316735549742
12,20,5,0,2,1,0,0,0,2010,46.96217381856988,9.199283089555722,22.428513903869945,49.1792831929496,78.7132146450533,48.70420917209405,4.757158527890142,5.035399028346154
13,20,1,0,2,1,0,0,0,2010,38.94136296,8.509247251,22.428513903869945,49.1792831929496,79.12835915083333,48.70420917209405,4.757158527890142,1.4506241473076926
14,20,1,1,2,1,0,0,0,2010,29.5733417,5.043600583,22.42854266372286,49.179278566876576,81.32558809000001,48.704228243676354,4.75715069319695,1.6109502822035118
15,20,1,2,2,1,0,0,0,2010,52.31478343,11.93549962,22.42854266372286,49.179278566876576,76.22786818833333,48.704228243676354,4.75715069319695,1.6109502822035118
16,20,0,0,2,1,0,0,0,2011,34.39627128,8.901790665,41.25,51.89652475,80.50109886,51.36841684,4.9,4.673878794
17,20,0,1,2,1,0,0,0,2011,26.77719818,3.928297747,19.70006718832898,50.09511771872919,82.45927815,50.3550775377697,3.8142914602263858,3.117013657010778
18,20,0,2,2,1,0,0,0,2011,45.4904748,14.01044392,19.70006718832898,50.09511771872919,78.22134324,50.3550775377697,3.8142914602263858,3.117013657010778
19,20,4,0,2,1,0,0,0,2011,22.72011999,7.957934205888888,19.70006718832898,50.09511771872919,84.73249518889199,50.3550775377697,3.8142914602263858,3.2524454170526322
