,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Walking to Work,Cardiovascular Disease | Heart Disease Deaths,Deaths | Racial Disparity in Police Killings,Heat and Disasters | Longer Summers,Income-related | Service Workers,Mental Health | Suicide,"Racial Segregation Indices | Racial Segregation, White and Black",Sexually Transmitted Disease | New Gonorrhea Cases
0,20,0,0,2,1,0,0,0,2010,2.506039282,139.0183077,4.16935343,50.90238095,32.72458,12.06194214,57.92412466,140.2
1,20,0,1,2,1,0,0,0,2010,1.8890621090029431,104.0132076,1.8299765497337235,33.177488774876934,37.568444660059576,4.792585459,54.33090833423553,182.60003382269625
2,20,0,2,2,1,0,0,0,2010,1.8890621090029431,188.1989692,1.8299765497337235,33.177488774876934,37.568444660059576,19.86349818,54.33090833423553,182.60003382269625
3,20,4,0,2,1,0,0,0,2010,2.640164838153846,69.61796231,1.8299765497337235,33.177488774876934,18.85036711,7.190316119389492,54.33090833423553,182.60003382269625
4,20,4,1,2,1,0,0,0,2010,2.6532266578796935,64.89276541679999,1.829976587006482,33.177406527438876,33.12473311696484,4.106567269512062,54.33089657171078,182.60001691281673
5,20,4,2,2,1,0,0,0,2010,2.6532266578796935,111.1121059,1.829976587006482,33.177406527438876,33.12473311696484,12.348325063475198,54.33089657171078,182.60001691281673
6,20,2,0,2,1,0,0,0,2010,2.369042029153846,205.9905324,1.8299765497337235,33.177488774876934,36.02018503,7.362212058,54.33090833423553,182.60003382269625
7,20,2,1,2,1,0,0,0,2010,2.353945739931337,165.9694955,1.829976587006482,33.177406527438876,42.65458865545339,4.0605664294339805,54.33089657171078,182.60001691281673
8,20,2,2,2,1,0,0,0,2010,2.353945739931337,263.8762244,1.829976587006482,33.177406527438876,42.65458865545339,12.20013260425,54.33089657171078,182.60001691281673
9,20,3,0,2,1,0,0,0,2010,1.5586096648076926,125.7703287,1.8299765497337235,33.177488774876934,57.64453585,4.742059421,54.33090833423553,182.60003382269625
