,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Birth Control | Teen Birth Control,Crime Incidents | Homicides,Diabetes and Obesity | Diabetes Deaths,"Housing | Homeless, Children",Income-related | Unemployment,Oral Health | Dental Care,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Sexually Transmitted Disease | Syphilis Prevalence
0,20,0,0,2,1,0,0,0,2010,18.25,3.955670262,17.18095968,17.892318867188322,7.334555582,62.4,49.97393478,8.1
1,20,0,1,2,1,0,0,0,2010,17.32555501420592,2.598894685,16.74117481,17.870950913658568,8.736877130271091,58.085759730881406,52.15587997723108,9.24284695687141
2,20,0,2,2,1,0,0,0,2010,11.46614451764495,5.251540797,17.84771037,17.870950913658568,8.736877130271091,58.085759730881406,52.15587997723108,9.24284695687141
3,20,4,0,2,1,0,0,0,2010,18.779191940795663,3.3773077414951707,23.490820767846156,17.870950913658568,6.419018225,58.085759730881406,52.15587997723108,9.24284695687141
4,20,4,1,2,1,0,0,0,2010,17.000497195398747,1.6813766124608605,16.565899143456022,17.863091183280996,6.411306137358092,58.08573701027115,52.15589314175791,9.242852049421982
5,20,4,2,2,1,0,0,0,2010,12.293610296027156,4.421689923621273,22.0430877035524,17.863091183280996,6.411306137358092,58.08573701027115,52.15589314175791,9.242852049421982
6,20,2,0,2,1,0,0,0,2010,17.12333638887555,10.4743466,36.59403803,17.870950913658568,12.96263762,58.085759730881406,52.15587997723108,9.24284695687141
7,20,2,1,2,1,0,0,0,2010,14.273657531064393,6.462583405,44.61118082,17.863091183280996,15.102536122457622,58.08573701027115,52.15589314175791,9.242852049421982
8,20,2,2,2,1,0,0,0,2010,12.342313964690762,15.81001622,25.54371488,17.863091183280996,15.102536122457622,58.08573701027115,52.15589314175791,9.242852049421982
9,20,3,0,2,1,0,0,0,2010,21.83781326536059,4.851729185,25.88104985,17.870950913658568,9.00269075,58.085759730881406,52.15587997723108,9.24284695687141
10,20,3,1,2,1,0,0,0,2010,17.000497195398747,3.400617222,29.04607198,17.863091183280996,10.495332203545358,58.08573701027115,52.15589314175791,9.242852049421982
11,20,3,2,2,1,0,0,0,2010,13.832817887427115,6.206742003,19.98190816,17.863091183280996,10.495332203545358,58.08573701027115,52.15589314175791,9.242852049421982
12,20,5,0,2,1,0,0,0,2010,18.779191940795663,7.03907958290414,21.80347685386289,17.870950913658568,7.829457364,58.085759730881406,52.15587997723108,9.24284695687141
13,20,1,0,2,1,0,0,0,2010,9.091829222821099,2.126556539,13.31094517,17.870950913658568,5.62352146,58.085759730881406,52.15587997723108,9.24284695687141
14,20,1,1,2,1,0,0,0,2010,9.874701168576106,3.2693777843333334,10.41500023,17.863091183280996,6.583254367070944,58.08573701027115,52.15589314175791,9.242852049421982
15,20,1,2,2,1,0,0,0,2010,8.059056274734397,2.38516509,17.0216383,17.863091183280996,6.583254367070944,58.08573701027115,52.15589314175791,9.242852049421982
16,20,0,0,2,1,0,0,0,2011,18.25,3.528983476,17.468989,17.512100243236826,7.334555582,62.4,49.97393478,9.4
17,20,0,1,2,1,0,0,0,2011,18.7,2.204353444,17.10964739,17.882153981379584,9.184267053349119,58.857153043128605,51.95630550661075,9.042846956871408
18,20,0,2,2,1,0,0,0,2011,9.8,4.784780043,18.00033042,17.882153981379584,9.184267053349119,58.857153043128605,51.95630550661075,9.042846956871408
19,20,4,0,2,1,0,0,0,2011,18.784798900806454,3.9154163394688846,25.71564522147369,17.882153981379584,6.419018225,58.857153043128605,51.95630550661075,9.042846956871408
20,20,4,1,2,1,0,0,0,2011,16.84358155014023,2.510601863298893,17.8634348110107,17.86768153533404,6.2924162810559805,58.857147950578025,51.95631411041525,9.042852049421981
21,20,4,2,2,1,0,0,0,2011,11.864298459982178,4.104557112622916,21.201645727055467,17.86768153533404,6.2924162810559805,58.857147950578025,51.95631411041525,9.042852049421981
22,20,2,0,2,1,0,0,0,2011,17.4,10.08263217,31.67257995,17.882153981379584,12.96263762,58.857153043128605,51.95630550661075,9.042846956871408
23,20,2,1,2,1,0,0,0,2011,18.10138346168102,6.977157591500001,34.04193559,17.86768153533404,15.098649620103563,58.857147950578025,51.95631411041525,9.042852049421981
24,20,2,2,2,1,0,0,0,2011,13.623475425420944,15.99464802,31.58976388,17.86768153533404,15.098649620103563,58.857147950578025,51.95631411041525,9.042852049421981
25,20,3,0,2,1,0,0,0,2011,23.767918039149063,4.392607349,28.96732681,17.882153981379584,9.00269075,58.857153043128605,51.95630550661075,9.042846956871408
26,20,3,1,2,1,0,0,0,2011,18.029986898488453,2.973284808,31.99123952,17.86768153533404,10.088446113100515,58.857147950578025,51.95631411041525,9.042852049421981
27,20,3,2,2,1,0,0,0,2011,14.386993258182649,5.710748534,24.32550821,17.86768153533404,10.088446113100515,58.857147950578025,51.95631411041525,9.042852049421981
28,20,5,0,2,1,0,0,0,2011,18.784798900806454,7.235129104217461,22.43685486366042,17.882153981379584,7.829457364,58.857153043128605,51.95630550661075,9.042846956871408
29,20,1,0,2,1,0,0,0,2011,7.1,2.119379116,13.29326828,17.882153981379584,5.62352146,58.857153043128605,51.95630550661075,9.042846956871408
30,20,1,1,2,1,0,0,0,2011,13.70103523039171,1.588941298,11.25096289,17.86768153533404,6.5832543670709445,58.857147950578025,51.95631411041525,9.042852049421981
