,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Preterm Births,Deaths | Deaths from All Causes,Education | College Graduates,Housing | Owner Occupied Housing,Language and Nativity | Primarily Speak Chinese,Physical Activity | Teen Physical Education,Respiratory Disease | Teen Asthma,Substance Use | Adult Smoking
4632,0,2,2,1,1,1,1,1,2013,12.465293954105675,897.6036636,22.495670630170867,26.880136314891388,4.731283477964374,22.36215484311358,26.716503747672643,16.814675030082835
4633,0,3,0,1,1,1,1,1,2013,9.317314089933815,518.6280612,17.36563508,16.42535861,4.751549331850295,15.2,29.6,16.815050252540882
4634,0,3,1,1,1,1,1,1,2013,9.306022829343156,422.8063143,16.459221509762486,16.30462536912028,4.731283477964374,22.502740143537164,25.79805287008798,16.814675030082835
4635,0,3,2,1,1,1,1,1,2013,9.306022829343156,652.9353502,16.459221509762486,16.30462536912028,4.731283477964374,23.0529186330712,27.309588336562985,16.814675030082835
4636,0,5,0,1,1,1,1,1,2013,9.705946603386314,593.964895766175,16.88311688,26.91370063,4.751549331850295,17.63990910991674,24.03064785422014,16.815050252540882
4637,0,1,0,1,1,1,1,1,2013,7.542643903011395,616.5243449,57.38023731,42.88091362,4.751549331850295,17.4,19.6,16.815050252540882
4638,0,1,1,1,1,1,1,1,2013,7.590937592846263,520.1333067,55.14173998314799,42.69427298953644,4.731283477964374,21.539481299471177,19.84486012087435,16.814675030082835
4639,0,1,2,1,1,1,1,1,2013,7.590937592846263,736.7812956,55.14173998314799,42.69427298953644,4.731283477964374,22.08965978900521,21.42450315931931,16.814675030082835
4640,0,0,0,1,1,1,1,1,2014,9.557968657588901,587.1322215,36.71353586,32.62889411,6.178758391,15.0,25.4,17.0
4641,0,0,1,1,1,1,1,1,2014,9.695180332629652,492.1914572,35.93663911937852,32.54579410474513,5.299520088484975,22.532842301623194,23.638883228418926,16.672172215458176
