,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Colorectal Cancer Deaths,Deaths | Maternal Deaths,"Health Insurance | Uninsured, Child",Income Inequality | Income Inequality,Lead Poisoning | Housing Lead Risk,Population | Single-Parent Families,"Respiratory Infection | Flu Vaccinations, Medicare",Transportation | Longer Driving Commute Time
0,20,0,0,2,1,0,0,0,2010,12.77803434,16.82868955,8.171997762884615,0.4876,6.288232493,10.98588611,50.0,31.308569438076923
1,20,0,1,2,1,0,0,0,2010,11.84385819,23.422466118098235,8.29953352456964,0.47341447428561134,13.920530645790695,13.277831070019445,50.57142073605493,31.401171096698654
2,20,0,2,2,1,0,0,0,2010,13.69767157,23.422466118098235,8.29953352456964,0.47341447428561134,13.920530645790695,13.277831070019445,50.57142073605493,31.401171096698654
3,20,4,0,2,1,0,0,0,2010,14.355003342857144,15.81963707579896,8.956238316538462,0.47341447428561134,13.920530645790695,12.497815304923076,44.47368421052632,31.401171096698654
4,20,4,1,2,1,0,0,0,2010,11.656076056513685,18.3880040269237,8.986739464252896,0.47341438000813657,13.920537828342963,12.353979742098037,44.99262661730789,31.408781246263597
5,20,4,2,2,1,0,0,0,2010,16.903018495316942,18.3880040269237,8.986739464252896,0.47341438000813657,13.920537828342963,12.353979742098037,44.99262661730789,31.408781246263597
6,20,2,0,2,1,0,0,0,2010,21.40895751,64.9266329,6.886536071730769,0.47341447428561134,13.920530645790695,31.51609209769231,33.31578947368421,31.401171096698654
7,20,2,1,2,1,0,0,0,2010,19.47566794,51.83436285649902,6.992407601204912,0.47341438000813657,13.920537828342963,31.94025601877525,33.42462140212923,31.408781246263597
8,20,2,2,2,1,0,0,0,2010,21.02780127,51.83436285649902,6.992407601204912,0.47341438000813657,13.920537828342963,31.94025601877525,33.42462140212923,31.408781246263597
9,20,3,0,2,1,0,0,0,2010,14.26523017,20.48891678,12.773901616615385,0.47341447428561134,13.920530645790695,27.277748855384612,37.26315789473684,31.401171096698654
10,20,3,1,2,1,0,0,0,2010,12.22439445,18.353082692882037,12.816160818392053,0.47341438000813657,13.920537828342963,27.3830474053514,37.42277805645621,31.408781246263597
11,20,3,2,2,1,0,0,0,2010,18.52787179,18.353082692882037,12.816160818392053,0.47341438000813657,13.920537828342963,27.3830474053514,37.42277805645621,31.408781246263597
12,20,5,0,2,1,0,0,0,2010,15.133215180080919,23.422466118098235,9.705073780307693,0.47341447428561134,13.920530645790695,24.115482312307694,50.57142073605493,31.401171096698654
13,20,1,0,2,1,0,0,0,2010,11.52692511,34.49716332333333,4.093316199769231,0.47341447428561134,13.920530645790695,11.475565246692309,54.21052631578948,31.401171096698654
14,20,1,1,2,1,0,0,0,2010,11.5943144,33.89510560128038,4.084410132015972,0.47341438000813657,13.920537828342963,10.912305452705562,54.42093471078317,31.408781246263597
15,20,1,2,2,1,0,0,0,2010,11.21135897,33.89510560128038,4.084410132015972,0.47341438000813657,13.920537828342963,10.912305452705562,54.42093471078317,31.408781246263597
16,20,0,0,2,1,0,0,0,2011,13.0556767,16.82868955,7.6390883361578945,0.4876,6.288232493,10.98588611,50.0,32.19691578631579
17,20,0,1,2,1,0,0,0,2011,11.44185867,25.586313539161008,7.673514943692065,0.47757142713494355,12.608009970771478,13.618571546733945,51.42852441632958,32.661418931008406
18,20,0,2,2,1,0,0,0,2011,14.88582644,25.586313539161008,7.673514943692065,0.47757142713494355,12.608009970771478,13.618571546733945,51.42852441632958,32.661418931008406
19,20,4,0,2,1,0,0,0,2011,14.999575673913045,15.121660755657878,9.374947466105263,0.47757142713494355,12.608009970771478,12.82463671157895,44.416666666666664,32.661418931008406
20,20,4,1,2,1,0,0,0,2011,11.440563651095113,15.146533388335419,9.571405877787104,0.47757142785312356,12.60798715929551,12.336035809830939,44.57090518597169,31.415285579508087
21,20,4,2,2,1,0,0,0,2011,16.55757568878081,15.146533388335419,9.571405877787104,0.47757142785312356,12.60798715929551,12.336035809830939,44.57090518597169,31.415285579508087
22,20,2,0,2,1,0,0,0,2011,19.03874382,64.9266329,6.840456273368422,0.47757142713494355,12.608009970771478,31.577683749473685,33.25,32.661418931008406
23,20,2,1,2,1,0,0,0,2011,18.52295506,51.83436285649902,6.609187764396016,0.47757142785312356,12.60798715929551,32.515463311473226,33.427967522275026,31.415285579508087
24,20,2,2,2,1,0,0,0,2011,24.61360587,51.83436285649902,6.609187764396016,0.47757142785312356,12.60798715929551,32.515463311473226,33.427967522275026,31.415285579508087
25,20,3,0,2,1,0,0,0,2011,15.68860437,20.48891678,13.064366167052633,0.47757142713494355,12.608009970771478,26.651502382105267,36.916666666666664,32.661418931008406
26,20,3,1,2,1,0,0,0,2011,12.95861445,18.350284142014996,13.236733289968859,0.47757142785312356,12.60798715929551,26.95155291342273,36.99971817706169,31.415285579508087
27,20,3,2,2,1,0,0,0,2011,20.54311227,18.350284142014996,13.236733289968859,0.47757142785312356,12.60798715929551,26.95155291342273,36.99971817706169,31.415285579508087
28,20,5,0,2,1,0,0,0,2011,14.61072971247729,25.586313539161008,9.109742492578949,0.47757142713494355,12.608009970771478,23.860495227894734,50.57142073605493,32.661418931008406
29,20,1,0,2,1,0,0,0,2011,11.91068317,34.49716332333333,4.267608193736843,0.47757142713494355,12.608009970771478,11.497807004473684,54.25,32.661418931008406
