,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Active Transportation | Riding Bike to Work,Cardiovascular Disease | Cardiovascular Disease Deaths,Deaths | Premature Death,Heat and Disasters | Community Social Vulnerability to Climate Disasters,Income | Per-capita Household Income,Mental Health | Adult Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
0,20,0,0,2,1,0,0,0,2010,1.458997071,188.9291091,5094.792265,28.32369942,31387.0,10.1,40.61898946,565.9
1,20,0,1,2,1,0,0,0,2010,0.38554138633797713,153.5750842,3807.898474,34.508882166144815,27764.998217452503,12.328562809660424,43.440937427673084,551.5702561383526
2,20,0,2,2,1,0,0,0,2010,0.38554138633797713,237.9129081,6377.25679,34.508882166144815,27764.998217452503,12.328562809660424,43.440937427673084,551.5702561383526
3,20,4,0,2,1,0,0,0,2010,0.38554138633797713,102.7632712,2579.797021,34.508882166144815,31998.0,12.328562809660424,43.440937427673084,551.5702561383526
4,20,4,1,2,1,0,0,0,2010,0.38553934456060457,71.38923082,2025.151915,34.50892372517725,27350.99844598423,12.328567118741676,43.44091577000324,551.5708423039816
5,20,4,2,2,1,0,0,0,2010,0.38553934456060457,161.099229,3244.60378,34.50892372517725,27350.99844598423,12.328567118741676,43.44091577000324,551.5708423039816
6,20,2,0,2,1,0,0,0,2010,0.38554138633797713,275.5111508,9309.636235,34.508882166144815,19782.0,12.328562809660424,43.440937427673084,551.5702561383526
7,20,2,1,2,1,0,0,0,2010,0.38553934456060457,228.1356625,7672.368289,34.50892372517725,18390.27588350359,12.328567118741676,43.44091577000324,551.5708423039816
8,20,2,2,2,1,0,0,0,2010,0.38553934456060457,350.0364904,10945.54208,34.50892372517725,18390.27588350359,12.328567118741676,43.44091577000324,551.5708423039816
9,20,3,0,2,1,0,0,0,2010,0.38554138633797713,173.7642223,4657.919234,34.508882166144815,16570.0,12.328562809660424,43.440937427673084,551.5702561383526
10,20,3,1,2,1,0,0,0,2010,0.38553934456060457,140.8506695,3312.773042,34.50892372517725,14346.849872936302,12.328567118741676,43.44091577000324,551.5708423039816
11,20,3,2,2,1,0,0,0,2010,0.38553934456060457,236.2237151,6004.098064,34.50892372517725,14346.849872936302,12.328567118741676,43.44091577000324,551.5708423039816
12,20,5,0,2,1,0,0,0,2010,0.38554138633797713,212.62544104376448,6221.464049117871,34.508882166144815,19801.0,12.328562809660424,43.440937427673084,551.5702561383526
13,20,1,0,2,1,0,0,0,2010,0.38554138633797713,187.9392192,4926.24818,34.508882166144815,44166.0,12.328562809660424,43.440937427673084,551.5702561383526
14,20,1,1,2,1,0,0,0,2010,0.38553934456060457,152.8290376,3729.416655,34.50892372517725,39130.0971259846,12.328567118741676,43.44091577000324,551.5708423039816
15,20,1,2,2,1,0,0,0,2010,0.38553934456060457,234.3856937,6108.084778,34.50892372517725,39130.0971259846,12.328567118741676,43.44091577000324,551.5708423039816
16,20,0,0,2,1,0,0,0,2011,1.458997071,190.5724099,5095.44413,28.32369942,31387.0,10.1,40.61898946,594.2
17,20,0,1,2,1,0,0,0,2011,0.3868553605639853,155.2753939,3761.318821,34.46249170943715,27802.996480611346,12.014291460226385,43.861573371062235,595.4860842459398
18,20,0,2,2,1,0,0,0,2011,0.3868553605639853,239.0897256,6421.457571,34.46249170943715,27802.996480611346,12.014291460226385,43.861573371062235,595.4860842459398
19,20,4,0,2,1,0,0,0,2011,0.3868553605639853,107.2708554,2412.616192,34.46249170943715,31998.0,12.014291460226385,43.861573371062235,595.4860842459398
20,20,4,1,2,1,0,0,0,2011,0.386853348813858,81.46164776,1968.819666,34.462532208344065,27165.435499204767,12.014288587505547,43.861561325862965,595.4858992818914
21,20,4,2,2,1,0,0,0,2011,0.386853348813858,174.4089107,2930.628153,34.462532208344065,27165.435499204767,12.014288587505547,43.861561325862965,595.4858992818914
22,20,2,0,2,1,0,0,0,2011,0.3868553605639853,297.468536,9639.976735,34.46249170943715,19782.0,12.014291460226385,43.861573371062235,595.4860842459398
23,20,2,1,2,1,0,0,0,2011,0.386853348813858,248.7483327,7504.660627,34.462532208344065,18633.407627474833,12.014288587505547,43.861561325862965,595.4858992818914
24,20,2,2,2,1,0,0,0,2011,0.386853348813858,370.9069928,11846.24854,34.462532208344065,18633.407627474833,12.014288587505547,43.861561325862965,595.4858992818914
25,20,3,0,2,1,0,0,0,2011,0.3868553605639853,161.6767369,4584.786725,34.46249170943715,16570.0,12.014291460226385,43.861573371062235,595.4860842459398
26,20,3,1,2,1,0,0,0,2011,0.386853348813858,134.7492247,3267.514995,34.462532208344065,14209.284732252221,12.014288587505547,43.861561325862965,595.4858992818914
27,20,3,2,2,1,0,0,0,2011,0.386853348813858,203.3140051,5877.314008,34.462532208344065,14209.284732252221,12.014288587505547,43.861561325862965,595.4858992818914
28,20,5,0,2,1,0,0,0,2011,0.3868553605639853,220.96013103024575,6501.546438061729,34.46249170943715,19801.0,12.014291460226385,43.861573371062235,595.4860842459398
29,20,1,0,2,1,0,0,0,2011,0.3868553605639853,188.4665734,5096.044359,34.46249170943715,44166.0,12.014291460226385,43.861573371062235,595.4860842459398
30,20,1,1,2,1,0,0,0,2011,0.386853348813858,151.265635,3818.693508,34.462532208344065,39130.0971259846,12.014288587505547,43.861561325862965,595.4858992818914
