,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Low Birthweight,Crime Incidents | Violent Crime,Disability | People with Disabilities,"Housing | Homeless, Total",Language and Nativity | Foreign Born Population,Physical Activity | Teen Computer Time,"Racial Segregation Indices | Racial Segregation, White and Non-White","Sexually Transmitted Disease | Syphilis, Newborns"
0,20,0,0,2,1,0,0,0,2010,7.836413514,475.9452977,8.49604215,171.6731686460187,19.08120494,38.2,44.16342767,0.0
1,20,0,1,2,1,0,0,0,2010,8.98646778540736,626.7932789256172,10.494515375971845,171.8816356262303,14.26039107957789,32.87570924482071,43.97186801811437,7.214284147210987
2,20,0,2,2,1,0,0,0,2010,8.98646778540736,626.7932789256172,10.494515375971845,171.8816356262303,14.26039107957789,36.83882902212216,43.97186801811437,7.214284147210987
3,20,4,0,2,1,0,0,0,2010,8.785405665,626.7932789256172,2.973168963,171.8816356262303,14.26039107957789,45.50359266477316,43.97186801811437,7.214284147210987
4,20,4,1,2,1,0,0,0,2010,8.70031659182275,626.793080065794,4.63664256994156,171.9583156065947,14.260396042143652,35.79567893237526,43.97184998062375,7.2142849306803045
5,20,4,2,2,1,0,0,0,2010,8.70031659182275,626.793080065794,4.63664256994156,171.9583156065947,14.260396042143652,39.910240392956524,43.97184998062375,7.2142849306803045
6,20,2,0,2,1,0,0,0,2010,14.07894737,626.7932789256172,16.22406961,171.8816356262303,14.26039107957789,35.14686851051192,43.97186801811437,7.214284147210987
7,20,2,1,2,1,0,0,0,2010,14.151967421022805,626.793080065794,13.986385871180213,171.9583156065947,14.260396042143652,34.38002646362272,43.97184998062375,7.2142849306803045
8,20,2,2,2,1,0,0,0,2010,14.151967421022805,626.793080065794,13.986385871180213,171.9583156065947,14.260396042143652,34.43635400851481,43.97184998062375,7.2142849306803045
9,20,3,0,2,1,0,0,0,2010,7.56941213,626.7932789256172,7.358185112,171.8816356262303,14.26039107957789,36.15182285852253,43.97186801811437,7.214284147210987
10,20,3,1,2,1,0,0,0,2010,6.7695225516814865,626.793080065794,6.097294961235911,171.9583156065947,14.260396042143652,33.260836370347285,43.97184998062375,7.2142849306803045
11,20,3,2,2,1,0,0,0,2010,6.7695225516814865,626.793080065794,6.097294961235911,171.9583156065947,14.260396042143652,36.82347582217783,43.97184998062375,7.2142849306803045
12,20,5,0,2,1,0,0,0,2010,8.98646778540736,626.7932789256172,12.20579046,171.8816356262303,14.26039107957789,38.86325389913056,43.97186801811437,7.214284147210987
13,20,1,0,2,1,0,0,0,2010,6.654777548,626.7932789256172,8.726448065,171.8816356262303,14.26039107957789,28.207702996824622,43.97186801811437,7.214284147210987
14,20,1,1,2,1,0,0,0,2010,7.537125903870626,626.793080065794,11.259801955965202,171.9583156065947,14.260396042143652,30.087503760434306,43.97184998062375,7.2142849306803045
15,20,1,2,2,1,0,0,0,2010,7.537125903870626,626.793080065794,11.259801955965202,171.9583156065947,14.260396042143652,32.77012767483716,43.97184998062375,7.2142849306803045
16,20,0,0,2,1,0,0,0,2011,7.858909405,430.099799,8.49604215,171.04054817178329,19.08120494,38.2,44.16342767,19.4
17,20,0,1,2,1,0,0,0,2011,8.909672340536725,618.0574970117858,10.48459561496003,171.77233785498356,14.712555109010408,32.0,45.44668284663604,13.885638152000402
18,20,0,2,2,1,0,0,0,2011,8.909672340536725,618.0574970117858,10.48459561496003,171.77233785498356,14.712555109010408,35.0,45.44668284663604,13.885638152000402
19,20,4,0,2,1,0,0,0,2011,9.057639524,618.0574970117858,2.973168963,171.77233785498356,14.712555109010408,46.0462423690124,45.44668284663604,13.885638152000402
20,20,4,1,2,1,0,0,0,2011,8.750333293268321,618.0573345557166,4.937385932575851,171.91353186868213,14.712570404533915,38.2421835439972,45.446698511957464,13.885676215551483
21,20,4,2,2,1,0,0,0,2011,8.750333293268321,618.0573345557166,4.937385932575851,171.91353186868213,14.712570404533915,40.10690468826738,45.446698511957464,13.885676215551483
22,20,2,0,2,1,0,0,0,2011,14.21554464,618.0574970117858,16.22406961,171.77233785498356,14.712555109010408,36.1,45.44668284663604,13.885638152000402
23,20,2,1,2,1,0,0,0,2011,14.066834313369444,618.0573345557166,13.411645207391006,171.91353186868213,14.712570404533915,38.275863728067876,45.446698511957464,13.885676215551483
24,20,2,2,2,1,0,0,0,2011,14.066834313369444,618.0573345557166,13.411645207391006,171.91353186868213,14.712570404533915,38.519845088399784,45.446698511957464,13.885676215551483
25,20,3,0,2,1,0,0,0,2011,7.353865493,618.0574970117858,7.358185112,171.77233785498356,14.712555109010408,40.4,45.44668284663604,13.885638152000402
26,20,3,1,2,1,0,0,0,2011,6.922637124599549,618.0573345557166,5.745890547667567,171.91353186868213,14.712570404533915,37.94530140182009,45.446698511957464,13.885676215551483
27,20,3,2,2,1,0,0,0,2011,6.922637124599549,618.0573345557166,5.745890547667567,171.91353186868213,14.712570404533915,36.875129228981,45.446698511957464,13.885676215551483
28,20,5,0,2,1,0,0,0,2011,8.909672340536725,618.0574970117858,12.20579046,171.77233785498356,14.712555109010408,38.38539695227957,45.44668284663604,13.885638152000402
29,20,1,0,2,1,0,0,0,2011,6.872830937,618.0574970117858,8.726448065,171.77233785498356,14.712555109010408,27.0,45.44668284663604,13.885638152000402
30,20,1,1,2,1,0,0,0,2011,7.372828622426966,618.0573345557166,11.2598019559652,171.91353186868213,14.712570404533915,33.00770919907393,45.446698511957464,13.885676215551483
