,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | All Cancer Deaths,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Housing | Vacant Housing and Homelessness,Language and Nativity | Primarily Speak Spanish,Population | Children,"Respiratory Infection | COVID-19 Vaccination, Adults",Substance Use | Opioid Overdose Deaths
0,20,0,0,2,1,0,0,0,2010,155.0121655,5.928088068600677,63.14366606,7.5668876782881975,16.76636938223077,22.04468091,74.1829935199997,5.316296067
1,20,0,1,2,1,0,0,0,2010,133.000095,5.875059280355942,63.149721369696316,7.122649144560544,16.846528280232487,25.75628131676448,74.18304513384433,4.224055566
2,20,0,2,2,1,0,0,0,2010,189.7602695,5.875059280355942,63.149721369696316,7.122649144560544,16.846528280232487,25.75628131676448,74.18304513384433,6.417004384
3,20,4,0,2,1,0,0,0,2010,110.2149045,3.6905214861023494,63.149721369696316,7.122649144560544,16.846528280232487,25.75628131676448,74.18304513384433,3.1946665071070894
4,20,4,1,2,1,0,0,0,2010,79.0767511,3.67644080217419,63.149728205683004,7.115999144688789,16.85311586421137,25.756296364218212,74.18309482587641,4.644963042358705
5,20,4,2,2,1,0,0,0,2010,158.0413096,3.67644080217419,63.149728205683004,7.115999144688789,16.85311586421137,25.756296364218212,74.18309482587641,4.000385429056894
6,20,2,0,2,1,0,0,0,2010,231.6289111,10.550721783824653,63.149721369696316,7.122649144560544,16.846528280232487,25.75628131676448,74.18304513384433,2.9511035330000004
7,20,2,1,2,1,0,0,0,2010,193.8349607,10.477238900841453,63.149728205683004,7.115999144688789,16.85311586421137,25.756296364218212,74.18309482587641,8.873553007259664
8,20,2,2,2,1,0,0,0,2010,305.9965893,10.477238900841453,63.149728205683004,7.115999144688789,16.85311586421137,25.756296364218212,74.18309482587641,6.809182663
9,20,3,0,2,1,0,0,0,2010,134.2368221,5.6113168182125905,63.149721369696316,7.122649144560544,16.846528280232487,25.75628131676448,74.18304513384433,3.28517431
10,20,3,1,2,1,0,0,0,2010,103.7544578,5.596475756552314,63.149728205683004,7.115999144688789,16.85311586421137,25.756296364218212,74.18309482587641,5.908650398291908
11,20,3,2,2,1,0,0,0,2010,184.4562198,5.596475756552314,63.149728205683004,7.115999144688789,16.85311586421137,25.756296364218212,74.18309482587641,4.272863082
12,20,5,0,2,1,0,0,0,2010,167.1587797600367,6.264083749947172,63.149721369696316,7.122649144560544,16.846528280232487,25.75628131676448,74.18304513384433,5.804058989741189
13,20,1,0,2,1,0,0,0,2010,155.2409969,4.686446331168903,63.149721369696316,7.122649144560544,16.846528280232487,25.75628131676448,74.18304513384433,7.158902615
14,20,1,1,2,1,0,0,0,2010,136.9851695,4.672876749412197,63.149728205683004,7.115999144688789,16.85311586421137,25.756296364218212,74.18309482587641,5.966741308
15,20,1,2,2,1,0,0,0,2010,184.7959735,4.672876749412197,63.149728205683004,7.115999144688789,16.85311586421137,25.756296364218212,74.18309482587641,8.366898792
16,20,0,0,2,1,0,0,0,2011,153.5496807,6.5338491188076935,63.14366606,7.5968825742741295,17.024730834000003,22.04468091,74.18134162560102,5.043283277
17,20,0,1,2,1,0,0,0,2011,135.3534076,6.506847242346752,63.47821706467206,7.562185696248331,17.25084242481723,25.696542407336562,74.18147342211763,3.29382593
18,20,0,2,2,1,0,0,0,2011,181.3610221,6.506847242346752,63.47821706467206,7.562185696248331,17.25084242481723,25.696542407336562,74.18147342211763,6.809763803
19,20,4,0,2,1,0,0,0,2011,109.6965121,3.8144701563513843,63.47821706467206,7.562185696248331,17.25084242481723,25.696542407336562,74.18147342211763,3.4630040917897094
20,20,4,1,2,1,0,0,0,2011,93.73147479,3.7881661218716047,63.478231407518905,7.555491161488222,16.85874621892503,25.696556089622817,74.18159750607259,4.320703068556163
21,20,4,2,2,1,0,0,0,2011,137.2376536,3.7881661218716047,63.478231407518905,7.555491161488222,16.85874621892503,25.696556089622817,74.18159750607259,4.175393582519254
22,20,2,0,2,1,0,0,0,2011,222.5820501,11.588216699,63.47821706467206,7.562185696248331,17.25084242481723,25.696542407336562,74.18147342211763,3.67680972225
23,20,2,1,2,1,0,0,0,2011,189.2204277,11.590721351351013,63.478231407518905,7.555491161488222,16.85874621892503,25.696556089622817,74.18159750607259,7.88124652
24,20,2,2,2,1,0,0,0,2011,287.608977,11.590721351351013,63.478231407518905,7.555491161488222,16.85874621892503,25.696556089622817,74.18159750607259,9.166728217
25,20,3,0,2,1,0,0,0,2011,132.7441737,6.202184281538463,63.47821706467206,7.562185696248331,17.25084242481723,25.696542407336562,74.18147342211763,3.159011684
26,20,3,1,2,1,0,0,0,2011,114.6343744,6.279543530157317,63.478231407518905,7.555491161488222,16.85874621892503,25.696556089622817,74.18159750607259,4.614272542034526
27,20,3,2,2,1,0,0,0,2011,161.6403498,6.279543530157317,63.478231407518905,7.555491161488222,16.85874621892503,25.696556089622817,74.18159750607259,4.248625975
28,20,5,0,2,1,0,0,0,2011,169.80758211495603,6.959904338673312,63.47821706467206,7.562185696248331,17.25084242481723,25.696542407336562,74.18147342211763,6.143072552280738
29,20,1,0,2,1,0,0,0,2011,154.7615585,4.737150268961538,63.47821706467206,7.562185696248331,17.25084242481723,25.696542407336562,74.18147342211763,7.017534748
30,20,1,1,2,1,0,0,0,2011,138.0355787,4.709219030309795,63.478231407518905,7.555491161488222,16.85874621892503,25.696556089622817,74.18159750607259,4.650212014
