,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Gun Deaths (Firearms),Education | Preschool Enrollment,Housing | Renters vs. Owners,Language and Nativity | Primarily Speak English,Physical Activity | Teen TV Time,Respiratory Infection | COVID-19 Deaths,Substance Use | Drug Overdose Deaths
6582,19,2,0,3,1,0,0,0,2018,13.69863014,28.084684091999996,49.62647200341232,2.491122278,64.01888509170877,30.75161411915911,80.441878117,32.15453524
6583,19,2,1,3,1,0,0,0,2018,27.367670063999903,6.974838874,49.62639396669759,2.6109717438512545,66.59055096004137,23.728571428571435,75.2458275436842,19.48685831
6584,19,2,2,3,1,0,0,0,2018,27.367670063999903,50.92474852,49.62639396669759,2.6109717438512545,66.59055096004137,22.48571428571429,114.85345807099999,44.19727543
6585,19,3,0,3,1,0,0,0,2018,17.08390993,3.912472441,49.62647200341232,1.721912157,64.01888509170877,20.562090412214552,170.63547852349998,12.98547493
6586,19,3,1,3,1,0,0,0,2018,22.52390272372026,3.3965297925,49.62639396669759,1.9353472796877818,66.59055096004137,20.57142857142858,85.79254700111112,6.01548802
6587,19,3,2,3,1,0,0,0,2018,22.52390272372026,6.412806958,49.62639396669759,1.9353472796877818,66.59055096004137,19.328571428571433,212.5518639375,20.16662402
6588,19,5,0,3,1,0,0,0,2018,14.48905390009826,11.186336020401956,49.62647200341232,1.332708529,64.01888509170877,22.099948808424255,74.85728985493768,20.039054042609354
6589,19,1,0,3,1,0,0,0,2018,2.131023579,7.639232776,49.62647200341232,0.545908005,64.01888509170877,11.389550550141047,53.6381368995,17.59648279
6590,19,1,1,3,1,0,0,0,2018,6.56473694075589,4.040159709,49.62639396669759,0.7281443756396887,66.59055096004137,15.171428571428574,40.5281380605,10.59032395
6591,19,1,2,3,1,0,0,0,2018,6.56473694075589,13.83347897,49.62639396669759,0.7281443756396887,66.59055096004137,13.92857142857143,69.0073679205,24.00399188
6592,19,0,0,3,1,0,0,0,2019,8.339634634,4.785845428,53.43354971,0.791747335,41.90940731,17.625,60.50371796230769,13.6055685
6593,19,0,1,3,1,0,0,0,2019,13.371937433896749,1.236704561,49.62647200341232,0.9954161135345986,63.83005786319109,16.633333333333333,49.331801529230766,7.241531951
6594,19,0,2,3,1,0,0,0,2019,13.371937433896749,8.508145394,49.62647200341232,0.9954161135345986,63.83005786319109,14.866666666666667,93.04867698153846,19.84029842
6595,19,4,0,3,1,0,0,0,2019,1.991196814,2.139605413,49.62647200341232,0.573270049,63.83005786319109,10.9,71.24445360846154,3.681354802
6596,19,4,1,3,1,0,0,0,2019,6.715796306181048,2.806211582,49.62639396669759,0.9426082071809545,66.59055096004136,15.668104321824329,52.85050378999999,1.549744133
6597,19,4,2,3,1,0,0,0,2019,6.715796306181048,3.798010491,49.62639396669759,0.9426082071809545,66.59055096004136,14.425874631079985,109.66913313076925,5.889677447
6598,19,2,0,3,1,0,0,0,2019,10.93135111,15.11552133,49.62647200341232,2.491122278,63.83005786319109,26.5,90.77000588307692,39.69919683
6599,19,2,1,3,1,0,0,0,2019,25.01760282075219,8.142871385,49.62639396669759,2.4407751891531273,66.59055096004136,22.355763293557096,73.0976960975,26.80396397
6600,19,2,2,3,1,0,0,0,2019,25.01760282075219,25.95712766,49.62639396669759,2.4407751891531273,66.59055096004136,21.113533602812755,111.33785602153846,50.86737834
6601,19,3,0,3,1,0,0,0,2019,16.61402563,4.833488481,49.62647200341232,1.721912157,63.83005786319109,19.366666666666664,171.74851042923078,17.08995553
6602,19,3,1,3,1,0,0,0,2019,20.648401730595275,1.957571295,49.62639396669759,1.7262047154687614,66.59055096004136,18.58469207896098,85.71397874,8.336986694
6603,19,3,2,3,1,0,0,0,2019,20.648401730595275,7.618251373,49.62639396669759,1.7262047154687614,66.59055096004136,17.827328990281842,207.46828655384616,25.70320583
6604,19,5,0,3,1,0,0,0,2019,13.371937433896749,10.97211381416005,49.62647200341232,1.332708529,63.83005786319109,18.214264166811233,59.57352436298016,23.838627280952206
6605,19,1,0,3,1,0,0,0,2019,1.881664227,7.215390863,49.62647200341232,0.545908005,63.83005786319109,9.0,51.46176126615385,24.07397764
