,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Income-related | Unemployment,"Racial Segregation Indices | Racial Segregation, White and Non-White",Cancer | Lung Cancer Deaths,Active Transportation | Riding Bike to Work,Deaths | Deaths from All Causes,Sexually Transmitted Disease | New Gonorrhea Cases
0,20,0,0,2,1,0,0,0,2010,7.334555582,44.16342767,35.9764409,1.458997071,688.4098865,140.2
1,20,0,1,2,1,0,0,0,2010,8.736877130271091,44.444299956846756,27.7824158,0.39130247743608815,587.9776467,189.29972759017642
2,20,0,2,2,1,0,0,0,2010,8.736877130271091,44.444299956846756,47.84770899,0.39130247743608815,829.423526,189.29972759017642
3,20,4,0,2,1,0,0,0,2010,6.419018225,44.444299956846756,20.848974421199994,0.39130247743608815,392.403955,189.29972759017642
4,20,4,1,2,1,0,0,0,2010,6.411306137358092,44.44429271548086,21.161497781276346,0.39130056731251156,304.9997472,189.29986378325964
5,20,4,2,2,1,0,0,0,2010,6.411306137358092,44.44429271548086,35.37484971,0.39130056731251156,591.412447,189.29986378325964
6,20,2,0,2,1,0,0,0,2010,12.96263762,44.444299956846756,51.94070369,0.39130247743608815,910.4160578,189.29972759017642
7,20,2,1,2,1,0,0,0,2010,15.102536122457622,44.44429271548086,42.64307796,0.39130056731251156,762.6494237,189.29986378325964
8,20,2,2,2,1,0,0,0,2010,15.102536122457622,44.44429271548086,66.93026818,0.39130056731251156,1153.246434,189.29986378325964
9,20,3,0,2,1,0,0,0,2010,9.00269075,44.444299956846756,22.17212176,0.39130247743608815,656.1195646,189.29972759017642
10,20,3,1,2,1,0,0,0,2010,10.49533220354536,44.44429271548086,17.24144602,0.39130056731251156,534.7145243,189.29986378325964
11,20,3,2,2,1,0,0,0,2010,10.49533220354536,44.44429271548086,27.95463135,0.39130056731251156,871.7253644,189.29986378325964
12,20,5,0,2,1,0,0,0,2010,7.829457364,44.444299956846756,46.96217381856988,0.39130247743608815,766.6813037129124,189.29972759017642
13,20,1,0,2,1,0,0,0,2010,5.62352146,44.444299956846756,38.94136296,0.39130247743608815,694.3818927,189.29972759017642
14,20,1,1,2,1,0,0,0,2010,6.788959060631245,44.44429271548086,29.5733417,0.39130056731251156,599.2314014,189.29986378325964
15,20,1,2,2,1,0,0,0,2010,6.788959060631245,44.44429271548086,52.31478343,0.39130056731251156,821.344639,189.29986378325964
