,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Respiratory Infection | New Tuberculosis Cases,Income Inequality | Income Inequality,Transportation | Lack of Car,Race/Ethnicity | Minority Population,Cardiovascular Disease | Cardiovascular Disease Deaths,Population | Single-Parent Families,Crime Incidents | Homicides
0,20,0,0,2,1,0,0,0,2010,6.5,0.4876,7.104797372,51.36841684,188.9291091,10.98588611,3.955670262
1,20,0,1,2,1,0,0,0,2010,4.72858840521432,0.47945705523154775,7.70543813205185,48.22677696620177,153.5750842,13.714560024965074,2.598894685
2,20,0,2,2,1,0,0,0,2010,4.72858840521432,0.47945705523154775,7.70543813205185,48.22677696620177,237.9129081,13.714560024965074,5.251540797
3,20,4,0,2,1,0,0,0,2010,4.72858840521432,0.47945705523154775,7.70543813205185,48.22677696620177,102.7632712,12.787438930307692,3.7868627941229223
4,20,4,1,2,1,0,0,0,2010,4.72857991763003,0.47945709904054035,7.705433142102163,48.22678512739208,71.38923082,12.701974450509743,1.6813766124608605
5,20,4,2,2,1,0,0,0,2010,4.72857991763003,0.47945709904054035,7.705433142102163,48.22678512739208,161.099229,12.701974450509743,4.421689923621273
6,20,2,0,2,1,0,0,0,2010,4.72858840521432,0.47945705523154775,7.70543813205185,48.22677696620177,275.5111508,32.460537611153846,10.4743466
7,20,2,1,2,1,0,0,0,2010,4.72857991763003,0.47945709904054035,7.705433142102163,48.22678512739208,228.1356625,31.94025601877525,6.462583405
8,20,2,2,2,1,0,0,0,2010,4.72857991763003,0.47945709904054035,7.705433142102163,48.22678512739208,350.0364904,31.94025601877525,15.81001622
9,20,3,0,2,1,0,0,0,2010,4.72858840521432,0.47945705523154775,7.70543813205185,48.22677696620177,173.7642223,26.915283221153853,4.851729185
10,20,3,1,2,1,0,0,0,2010,4.72857991763003,0.47945709904054035,7.705433142102163,48.22678512739208,140.8506695,26.618596521004402,3.400617222
11,20,3,2,2,1,0,0,0,2010,4.72857991763003,0.47945709904054035,7.705433142102163,48.22678512739208,236.2237151,26.618596521004402,6.206742003
12,20,5,0,2,1,0,0,0,2010,4.72858840521432,0.47945705523154775,7.70543813205185,48.22677696620177,221.48662577001764,24.24078078769231,7.039079582904138
13,20,1,0,2,1,0,0,0,2010,4.72858840521432,0.47945705523154775,7.70543813205185,48.22677696620177,187.9392192,11.049314503807693,2.126556539
14,20,1,1,2,1,0,0,0,2010,4.72857991763003,0.47945709904054035,7.705433142102163,48.22678512739208,152.8290376,10.912305452705562,3.2693777843333334
15,20,1,2,2,1,0,0,0,2010,4.72857991763003,0.47945709904054035,7.705433142102163,48.22678512739208,234.3856937,10.912305452705562,2.38516509
16,20,0,0,2,1,0,0,0,2011,4.9,0.4876,7.104797372,51.36841684,190.5724099,10.98588611,3.528983476
17,20,0,1,2,1,0,0,0,2011,3.9714271349434043,0.47757142713494344,7.677213311878505,50.3550775377697,155.2753939,13.810548503196204,2.204353444
18,20,0,2,2,1,0,0,0,2011,3.9714271349434043,0.47757142713494344,7.677213311878505,50.3550775377697,239.0897256,13.810548503196204,4.784780043
19,20,4,0,2,1,0,0,0,2011,3.9714271349434043,0.47757142713494344,7.677213311878505,50.3550775377697,107.2708554,12.824636711578949,3.9154163394688846
20,20,4,1,2,1,0,0,0,2011,3.971427853123613,0.47757142785312356,7.677207676928654,50.355134335380484,81.46164776,12.336035809830939,2.510601863298893
21,20,4,2,2,1,0,0,0,2011,3.971427853123613,0.47757142785312356,7.677207676928654,50.355134335380484,174.4089107,12.336035809830939,4.104557112622916
22,20,2,0,2,1,0,0,0,2011,3.9714271349434043,0.47757142713494344,7.677213311878505,50.3550775377697,297.468536,32.439283165263156,10.08263217
23,20,2,1,2,1,0,0,0,2011,3.971427853123613,0.47757142785312356,7.677207676928654,50.355134335380484,248.7483327,32.51546331147323,6.977157591500001
24,20,2,2,2,1,0,0,0,2011,3.971427853123613,0.47757142785312356,7.677207676928654,50.355134335380484,370.9069928,32.51546331147323,15.99464802
25,20,3,0,2,1,0,0,0,2011,3.9714271349434043,0.47757142713494344,7.677213311878505,50.3550775377697,161.6767369,27.23191844210527,4.392607349
26,20,3,1,2,1,0,0,0,2011,3.971427853123613,0.47757142785312356,7.677207676928654,50.355134335380484,134.7492247,26.95155291342273,2.973284808
27,20,3,2,2,1,0,0,0,2011,3.971427853123613,0.47757142785312356,7.677207676928654,50.355134335380484,203.3140051,26.95155291342273,5.710748534
28,20,5,0,2,1,0,0,0,2011,3.9714271349434043,0.47757142713494344,7.677213311878505,50.3550775377697,220.96013103024572,24.053271385789476,7.235129104217461
29,20,1,0,2,1,0,0,0,2011,3.9714271349434043,0.47757142713494344,7.677213311878505,50.3550775377697,188.4665734,11.497807004473684,2.119379116
30,20,1,1,2,1,0,0,0,2011,3.971427853123613,0.47757142785312356,7.677207676928654,50.355134335380484,151.265635,10.89521314893402,1.588941298
31,20,1,2,2,1,0,0,0,2011,3.971427853123613,0.47757142785312356,7.677207676928654,50.355134335380484,238.2303727,10.89521314893402,2.626464997
32,20,0,0,2,1,0,0,0,2012,3.4,0.4876,7.104797372,51.36841684,181.977635,10.98588611,3.026070084
33,20,0,1,2,1,0,0,0,2012,3.514276834195587,0.47757142713494355,7.677213311878504,50.3550775377697,143.1146835,13.568102580734275,2.026344483
34,20,0,2,2,1,0,0,0,2012,3.514276834195587,0.47757142713494355,7.677213311878504,50.3550775377697,238.7645226,13.568102580734275,3.986555067
