,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Substance Use | Adult Smoking,Population | Children,Language and Nativity | Primarily Speak Spanish,Deaths | Injury Deaths,Respiratory Infection | COVID-19 Deaths,Deaths | Premature Death
0,20,0,0,2,1,0,0,0,2010,14.1,22.04468091,16.76636938223077,65.42352643,80.01742091194396,5094.792265
1,20,0,1,2,1,0,0,0,2010,19.314287803718685,25.146737340923067,16.846528280232484,44.11109397,59.32901616450047,3807.898474
2,20,0,2,2,1,0,0,0,2010,19.314287803718685,25.146737340923067,16.846528280232484,89.25090483,105.27165324908673,6377.25679
3,20,4,0,2,1,0,0,0,2010,19.314287803718685,25.146737340923067,16.846528280232484,27.99791817,111.71502507218054,2579.797021
4,20,4,1,2,1,0,0,0,2010,19.314286759092926,25.14673845893586,16.85311586421137,24.94562943146342,58.410064003928525,2025.151915
5,20,4,2,2,1,0,0,0,2010,19.314286759092926,25.14673845893586,16.85311586421137,54.60338236,135.98792950643838,3244.60378
6,20,2,0,2,1,0,0,0,2010,19.314287803718685,25.146737340923067,16.846528280232484,68.38893885,104.57996615833159,9309.636235
7,20,2,1,2,1,0,0,0,2010,19.314286759092926,25.14673845893586,16.85311586421137,36.72725256,86.85088095459886,7672.368289
8,20,2,2,2,1,0,0,0,2010,19.314286759092926,25.14673845893586,16.85311586421137,101.3662228,164.30757135451609,10945.54208
9,20,3,0,2,1,0,0,0,2010,19.314287803718685,25.146737340923067,16.846528280232484,53.16989102,143.29673902933234,4657.919234
10,20,3,1,2,1,0,0,0,2010,19.314286759092926,25.14673845893586,16.85311586421137,37.63764859,115.48668133580405,3312.773042
11,20,3,2,2,1,0,0,0,2010,19.314286759092926,25.14673845893586,16.85311586421137,68.63379166,218.37132355698117,6004.098064
12,20,5,0,2,1,0,0,0,2010,19.314287803718685,25.146737340923067,16.846528280232484,58.35110851737664,88.59088911912386,6474.52538950851
13,20,1,0,2,1,0,0,0,2010,19.314287803718685,25.146737340923067,16.846528280232484,74.40119336,54.20237870480774,4926.24818
14,20,1,1,2,1,0,0,0,2010,19.314286759092926,25.14673845893586,16.85311586421137,52.23603332,41.065053342163644,3729.416655
15,20,1,2,2,1,0,0,0,2010,19.314286759092926,25.14673845893586,16.85311586421137,99.13700974,67.67522900574299,6108.084778
16,20,0,0,2,1,0,0,0,2011,14.1,22.04468091,18.298769929789476,65.60496562,80.01903708298141,5095.44413
17,20,0,1,2,1,0,0,0,2011,19.042871638298383,25.696542407336562,18.963959271018908,42.29106567,59.33411212186379,3761.318821
18,20,0,2,2,1,0,0,0,2011,19.042871638298383,25.696542407336562,18.963959271018908,90.78605863,105.27307730248938,6421.457571
19,20,4,0,2,1,0,0,0,2011,19.042871638298383,25.696542407336562,18.963959271018908,26.13600564,111.72555129423112,2412.616192
20,20,4,1,2,1,0,0,0,2011,19.042864391207175,25.696556089622817,18.97575720024425,19.18078167,58.41585843232166,1968.819666
21,20,4,2,2,1,0,0,0,2011,19.042864391207175,25.696556089622817,18.97575720024425,42.90453666,136.02535394563282,2930.628153
22,20,2,0,2,1,0,0,0,2011,19.042871638298383,25.696542407336562,18.963959271018908,72.70191448,99.20914405813754,9639.976735
23,20,2,1,2,1,0,0,0,2011,19.042864391207175,25.696556089622817,18.97575720024425,34.2084847,86.84947977716567,7504.660627
24,20,2,2,2,1,0,0,0,2011,19.042864391207175,25.696556089622817,18.97575720024425,116.0018348,164.33177620673226,11846.24854
25,20,3,0,2,1,0,0,0,2011,19.042871638298383,25.696542407336562,18.963959271018908,49.60127567,155.84053228528268,4584.786725
26,20,3,1,2,1,0,0,0,2011,19.042864391207175,25.696556089622817,18.97575720024425,33.02443681,115.50177996954245,3267.514995
27,20,3,2,2,1,0,0,0,2011,19.042864391207175,25.696556089622817,18.97575720024425,65.57948855,211.09996918363288,5877.314008
28,20,5,0,2,1,0,0,0,2011,19.042871638298383,25.696542407336562,18.963959271018908,57.093412978140925,88.58447015561914,6309.705283249334
29,20,1,0,2,1,0,0,0,2011,19.042871638298383,25.696542407336562,18.963959271018908,75.88254205,54.20615958893395,5096.044359
30,20,1,1,2,1,0,0,0,2011,19.042864391207175,25.696556089622817,18.97575720024425,50.78774535,41.0727903053818,3818.693508
31,20,1,2,2,1,0,0,0,2011,19.042864391207175,25.696556089622817,18.97575720024425,102.819476,67.6806565875756,6347.941352
32,20,0,0,2,1,0,0,0,2012,14.1,22.04468091,17.896659471166668,68.20744624,80.02216718215567,4920.523665
33,20,0,1,2,1,0,0,0,2012,19.042871638298383,25.696542407336562,18.984411021596703,43.88291038,59.343981653964775,3665.71229
34,20,0,2,2,1,0,0,0,2012,19.042871638298383,25.696542407336562,18.984411021596703,95.37158105,105.27583532022167,6185.547362
35,20,4,0,2,1,0,0,0,2012,19.042871638298383,25.696542407336562,18.984411021596703,21.92220055,111.74593782398875,2499.317653
36,20,4,1,2,1,0,0,0,2012,19.04286439120718,25.696556089622817,18.986251344252196,27.066404167812497,58.42710716560277,2013.085946
37,20,4,2,2,1,0,0,0,2012,19.04286439120718,25.696556089622817,18.986251344252196,22.89458254,136.09796325583966,3048.157932
38,20,2,0,2,1,0,0,0,2012,19.042871638298383,25.696542407336562,18.984411021596703,79.9346306,99.24454983106772,9384.397512
39,20,2,1,2,1,0,0,0,2012,19.04286439120718,25.696556089622817,18.986251344252196,38.45043961,86.84676606418299,7264.682898
