,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Diabetes Deaths,Deaths | Premature Death,Lead Poisoning | Housing Lead Risk,Language and Nativity | Foreign Born Population,Respiratory Infection | New Tuberculosis Cases,Substance Use | Drug Overdose Deaths,"Health Insurance | Uninsured, Child"
0,20,0,0,2,1,0,0,0,2010,17.18095968,5094.792265,6.288232493,19.08120494,6.5,14.8143794,7.895750957961539
1,20,0,1,2,1,0,0,0,2010,16.74117481,3807.898474,12.870790865182224,13.89250289231419,4.72858840521432,12.11040148,7.967611616606469
2,20,0,2,2,1,0,0,0,2010,17.84771037,6377.25679,12.870790865182224,13.89250289231419,4.72858840521432,17.45165182,7.967611616606469
3,20,4,0,2,1,0,0,0,2010,21.78988291746154,2579.797021,12.870790865182224,13.89250289231419,4.72858840521432,4.240957821002713,8.95623831653846
4,20,4,1,2,1,0,0,0,2010,16.565899143456022,2025.151915,12.870774058836473,13.892499447813394,4.72857991763003,3.069677197432652,8.986739464252896
5,20,4,2,2,1,0,0,0,2010,22.0430877035524,3244.60378,12.870774058836473,13.892499447813394,4.72857991763003,6.079140951644814,8.986739464252896
6,20,2,0,2,1,0,0,0,2010,36.59403803,9309.636235,12.870790865182224,13.89250289231419,4.72858840521432,23.6023676,6.886536071730769
7,20,2,1,2,1,0,0,0,2010,44.61118082,7672.368289,12.870774058836473,13.892499447813394,4.72857991763003,10.478043816000001,6.992407601204912
8,20,2,2,2,1,0,0,0,2010,25.54371488,10945.54208,12.870774058836473,13.892499447813394,4.72857991763003,33.41172603,6.992407601204912
9,20,3,0,2,1,0,0,0,2010,25.88104985,4657.919234,12.870790865182224,13.89250289231419,4.72858840521432,7.564694252,12.543842613923077
10,20,3,1,2,1,0,0,0,2010,29.04607198,3312.773042,12.870774058836473,13.892499447813394,4.72857991763003,6.193495205,12.539735456154837
11,20,3,2,2,1,0,0,0,2010,19.98190816,6004.098064,12.870774058836473,13.892499447813394,4.72857991763003,8.806397742,12.539735456154837
12,20,5,0,2,1,0,0,0,2010,21.028029402638342,6474.52538950851,12.870790865182224,13.89250289231419,4.72858840521432,13.241691929966322,9.191704795769231
13,20,1,0,2,1,0,0,0,2010,13.31094517,4926.24818,12.870790865182224,13.89250289231419,4.72858840521432,19.10024526,4.474023996423077
14,20,1,1,2,1,0,0,0,2010,10.41500023,3729.416655,12.870774058836473,13.892499447813394,4.72857991763003,16.27051623,4.541846221736491
15,20,1,2,2,1,0,0,0,2010,17.0216383,6108.084778,12.870774058836473,13.892499447813394,4.72857991763003,21.94356713,4.541846221736491
16,20,0,0,2,1,0,0,0,2011,17.468989,5095.44413,6.288232493,19.08120494,4.9,15.11811444,8.116488768052632
17,20,0,1,2,1,0,0,0,2011,17.10964739,3761.318821,12.608009970771478,14.712555109010411,3.9714271349434043,11.30281136,8.315444006124835
18,20,0,2,2,1,0,0,0,2011,18.00033042,6421.457571,12.608009970771478,14.712555109010411,3.9714271349434043,18.85154215,8.315444006124835
19,20,4,0,2,1,0,0,0,2011,27.289858809210532,2412.616192,12.608009970771478,14.712555109010411,3.9714271349434043,4.781708645950277,9.065831391789475
20,20,4,1,2,1,0,0,0,2011,17.42169353337558,1968.819666,12.607987159295506,14.712570404533915,3.971427853123613,3.4627709394265134,9.155757758281032
21,20,4,2,2,1,0,0,0,2011,24.74008718416725,2930.628153,12.607987159295506,14.712570404533915,3.971427853123613,6.081405231243302,9.155757758281032
22,20,2,0,2,1,0,0,0,2011,31.67257995,9639.976735,12.608009970771478,14.712555109010411,3.9714271349434043,24.5217964,6.840456273368422
23,20,2,1,2,1,0,0,0,2011,34.04193559,7504.660627,12.607987159295506,14.712570404533915,3.971427853123613,12.82382763,6.609221716981789
24,20,2,2,2,1,0,0,0,2011,31.58976388,11846.24854,12.607987159295506,14.712570404533915,3.971427853123613,37.65543617,6.609221716981789
25,20,3,0,2,1,0,0,0,2011,28.96732681,4584.786725,12.608009970771478,14.712555109010411,3.9714271349434043,7.376021926,12.755508612315788
26,20,3,1,2,1,0,0,0,2011,31.99123952,3267.514995,12.607987159295506,14.712570404533915,3.971427853123613,5.675901623,12.821432784792075
27,20,3,2,2,1,0,0,0,2011,24.32550821,5877.314008,12.607987159295506,14.712570404533915,3.971427853123613,8.963606385,12.821432784792075
28,20,5,0,2,1,0,0,0,2011,22.345505460527285,6309.705283249334,12.608009970771478,14.712555109010411,3.9714271349434043,12.917894783046899,9.578079110052633
29,20,1,0,2,1,0,0,0,2011,13.29326828,5096.044359,12.608009970771478,14.712555109010411,3.9714271349434043,19.57379054,4.097192499736843
30,20,1,1,2,1,0,0,0,2011,11.25096289,3818.693508,12.607987159295506,14.712570404533915,3.971427853123613,15.118546,4.312445883742076
31,20,1,2,2,1,0,0,0,2011,15.62922347,6347.941352,12.607987159295506,14.712570404533915,3.971427853123613,23.88386943,4.312445883742076
32,20,0,0,2,1,0,0,0,2012,17.29958833,4920.523665,6.288232493,19.08120494,3.4,15.69225375,7.796707697916667
33,20,0,1,2,1,0,0,0,2012,16.07575197,3665.71229,12.608009970771478,14.712555109010411,3.514276834195587,11.16146548,7.980023127234229
34,20,0,2,2,1,0,0,0,2012,18.4084847,6185.547362,12.608009970771478,14.712555109010411,3.514276834195587,20.02693682,7.980023127234229
