,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Crime Incidents | Violent Crime,Births | Low Birthweight,Cancer | All Cancer Deaths,Deaths | Deaths from All Causes,Respiratory Infection | COVID-19 Deaths,Population | Children,"Health Insurance | Uninsured, All Ages"
0,20,0,0,2,1,0,0,0,2010,475.9452977,7.836413514,155.0121655,688.4098865,80.01742091194396,22.04468091,15.008394795230773
1,20,0,1,2,1,0,0,0,2010,601.9909806855785,8.98646778540736,133.000095,587.9776467,59.32901616450047,25.146737340923067,15.117179320115271
2,20,0,2,2,1,0,0,0,2010,601.9909806855785,8.98646778540736,189.7602695,829.423526,105.27165324908673,25.146737340923067,15.117179320115271
3,20,4,0,2,1,0,0,0,2010,601.9909806855785,8.785405665,110.2149045,392.403955,111.71502507218054,25.146737340923067,13.407891053076924
4,20,4,1,2,1,0,0,0,2010,601.9902150378579,8.700316591822752,79.0767511,304.9997472,58.410064003928525,25.14673845893586,13.460956958066053
5,20,4,2,2,1,0,0,0,2010,601.9902150378579,8.700316591822752,158.0413096,591.412447,135.98792950643838,25.14673845893586,13.460956958066053
6,20,2,0,2,1,0,0,0,2010,601.9909806855785,14.07894737,231.6289111,910.4160578,104.57996615833159,25.146737340923067,15.024385682846155
7,20,2,1,2,1,0,0,0,2010,601.9902150378579,14.151967421022805,193.8349607,762.6494237,86.85088095459886,25.14673845893586,15.110070922403107
8,20,2,2,2,1,0,0,0,2010,601.9902150378579,14.151967421022805,305.9965893,1153.246434,164.30757135451609,25.14673845893586,15.110070922403107
9,20,3,0,2,1,0,0,0,2010,601.9909806855785,7.56941213,134.2368221,656.1195646,143.29673902933234,25.146737340923067,31.225739624615382
10,20,3,1,2,1,0,0,0,2010,601.9902150378579,6.7695225516814865,103.7544578,534.7145243,115.48668133580405,25.14673845893586,31.45326051871323
11,20,3,2,2,1,0,0,0,2010,601.9902150378579,6.7695225516814865,184.4562198,871.7253644,218.37132355698117,25.14673845893586,31.45326051871323
12,20,5,0,2,1,0,0,0,2010,601.9909806855785,8.98646778540736,171.20437322800325,766.6813037129124,88.59088911912386,25.146737340923067,21.565810815384612
13,20,1,0,2,1,0,0,0,2010,601.9909806855785,6.654777548,155.2409969,694.3818927,54.20237870480774,25.146737340923067,8.62340957976923
14,20,1,1,2,1,0,0,0,2010,601.9902150378579,7.398634198824065,136.9851695,599.2314014,41.065053342163644,25.14673845893586,8.705605812658819
15,20,1,2,2,1,0,0,0,2010,601.9902150378579,7.398634198824065,184.7959735,821.344639,67.67522900574299,25.14673845893586,8.705605812658819
16,20,0,0,2,1,0,0,0,2011,430.099799,7.858909405,153.5496807,699.6835869,80.01903708298141,22.04468091,15.068239805631578
17,20,0,1,2,1,0,0,0,2011,616.2975677411135,8.898357457150912,135.3534076,602.0807624,59.33411212186379,25.696542407336562,15.274885480444507
18,20,0,2,2,1,0,0,0,2011,616.2975677411135,8.898357457150912,181.3610221,829.6485983,105.27307730248938,25.696542407336562,15.274885480444507
19,20,4,0,2,1,0,0,0,2011,616.2975677411135,9.057639524,109.6965121,428.0523093,111.72555129423112,25.696542407336562,13.518903601842105
20,20,4,1,2,1,0,0,0,2011,616.2973650667305,8.750333293268321,93.73147479,369.4268738,58.41585843232166,25.696556089622817,13.647904796035123
21,20,4,2,2,1,0,0,0,2011,616.2973650667305,8.750333293268321,137.2376536,587.0556116,136.02535394563282,25.696556089622817,13.647904796035123
22,20,2,0,2,1,0,0,0,2011,616.2975677411135,14.21554464,222.5820501,934.5903642,99.20914405813754,25.696542407336562,14.987091817526318
23,20,2,1,2,1,0,0,0,2011,616.2973650667305,14.066834313369442,189.2204277,781.6096055,86.84947977716567,25.696556089622817,14.61836948088008
24,20,2,2,2,1,0,0,0,2011,616.2973650667305,14.066834313369442,287.608977,1169.305635,164.33177620673226,25.696556089622817,14.61836948088008
25,20,3,0,2,1,0,0,0,2011,616.2975677411135,7.353865493,132.7441737,633.4655996,155.84053228528268,25.696542407336562,30.49159171052632
26,20,3,1,2,1,0,0,0,2011,616.2973650667305,6.748523225930583,114.6343744,541.4525058,115.50177996954245,25.696556089622817,30.627638708290323
27,20,3,2,2,1,0,0,0,2011,616.2973650667305,6.748523225930583,161.6403498,761.5322893,211.09996918363288,25.696556089622817,30.627638708290323
28,20,5,0,2,1,0,0,0,2011,616.2975677411135,8.898357457150912,169.80758211495603,768.4999661115089,88.58447015561914,25.696542407336562,21.46529350157895
29,20,1,0,2,1,0,0,0,2011,616.2975677411135,6.872830937,154.7615585,710.1527407,54.20615958893395,25.696542407336562,8.238521755789474
30,20,1,1,2,1,0,0,0,2011,616.2973650667305,7.3188013830704035,138.0355787,612.0382078,41.0727903053818,25.696556089622817,8.333882896332613
31,20,1,2,2,1,0,0,0,2011,616.2973650667305,7.3188013830704035,180.1716958,837.9315666,67.6806565875756,25.696556089622817,8.333882896332613
32,20,0,0,2,1,0,0,0,2012,408.8120917,7.89372167,147.1244425,684.6948663,80.02216718215567,22.04468091,14.858460544833333
33,20,0,1,2,1,0,0,0,2012,618.5948324532952,8.839158591978338,125.9314883,577.6089002,59.343981653964775,25.696542407336562,15.135968186126245
34,20,0,2,2,1,0,0,0,2012,618.5948324532952,8.839158591978338,179.5597819,831.5252262,105.27583532022167,25.696542407336562,15.135968186126245
