,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Life Expectancy at Birth | Life Expectancy,Births | Preterm Births,"Housing | Homeless, Children",Diabetes and Obesity | Diabetes Deaths,Housing | Renters vs. Owners,Deaths | Racial Disparity in Police Killings
5636,17,4,1,3,1,0,0,0,2011,87.2310095275,8.68263246450814,13.27704029066683,32.36121158,0.9385183133306749,2.6447088976726127
5637,17,4,2,3,1,0,0,0,2011,82.13424168750001,8.68263246450814,13.27704029066683,30.76619809,0.9385183133306749,2.6447088976726127
5638,17,2,0,3,1,0,0,0,2011,72.49682795,10.584934880559134,13.27727514310298,67.28431111,2.377114662,3.554254188427157
5639,17,2,1,3,1,0,0,0,2011,76.71726126249999,10.593890644618746,13.27704029066683,37.22793098333333,2.0543054686551487,2.6447088976726127
5640,17,2,2,3,1,0,0,0,2011,69.1467003,10.593890644618746,13.27704029066683,82.49482186,2.0543054686551487,2.6447088976726127
5641,17,3,0,3,1,0,0,0,2011,82.4283324525,8.907507641109284,13.27727514310298,48.47621991,2.199190456,3.554254188427157
5642,17,3,1,3,1,0,0,0,2011,84.09648083666667,8.908626624695339,13.27704029066683,32.79195794666666,1.8199853557488819,2.6447088976726127
5643,17,3,2,3,1,0,0,0,2011,79.24167819999998,8.908626624695339,13.27704029066683,72.16443923,1.8199853557488819,2.6447088976726127
5644,17,5,0,3,1,0,0,0,2011,79.5650360575073,8.824984223549052,13.27727514310298,22.531028494214866,2.808463252,3.554254188427157
5645,17,1,0,3,1,0,0,0,2011,77.17583579,7.6995220239607045,13.27727514310298,25.38376687,0.740114395,3.554254188427157
5646,17,1,1,3,1,0,0,0,2011,79.68660683,7.6974171699565535,13.27704029066683,17.94184815,0.7310190460013432,2.6447088976726127
5647,17,1,2,3,1,0,0,0,2011,74.62607869,7.6974171699565535,13.27704029066683,35.14726497,0.7310190460013432,2.6447088976726127
5648,17,0,0,3,1,0,0,0,2012,77.0135896,8.54797734345173,12.984682198153846,29.61088742,0.857935221,5.520490492
5649,17,0,1,3,1,0,0,0,2012,79.48084773,8.545160808347838,12.922045238574608,22.06542519,0.9635784573384629,3.554254188427157
5650,17,0,2,3,1,0,0,0,2012,74.46373962,8.545160808347838,12.922045238574608,40.24066552,0.9635784573384629,3.554254188427157
5651,17,4,0,3,1,0,0,0,2012,80.75328227,8.691797937632574,12.922045238574608,28.97910619,0.681233309,3.554254188427157
5652,17,4,1,3,1,0,0,0,2012,87.63474921,8.683838841698831,12.916897634981034,20.91479823,0.9385183133306748,3.554264919446808
5653,17,4,2,3,1,0,0,0,2012,82.52221531750001,8.683838841698831,12.916897634981034,42.04645732,0.9385183133306748,3.554264919446808
5654,17,2,0,3,1,0,0,0,2012,72.14243692,10.558154653353057,12.922045238574608,62.05302759,2.377114662,3.554254188427157
5655,17,2,1,3,1,0,0,0,2012,76.668309545,10.589187004755933,12.916897634981034,49.1965213,2.054305468655149,3.554264919446808
5656,17,2,2,3,1,0,0,0,2012,68.0582675,10.589187004755933,12.916897634981034,77.70000256,2.054305468655149,3.554264919446808
5657,17,3,0,3,1,0,0,0,2012,83.114778875,8.90416156873902,12.922045238574608,41.72203623,2.199190456,3.554254188427157
5658,17,3,1,3,1,0,0,0,2012,85.3224729,8.908038925447551,12.916897634981034,26.0271924475,1.8199853557488819,3.554264919446808
5659,17,3,2,3,1,0,0,0,2012,79.55598996,8.908038925447551,12.916897634981034,55.4942796,1.8199853557488819,3.554264919446808
5660,17,5,0,3,1,0,0,0,2012,79.60483863890018,8.822105163511374,12.922045238574608,23.288981156613133,2.808463252,3.554254188427157
5661,17,1,0,3,1,0,0,0,2012,76.62777803,7.881750455211642,12.922045238574608,27.68522424,0.740114395,3.554254188427157
5662,17,1,1,3,1,0,0,0,2012,78.92733202,7.889497512714673,12.916897634981034,20.00437819,0.7061415712481662,3.554264919446808
5663,17,1,2,3,1,0,0,0,2012,74.26256935,7.889497512714673,12.916897634981034,22.334157538,0.7061415712481662,3.554264919446808
5664,17,0,0,3,1,0,0,0,2013,76.82905084,8.580047427518519,13.011944470473685,28.38018611,0.870910616,5.520490492
5665,17,0,1,3,1,0,0,0,2013,78.98770347,8.579836829669343,12.914231083729787,22.51423253,1.0036413315572879,3.554254188427157
5666,17,0,2,3,1,0,0,0,2013,74.60657889,8.579836829669343,12.914231083729787,36.1497627,1.0036413315572879,3.554254188427157
