,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cancer | Prostate Cancer Deaths,Housing | Vacant Housing Units,Mental Health | Teen Mental Distress,"Racial Segregation Indices | Racial Segregation, White and Asian",Sexually Transmitted Disease | New Chlamydia Cases
0,20,0,0,2,1,0,0,0,2010,20.3938153,8.145933655,29.45,40.61898946,565.9
1,20,0,1,2,1,0,0,0,2010,23.117494982,10.0915651186,33.76330709623716,44.388664062,525.92
2,20,0,2,2,1,0,0,0,2010,23.117494982,10.0915651186,20.594784079721496,44.388664062,525.92
3,20,4,0,2,1,0,0,0,2010,11.691736791424628,10.0915651186,23.120835191004907,44.388664062,525.92
4,20,4,1,2,1,0,0,0,2010,12.204764595244955,10.0915651186,29.722327212943096,44.388664062,525.92
5,20,4,2,2,1,0,0,0,2010,12.204764595244955,10.0915651186,19.609352723464763,44.388664062,525.92
6,20,2,0,2,1,0,0,0,2010,37.68812958,10.0915651186,28.873342321856075,44.388664062,525.92
7,20,2,1,2,1,0,0,0,2010,49.917419774,10.0915651186,32.6593884014365,44.388664062,525.92
8,20,2,2,2,1,0,0,0,2010,49.917419774,10.0915651186,26.16322438091158,44.388664062,525.92
9,20,3,0,2,1,0,0,0,2010,28.0957801,10.0915651186,32.89308680193338,44.388664062,525.92
10,20,3,1,2,1,0,0,0,2010,20.401530356537695,10.0915651186,34.37902845415549,44.388664062,525.92
11,20,3,2,2,1,0,0,0,2010,20.401530356537695,10.0915651186,27.882864433630566,44.388664062,525.92
12,20,5,0,2,1,0,0,0,2010,23.117494982,10.0915651186,29.36014431566556,44.388664062,525.92
13,20,1,0,2,1,0,0,0,2010,18.27991542,10.0915651186,22.73854747552025,44.388664062,525.92
14,20,1,1,2,1,0,0,0,2010,19.495268582,10.0915651186,28.467468408999192,44.388664062,525.92
15,20,1,2,2,1,0,0,0,2010,19.495268582,10.0915651186,21.971304388474277,44.388664062,525.92
16,20,0,0,2,1,0,0,0,2011,19.21178866,8.145933655,29.45,40.61898946,594.2
17,20,0,1,2,1,0,0,0,2011,22.356669174,10.0915651186,36.6,44.388664062,603.58
18,20,0,2,2,1,0,0,0,2011,22.356669174,10.0915651186,22.6,44.388664062,603.58
19,20,4,0,2,1,0,0,0,2011,10.8778613466642,10.0915651186,23.13504259388651,44.388664062,603.58
20,20,4,1,2,1,0,0,0,2011,10.877837091784649,10.0915651186,32.41712727479854,44.388664062,603.58
21,20,4,2,2,1,0,0,0,2011,10.877837091784649,10.0915651186,19.974287504581707,44.388664062,603.58
22,20,2,0,2,1,0,0,0,2011,37.42815559,10.0915651186,33.2,44.388664062,603.58
23,20,2,1,2,1,0,0,0,2011,48.763632786,10.0915651186,32.78237781075699,44.388664062,603.58
24,20,2,2,2,1,0,0,0,2011,48.763632786,10.0915651186,26.961207574614683,44.388664062,603.58
