,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Deaths | Police Killings,Income | Poverty in All Ages,Oral Health | Dental Care,"Respiratory Infection | COVID-19 Vaccination, Adults",Substance Use | Teen Alcohol
0,20,0,0,2,1,0,0,0,2010,0.695747522,19.39894657,62.4,71.18,31.1
1,20,0,1,2,1,0,0,0,2010,0.6952469152,17.969199204,59.08,71.17999999999999,31.972289258537575
2,20,0,2,2,1,0,0,0,2010,0.6952469152,17.969199204,59.08,71.17999999999999,31.675962748535955
3,20,4,0,2,1,0,0,0,2010,0.6952469152,16.84774675,59.08,71.17999999999999,16.27304255452931
4,20,4,1,2,1,0,0,0,2010,0.6952469151999999,13.555097283999999,59.07999999999999,71.17999999999999,29.512374944643383
5,20,4,2,2,1,0,0,0,2010,0.6952469151999999,13.555097283999999,59.07999999999999,71.17999999999999,28.15114912172113
6,20,2,0,2,1,0,0,0,2010,4.656013707,27.08774905,59.08,71.17999999999999,25.53811554875765
7,20,2,1,2,1,0,0,0,2010,2.3614532733999996,28.270205574,59.07999999999999,71.17999999999999,28.669625207598006
8,20,2,2,2,1,0,0,0,2010,2.3614532733999996,28.270205574,59.07999999999999,71.17999999999999,30.520457252928413
9,20,3,0,2,1,0,0,0,2010,0.356257811,29.58054448,59.08,71.17999999999999,37.85898437279913
10,20,3,1,2,1,0,0,0,2010,0.5388757277596526,28.409115072,59.07999999999999,71.17999999999999,33.55028979528005
11,20,3,2,2,1,0,0,0,2010,0.5388757277596526,28.409115072,59.07999999999999,71.17999999999999,32.95970559369467
12,20,5,0,2,1,0,0,0,2010,0.6952469152,28.60142797,59.08,71.17999999999999,31.699037895562917
13,20,1,0,2,1,0,0,0,2010,0.486660277,11.1761529,59.08,71.17999999999999,36.98847196145936
14,20,1,1,2,1,0,0,0,2010,0.5331077572,9.8183038124,59.07999999999999,71.17999999999999,35.788535257791345
15,20,1,2,2,1,0,0,0,2010,0.5331077572,9.8183038124,59.07999999999999,71.17999999999999,35.19795105620596
16,20,0,0,2,1,0,0,0,2011,0.695747522,19.39894657,62.4,71.18,31.1
17,20,0,1,2,1,0,0,0,2011,0.6952469152,17.969199204,59.08,71.18,33.1
18,20,0,2,2,1,0,0,0,2011,0.6952469152,17.969199204,59.08,71.18,35.0
19,20,4,0,2,1,0,0,0,2011,0.6952469152,16.84774675,59.08,71.18,16.268271431615435
20,20,4,1,2,1,0,0,0,2011,0.6952469151999999,13.555097284000002,59.07999999999999,71.17999999999998,28.869236732414933
21,20,4,2,2,1,0,0,0,2011,0.6952469151999999,13.555097284000002,59.07999999999999,71.17999999999998,27.409323718927443
22,20,2,0,2,1,0,0,0,2011,4.656013707,27.08774905,59.08,71.18,29.5
23,20,2,1,2,1,0,0,0,2011,2.3614532733999996,28.270205574,59.07999999999999,71.17999999999998,31.18955184722647
24,20,2,2,2,1,0,0,0,2011,2.3614532733999996,28.270205574,59.07999999999999,71.17999999999998,30.52657148815624
25,20,3,0,2,1,0,0,0,2011,0.356257811,29.58054448,59.08,71.18,40.8
26,20,3,1,2,1,0,0,0,2011,0.5388037179069165,28.409115072,59.07999999999999,71.17999999999998,33.38852062391079
27,20,3,2,2,1,0,0,0,2011,0.5388037179069165,28.409115072,59.07999999999999,71.17999999999998,32.95503018166746
28,20,5,0,2,1,0,0,0,2011,0.6952469152,28.60142797,59.08,71.18,30.50001535764119
29,20,1,0,2,1,0,0,0,2011,0.486660277,11.1761529,59.08,71.18,38.6
30,20,1,1,2,1,0,0,0,2011,0.5331077572,9.8183038124,59.07999999999999,71.17999999999998,35.87932063653552
31,20,1,2,2,1,0,0,0,2011,0.5331077572,9.8183038124,59.07999999999999,71.17999999999998,35.216340277465285
32,20,0,0,2,1,0,0,0,2012,0.695747522,19.39894657,62.4,71.18000000000002,31.1
33,20,0,1,2,1,0,0,0,2012,0.6952469152,17.969199204,59.08,71.17999999999999,32.92945067058904
34,20,0,2,2,1,0,0,0,2012,0.6952469152,17.969199204,59.08,71.17999999999999,32.39430001838612
35,20,4,0,2,1,0,0,0,2012,0.6952469152,16.84774675,59.08,71.17999999999999,15.091227604445171
36,20,4,1,2,1,0,0,0,2012,0.6952469151999999,13.555097283999999,59.07999999999999,71.17999999999999,29.61979726179264
37,20,4,2,2,1,0,0,0,2012,0.6952469151999999,13.555097283999999,59.07999999999999,71.17999999999999,28.44646590595666
38,20,2,0,2,1,0,0,0,2012,4.656013707,27.08774905,59.08,71.17999999999999,26.729657358093316
39,20,2,1,2,1,0,0,0,2012,2.3614532734,28.270205574,59.07999999999999,71.17999999999999,29.720190936845
40,20,2,2,2,1,0,0,0,2012,2.3614532734,28.270205574,59.07999999999999,71.17999999999999,30.181556794337457
41,20,3,0,2,1,0,0,0,2012,0.356257811,29.58054448,59.08,71.17999999999999,34.36763388756101
42,20,3,1,2,1,0,0,0,2012,0.5388037179069165,28.409115072,59.07999999999999,71.17999999999999,33.352589642973946
43,20,3,2,2,1,0,0,0,2012,0.5388037179069165,28.409115072,59.07999999999999,71.17999999999999,33.8139555004664
44,20,5,0,2,1,0,0,0,2012,0.6952469152,28.60142797,59.08,71.17999999999999,30.50001535764119
45,20,1,0,2,1,0,0,0,2012,0.486660277,11.1761529,59.08,71.17999999999999,38.2796470237181
46,20,1,1,2,1,0,0,0,2012,0.5331077572,9.8183038124,59.07999999999999,71.17999999999999,35.836390289909474
