,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Diabetes,Income-related | Excessive Housing Cost,Physical Activity | Teen Computer Time,"Respiratory Infection | Flu Vaccinations, Medicare",Substance Use | Teen Smoking
0,20,0,0,2,1,0,0,0,2010,7.7,25.19174685,38.2,50.0,11.6
1,20,0,1,2,1,0,0,0,2010,10.14,25.191746849999998,31.87142444468945,50.4,9.448544206551766
2,20,0,2,2,1,0,0,0,2010,10.14,25.191746849999998,36.002087046450775,50.4,12.373343732757114
3,20,4,0,2,1,0,0,0,2010,10.14,25.191746849999998,44.60986071450341,44.2,6.469529357944511
4,20,4,1,2,1,0,0,0,2010,10.139999999999999,25.191746849999994,34.473021590236044,44.199999999999996,8.243562609862371
5,20,4,2,2,1,0,0,0,2010,10.139999999999999,25.191746849999994,39.117746686616,44.199999999999996,10.32226317067975
6,20,2,0,2,1,0,0,0,2010,10.14,25.191746849999998,35.47550575142192,33.0,8.532110535739625
7,20,2,1,2,1,0,0,0,2010,10.139999999999999,25.191746849999994,35.5941037940529,33.0,8.551811894300853
8,20,2,2,2,1,0,0,0,2010,10.139999999999999,25.191746849999994,36.164355911026725,33.0,10.069227487545975
9,20,3,0,2,1,0,0,0,2010,10.14,25.191746849999998,37.30485972305157,36.8,14.298531031905183
10,20,3,1,2,1,0,0,0,2010,10.139999999999999,25.191746849999994,35.871717198741756,36.8,12.463544111528057
11,20,3,2,2,1,0,0,0,2010,10.139999999999999,25.191746849999994,36.44196931571559,36.8,13.98095970477318
12,20,5,0,2,1,0,0,0,2010,10.14,25.191746849999998,39.13849270304857,50.4,11.080833823845474
13,20,1,0,2,1,0,0,0,2010,10.14,25.191746849999998,27.517812194799443,53.6,13.128909597887011
14,20,1,1,2,1,0,0,0,2010,10.139999999999999,25.191746849999994,30.268740661575205,53.599999999999994,11.514553895834934
15,20,1,2,2,1,0,0,0,2010,10.139999999999999,25.191746849999994,30.838992778549034,53.599999999999994,13.031969489080057
16,20,0,0,2,1,0,0,0,2011,7.7,25.19174685,38.2,50.0,11.6
17,20,0,1,2,1,0,0,0,2011,10.14,25.191746849999998,32.0,50.4,11.5
18,20,0,2,2,1,0,0,0,2011,10.14,25.191746849999998,35.0,50.4,16.2
19,20,4,0,2,1,0,0,0,2011,10.14,25.191746849999998,44.59712174047838,44.2,6.6551013467455675
20,20,4,1,2,1,0,0,0,2011,10.14,25.191746849999998,36.0916835837497,44.2,8.530916317188066
21,20,4,2,2,1,0,0,0,2011,10.14,25.191746849999998,38.313553118875696,44.2,11.117956005744563
22,20,2,0,2,1,0,0,0,2011,10.14,25.191746849999998,36.1,33.0,11.0
23,20,2,1,2,1,0,0,0,2011,10.14,25.191746849999998,39.73919230931015,33.0,8.376339104269613
24,20,2,2,2,1,0,0,0,2011,10.14,25.191746849999998,39.42627100878231,33.0,9.893152488718059
25,20,3,0,2,1,0,0,0,2011,10.14,25.191746849999998,40.4,36.8,17.7
26,20,3,1,2,1,0,0,0,2011,10.14,25.191746849999998,39.45431288608802,36.800000000000004,12.449517371525465
27,20,3,2,2,1,0,0,0,2011,10.14,25.191746849999998,39.944606294454346,36.800000000000004,13.96633075597391
28,20,5,0,2,1,0,0,0,2011,10.14,25.191746849999998,39.13997593969546,50.4,11.080013309955698
29,20,1,0,2,1,0,0,0,2011,10.14,25.191746849999998,27.0,53.6,17.0
30,20,1,1,2,1,0,0,0,2011,10.14,25.191746849999998,34.54059061701042,53.60000000000001,11.505699951134675
