,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Adult Obesity,Income | Poverty in Children,Physical Activity | Adult Physical Inactivity,"Respiratory Infection | COVID-19 Vaccination, Seniors",Substance Use | Teen Marijuana
0,20,0,0,2,1,0,0,0,2010,25.3,27.23602876,20.3,86.40000000000002,23.35
1,20,0,1,2,1,0,0,0,2010,30.46,25.974396036,24.799999999999997,86.4,22.486487165614257
2,20,0,2,2,1,0,0,0,2010,30.46,25.974396036,24.799999999999997,86.4,27.591575624383264
3,20,4,0,2,1,0,0,0,2010,30.46,7.837837838,24.799999999999997,86.4,10.818445437307767
4,20,4,1,2,1,0,0,0,2010,30.459999999999994,13.670753997599999,24.8,86.39999999999999,19.343499634405113
5,20,4,2,2,1,0,0,0,2010,30.459999999999994,13.670753997599999,24.8,86.39999999999999,22.67070386070184
6,20,2,0,2,1,0,0,0,2010,30.46,40.98975703,24.799999999999997,86.4,27.186088999136466
7,20,2,1,2,1,0,0,0,2010,30.459999999999994,40.17435061799999,24.8,86.39999999999999,26.46941030323906
8,20,2,2,2,1,0,0,0,2010,30.459999999999994,40.17435061799999,24.8,86.39999999999999,29.800865009214082
9,20,3,0,2,1,0,0,0,2010,30.46,40.71502173,24.799999999999997,86.4,28.571198784768573
10,20,3,1,2,1,0,0,0,2010,30.459999999999994,37.70526595,24.8,86.39999999999999,25.64853071673327
11,20,3,2,2,1,0,0,0,2010,30.459999999999994,37.70526595,24.8,86.39999999999999,28.979985422708292
12,20,5,0,2,1,0,0,0,2010,30.46,43.02884615,24.799999999999997,86.4,24.19863701871413
13,20,1,0,2,1,0,0,0,2010,30.46,5.808207008,24.799999999999997,86.4,23.42070986995444
14,20,1,1,2,1,0,0,0,2010,30.459999999999994,9.5320642842,24.8,86.39999999999999,23.668307999437328
15,20,1,2,2,1,0,0,0,2010,30.459999999999994,9.5320642842,24.8,86.39999999999999,26.99976270541235
16,20,0,0,2,1,0,0,0,2011,25.3,27.23602876,20.3,86.4,23.35
17,20,0,1,2,1,0,0,0,2011,30.46,25.974396036,24.799999999999997,86.39999999999999,24.0
18,20,0,2,2,1,0,0,0,2011,30.46,25.974396036,24.799999999999997,86.39999999999999,31.0
19,20,4,0,2,1,0,0,0,2011,30.46,7.837837838,24.799999999999997,86.39999999999999,10.813746259547823
20,20,4,1,2,1,0,0,0,2011,30.459999999999994,13.670753997599999,24.799999999999997,86.39999999999999,19.609739973864855
21,20,4,2,2,1,0,0,0,2011,30.459999999999994,13.670753997599999,24.799999999999997,86.39999999999999,23.65713002110472
22,20,2,0,2,1,0,0,0,2011,30.46,40.98975703,24.799999999999997,86.39999999999999,29.8
23,20,2,1,2,1,0,0,0,2011,30.459999999999994,40.17435061799999,24.799999999999997,86.39999999999999,26.31530485499917
24,20,2,2,2,1,0,0,0,2011,30.459999999999994,40.17435061799999,24.799999999999997,86.39999999999999,29.413486034908036
25,20,3,0,2,1,0,0,0,2011,30.46,40.71502173,24.799999999999997,86.39999999999999,30.1
26,20,3,1,2,1,0,0,0,2011,30.459999999999994,37.70526595,24.799999999999997,86.39999999999999,25.48729564155475
27,20,3,2,2,1,0,0,0,2011,30.459999999999994,37.70526595,24.799999999999997,86.39999999999999,28.58547682146361
28,20,5,0,2,1,0,0,0,2011,30.46,43.02884615,24.799999999999997,86.39999999999999,22.500021756658356
29,20,1,0,2,1,0,0,0,2011,30.46,5.808207008,24.799999999999997,86.39999999999999,24.8
30,20,1,1,2,1,0,0,0,2011,30.459999999999994,9.5320642842,24.799999999999997,86.39999999999999,23.505672763711928
31,20,1,2,2,1,0,0,0,2011,30.459999999999994,9.5320642842,24.799999999999997,86.39999999999999,26.603853943620795
