,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Prenatal Care,Heat and Disasters | Climate-related  Disasters,Mental Health | Electronic Bullying,Physical Activity | Teen TV Time,Sexually Transmitted Disease | HIV-Related Deaths
0,20,0,0,2,1,0,0,0,2010,68.06582572,41.25,12.450000000000001,34.15,2.551203752
1,20,0,1,2,1,0,0,0,2010,63.45515269559007,21.169999999999998,15.939106722848678,32.61194169882349,2.5161906696666665
2,20,0,2,2,1,0,0,0,2010,63.45515269559007,21.169999999999998,9.266741575283257,31.957798780343275,3.998868276
3,20,4,0,2,1,0,0,0,2010,82.2619623,21.169999999999998,10.678914586070922,24.209724729878086,0.9731774308606259
4,20,4,1,2,1,0,0,0,2010,67.166177638157,21.169999999999998,12.791794398526326,27.880401651531354,2.4650156668686205
5,20,4,2,2,1,0,0,0,2010,67.166177638157,21.169999999999998,8.329445244476338,27.825804866744324,3.4209865172552876
6,20,2,0,2,1,0,0,0,2010,63.45984113,21.169999999999998,9.950216531935906,45.41487481606888,13.94872142
7,20,2,1,2,1,0,0,0,2010,60.477300621009434,21.169999999999998,12.653168806202329,39.4962555159351,7.889119716
8,20,2,2,2,1,0,0,0,2010,60.477300621009434,21.169999999999998,9.3134679514278,39.4428365482263,18.50246828
9,20,3,0,2,1,0,0,0,2010,53.15785375,21.169999999999998,12.897140387918544,34.05515025633646,2.1278596844499997
10,20,3,1,2,1,0,0,0,2010,58.91152801161949,21.169999999999998,13.611173607782247,35.34819811919798,1.2845131579589655
11,20,3,2,2,1,0,0,0,2010,58.91152801161949,21.169999999999998,10.65594775252202,34.660395402290604,4.246638077
12,20,5,0,2,1,0,0,0,2010,66.9131681698559,21.169999999999998,11.721170560398456,33.66078571862362,3.5860365488
13,20,1,0,2,1,0,0,0,2010,84.19813542,21.169999999999998,16.808134389796436,18.218838275709174,1.702132824
14,20,1,1,2,1,0,0,0,2010,78.65024056629858,21.169999999999998,16.012911880341154,25.66791711547,1.695382961531838
15,20,1,2,2,1,0,0,0,2010,78.65024056629858,21.169999999999998,12.673211025566626,24.98011439856262,3.12256567
16,20,0,0,2,1,0,0,0,2011,69.53899597,41.25,12.450000000000001,34.15,2.55767505
17,20,0,1,2,1,0,0,0,2011,64.64796780695579,21.169999999999998,20.1,37.7,0.973466568
18,20,0,2,2,1,0,0,0,2011,64.64796780695579,21.169999999999998,11.6,35.6,4.124073964
19,20,4,0,2,1,0,0,0,2011,82.63270942,21.169999999999998,10.689234984607788,24.20811339635398,1.1603869715469106
20,20,4,1,2,1,0,0,0,2011,67.5075956347588,21.169999999999998,12.849633610777465,30.541670299516717,1.8812324084732936
21,20,4,2,2,1,0,0,0,2011,67.5075956347588,21.169999999999998,8.164740227375908,30.79672947023606,1.233514545263135
22,20,2,0,2,1,0,0,0,2011,64.87350974,21.169999999999998,11.2,49.6,13.46434132
23,20,2,1,2,1,0,0,0,2011,58.7409222136921,21.169999999999998,12.642047054832489,44.186656406828114,6.678051650333333
24,20,2,2,2,1,0,0,0,2011,58.7409222136921,21.169999999999998,9.207183712058447,43.499046973216096,18.90948812
25,20,3,0,2,1,0,0,0,2011,55.17731243,21.169999999999998,16.5,37.2,2.402225327
26,20,3,1,2,1,0,0,0,2011,53.6877043725428,21.169999999999998,13.593553514252028,35.34796216779655,1.2673780430777148
27,20,3,2,2,1,0,0,0,2011,53.6877043725428,21.169999999999998,9.56584121967515,34.660352734184535,4.126331629
28,20,5,0,2,1,0,0,0,2011,64.64796780695579,21.169999999999998,11.720018685130116,33.66001254207364,3.5384300106
29,20,1,0,2,1,0,0,0,2011,84.84131923,21.169999999999998,22.0,19.0,1.5032719
30,20,1,1,2,1,0,0,0,2011,76.20964921638968,21.169999999999998,15.999424371833696,25.68776218958119,2.5439086768613572
31,20,1,2,2,1,0,0,0,2011,76.20964921638968,21.169999999999998,13.386899897689394,25.000152755969165,2.817717763
32,20,0,0,2,1,0,0,0,2012,72.05939347,41.25,12.450000000000001,34.15,2.50041098
33,20,0,1,2,1,0,0,0,2012,69.86016442,21.169999999999998,15.20601690245376,34.52681081207811,1.012651841
34,20,0,2,2,1,0,0,0,2012,69.86016442,21.169999999999998,8.529436891422089,33.64734291753038,3.998293672
35,20,4,0,2,1,0,0,0,2012,82.92101341,21.169999999999998,11.081448307546982,24.317510567603026,1.1593976324707194
36,20,4,1,2,1,0,0,0,2012,72.027586858,21.169999999999998,12.843600889836425,33.55180036727597,1.6095451734739097
37,20,4,2,2,1,0,0,0,2012,72.027586858,21.169999999999998,8.142965745389365,33.352155729724714,1.5849109021334988
38,20,2,0,2,1,0,0,0,2012,67.03392288,21.169999999999998,8.98241089473159,47.26212681428444,12.22849008
39,20,2,1,2,1,0,0,0,2012,64.3228162,21.169999999999998,12.882316019226339,44.196436893497946,5.7623660910000005
40,20,2,2,2,1,0,0,0,2012,64.3228162,21.169999999999998,9.201484627709192,43.514417799813444,18.91245876
41,20,3,0,2,1,0,0,0,2012,58.79582002,21.169999999999998,11.241181333823633,33.814804565504495,2.403988104
42,20,3,1,2,1,0,0,0,2012,59.976260828,21.169999999999998,13.825107119319618,35.134905662200275,1.2610101124562416
43,20,3,2,2,1,0,0,0,2012,59.976260828,21.169999999999998,9.531639481240058,34.45288656851578,4.00758766
44,20,5,0,2,1,0,0,0,2012,69.86016442,21.169999999999998,11.720018685130116,33.700011518230895,3.4302867977999996
