,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Birth Control | Teen Birth Control,Dietary Quality | Teen Soda,Lead Poisoning | Child Lead Testing,Physical Activity | Teen Physical Inactivity,School Violence | Weapons in School
0,20,0,0,2,1,0,0,0,2010,18.25,23.299999999999997,10.1397925,17.450000000000003,14.2
1,20,0,1,2,1,0,0,0,2010,15.685041356296589,15.555744487563553,7.015617678,24.08623211684786,7.052508056054437
2,20,0,2,2,1,0,0,0,2010,10.265473740103252,20.48126762117485,7.015617678,12.71438163144501,21.717868068466398
3,20,4,0,2,1,0,0,0,2010,17.501202630546356,8.180409895483137,7.015617678,20.270036031565443,8.00953574053561
4,20,4,1,2,1,0,0,0,2010,14.026497962518729,11.630414211845274,7.015617677999999,21.45208736159371,6.907583850001812
5,20,4,2,2,1,0,0,0,2010,10.525832440933323,13.56137206369568,7.015617677999999,16.401454682394654,15.610004753634454
6,20,2,0,2,1,0,0,0,2010,17.257341875188864,23.343606142410124,7.015617678,23.415581414319004,12.561887633358095
7,20,2,1,2,1,0,0,0,2010,15.206958806008048,16.64581150749954,7.015617677999999,24.88019253686505,9.97288533830035
8,20,2,2,2,1,0,0,0,2010,12.316846970301334,18.55625222542834,7.015617677999999,17.52889193319344,16.21182376898937
9,20,3,0,2,1,0,0,0,2010,22.710730019187604,18.432084105840204,7.015617678,19.768237404509634,16.06687445072356
10,20,3,1,2,1,0,0,0,2010,13.872991379819554,15.818853803546181,7.015617677999999,21.19790800885626,12.794927645779465
11,20,3,2,2,1,0,0,0,2010,11.293365354429197,16.774474128805487,7.015617677999999,15.153822403533256,19.033866076468485
12,20,5,0,2,1,0,0,0,2010,17.501202630546356,22.72093003428918,7.015617678,17.1205291574404,13.86054519251435
13,20,1,0,2,1,0,0,0,2010,7.159974805358759,13.59567995819153,7.015617678,10.599750217794549,15.956406722144386
14,20,1,1,2,1,0,0,0,2010,11.838914051989425,13.734959458231277,7.015617677999999,17.93717778573373,12.065089736708936
15,20,1,2,2,1,0,0,0,2010,8.924915042538784,14.690579783490579,7.015617677999999,11.893092180410731,18.30402816739796
16,20,0,0,2,1,0,0,0,2011,18.25,23.299999999999997,10.1397925,17.450000000000003,14.2
17,20,0,1,2,1,0,0,0,2011,18.7,17.7367211057155,7.015617678,26.0,7.5
18,20,0,2,2,1,0,0,0,2011,9.8,21.578494915542155,7.015617678,12.4,24.4
19,20,4,0,2,1,0,0,0,2011,18.999980802948507,8.171733610853206,7.015617678,21.99929289018107,8.018535295048721
20,20,4,1,2,1,0,0,0,2011,16.632228552738024,14.514398927179538,7.015617677999999,21.78066886913372,6.924474904536768
21,20,4,2,2,1,0,0,0,2011,10.711201146507126,17.5067167178136,7.015617677999999,14.080397531303383,17.92435593611625
22,20,2,0,2,1,0,0,0,2011,17.4,23.82707476458765,7.015617678,24.3,13.4
23,20,2,1,2,1,0,0,0,2011,15.195040332717088,19.428332948823652,7.015617677999999,23.399716452906762,9.188562460395934
24,20,2,2,2,1,0,0,0,2011,12.31288735937846,21.42988149976262,7.015617677999999,17.87608707942851,17.65307261602552
25,20,3,0,2,1,0,0,0,2011,24.008669789384943,19.6156754181942,7.015617678,21.0,16.3
26,20,3,1,2,1,0,0,0,2011,20.441700508195172,20.6841854584154,7.015617677999999,21.014950308974917,11.498181179908869
27,20,3,2,2,1,0,0,0,2011,14.112483319191558,18.851872986917996,7.015617677999999,15.28095517840534,17.706040486740566
28,20,5,0,2,1,0,0,0,2011,18.999980802948507,22.720014845719813,7.015617678,17.12000844670266,13.86000870266334
29,20,1,0,2,1,0,0,0,2011,7.1,15.23159626220401,7.015617678,9.8,19.2
30,20,1,1,2,1,0,0,0,2011,11.843264960307108,18.561977680607328,7.015617677999999,16.324088026168923,11.251184772026486
31,20,1,2,2,1,0,0,0,2011,8.929815673652204,20.56352623154629,7.015617677999999,11.393307604493506,19.71569492765607
32,20,0,0,2,1,0,0,0,2012,18.25,23.299999999999997,10.1397925,17.450000000000003,14.2
33,20,0,1,2,1,0,0,0,2012,16.779647023718095,18.76034570891993,7.015617678,22.976593790198624,7.116928600563047
34,20,0,2,2,1,0,0,0,2012,10.58826933676541,21.44185418260916,7.015617678,12.60877388388378,20.824000863317327
35,20,4,0,2,1,0,0,0,2012,17.02003148316444,8.170354808999996,7.015617678,19.814289400973674,7.329906966939406
36,20,4,1,2,1,0,0,0,2012,16.747308270046506,14.532746824944653,7.015617677999999,21.26075845609998,8.01866923162237
37,20,4,2,2,1,0,0,0,2012,10.735963359157003,16.348153555442682,7.015617677999999,14.062470569583708,18.4134760690278
38,20,2,0,2,1,0,0,0,2012,16.24963584417267,25.048696816882664,7.015617678,22.982355778063784,12.673286437276598
39,20,2,1,2,1,0,0,0,2012,18.562884307270224,23.746758771267675,7.015617677999999,23.370570549289443,9.167601293871058
40,20,2,2,2,1,0,0,0,2012,12.817090129689985,24.58497151498976,7.015617677999999,17.864335112910837,17.657802750990395
41,20,3,0,2,1,0,0,0,2012,24.102555221454747,18.89693605423892,7.015617678,18.414604767583697,15.42698528689683
42,20,3,1,2,1,0,0,0,2012,20.56686896656869,20.759458600669863,7.015617677999999,21.00356310650206,11.499406148916325
43,20,3,2,2,1,0,0,0,2012,14.201102618863407,21.597671344391948,7.015617677999999,15.279940614891634,17.65763737718519
