,city_idx,encoded_strata_race_label,encoded_strata_sex_label,encoded_geo_strata_region,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Cardiovascular Disease | High Blood Pressure,Income | Poverty and Near Poverty in All Ages,Mental Health | Teen Suicidal Ideation,Respiratory Disease | Teen Asthma,Substance Use | Adult Binge Drinking
0,20,0,0,2,1,0,0,0,2010,23.4,37.98052897,12.25,21.7,21.4
1,20,0,1,2,1,0,0,0,2010,31.28,37.959373412,14.482366328758136,23.071605618193047,16.339999999999996
2,20,0,2,2,1,0,0,0,2010,31.28,37.959373412,10.968169536599614,24.18060950513657,16.339999999999996
3,20,4,0,2,1,0,0,0,2010,31.28,37.959373412,12.94790909072886,20.421399749385547,16.339999999999996
4,20,4,1,2,1,0,0,0,2010,31.279999999999994,37.959373412,14.657185224287337,21.87903561846014,16.339999999999996
5,20,4,2,2,1,0,0,0,2010,31.279999999999994,37.959373412,11.464377847513463,22.462899127303633,16.339999999999996
6,20,2,0,2,1,0,0,0,2010,31.28,37.959373412,11.900503947657656,28.556303491616916,16.339999999999996
7,20,2,1,2,1,0,0,0,2010,31.279999999999994,37.959373412,13.626350281461395,24.194309323968827,16.339999999999996
8,20,2,2,2,1,0,0,0,2010,31.279999999999994,37.959373412,11.834649955037989,24.518485178257652,16.339999999999996
9,20,3,0,2,1,0,0,0,2010,31.28,37.959373412,13.681893004246614,20.54552911024223,16.339999999999996
10,20,3,1,2,1,0,0,0,2010,31.279999999999994,37.959373412,14.655410894249952,22.410306690333197,16.339999999999996
11,20,3,2,2,1,0,0,0,2010,31.279999999999994,37.959373412,12.709920568020822,22.69603504467059,16.339999999999996
12,20,5,0,2,1,0,0,0,2010,31.28,37.959373412,12.12020845596137,21.160865893993375,16.339999999999996
13,20,1,0,2,1,0,0,0,2010,31.28,37.959373412,12.303056154921206,21.168798276874746,16.339999999999996
