,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Diabetes and Obesity | Diabetes,Income-related | Excessive Housing Cost,Physical Activity | Teen Computer Time,"Respiratory Infection | Flu Vaccinations, Medicare",Substance Use | Teen Smoking
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,7.7,24.709967207652863,38.2,50.0,11.6
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.04286577026235,24.595424660606625,35.789389180377945,50.714257802092405,9.302882590556916
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.04286577026235,24.595424660606625,37.053746874923256,50.714257802092405,13.059911264154692
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.04286577026235,24.595424660606625,36.61434204916869,44.263170291277376,13.028520676424613
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.042861456751309,24.59539823354479,37.725936049934624,44.28570668275538,7.651264141209584
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.042861456751309,24.59539823354479,37.63568509737901,44.28570668275538,9.934741424767392
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.04286577026235,24.595424660606625,39.984471227071054,33.3158514563869,8.369528508045823
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.042861456751309,24.59539823354479,40.741934418009905,33.42853341377692,7.514971048576201
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.042861456751309,24.59539823354479,40.399485418027474,33.42853341377692,9.12940309883408
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.04286577026235,24.595424660606625,40.94164691080061,36.73682970872262,13.724963909674855
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.042861456751309,24.59539823354479,40.07093696592064,36.71429331724462,10.11507738820208
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.042861456751309,24.59539823354479,40.29967359624584,36.71429331724462,11.729509438459958
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,10.04286577026235,24.595424660606625,36.614342049168684,50.00003552460967,13.15708753730283
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,10.04286577026235,24.595424660606625,31.13706641944242,54.42121378660595,14.301171445599628
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,10.042861456751309,24.59539823354479,36.07021392562909,54.714186875820005,10.572110731748067
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,10.042861456751309,24.59539823354479,36.127594866862005,54.714186875820005,12.44357631564438
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,7.7,24.75222638976589,38.2,50.0,11.6
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.485683597564224,24.595424667197786,32.0,50.42856889236068,11.5
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,10.485683597564224,24.595424667197786,35.0,50.42856889236068,16.2
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,10.485683597564224,24.595424667197786,37.85705333049283,43.999958573263186,13.028550632012498
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.485698940958198,24.59539823519813,38.03518191374074,43.85717327276681,8.109705334609213
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,10.485698940958198,24.59539823519813,36.64455491747191,43.85717327276681,9.951380630801463
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,10.485683597564224,24.595424667197786,36.1,33.25005178342102,11.0
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,10.485698940958198,24.59539823519813,40.74193430299733,33.4285334090415,7.514971134030234
