,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Deaths | Police Killings,Income | Poverty in All Ages,Oral Health | Dental Care,"Respiratory Infection | COVID-19 Vaccination, Adults",Substance Use | Teen Alcohol
0,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,0.695747522,19.39894657,62.4,71.50737648382764,31.1
1,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.6581243736308995,18.018132549483298,59.71422938240466,71.52854068204788,32.009842394543405
2,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.6581243736308995,18.018132549483298,59.71422938240466,71.52854068204788,31.60248791470763
3,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2010,0.7087994422857141,16.84774675,59.71422938240466,71.52854068204788,33.32849225522241
4,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.7087994422857141,12.860824796302955,59.7142575470944,71.5285560441509,30.184329004626406
5,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.7087994422857141,12.860824796302955,59.7142575470944,71.5285560441509,27.35240469337336
6,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,4.656013707,27.08774905,59.71422938240466,71.52854068204788,26.393004436792257
7,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,2.0820288597407948,27.908557218537275,59.7142575470944,71.5285560441509,27.429912989819112
8,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,2.0820288597407948,27.908557218537275,59.7142575470944,71.5285560441509,27.130115182815594
9,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,0.356257811,29.58054448,59.71422938240466,71.52854068204788,35.076139328521286
10,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.617029067295668,28.04384884558873,59.7142575470944,71.5285560441509,31.886631572499077
11,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.617029067295668,28.04384884558873,59.7142575470944,71.5285560441509,30.58725891245721
12,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2010,0.7087994422857141,28.60142797,59.71422938240466,71.52854068204788,33.32849225522241
13,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2010,0.486660277,11.1761529,59.71422938240466,71.52854068204788,37.56941129726507
14,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2010,0.5119284699889874,10.178219682769605,59.7142575470944,71.5285560441509,34.143692934917944
15,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2010,0.5119284699889874,10.178219682769605,59.7142575470944,71.5285560441509,34.05808973927979
16,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,0.695747522,19.39894657,62.4,71.50539250049601,31.1
17,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,0.6818299899481244,17.787690839165943,58.82859374722602,71.528540678188,33.1
18,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,0.6818299899481244,17.787690839165943,58.82859374722602,71.528540678188,35.0
19,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2011,1.2510769558571428,16.84774675,58.82859374722602,71.528540678188,30.78576196562988
20,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2011,1.2510769558571428,13.285557311337369,58.82858258839404,71.52855604317419,30.37605608828697
21,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2011,1.2510769558571428,13.285557311337369,58.82858258839404,71.52855604317419,27.385674405669057
22,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,4.656013707,27.08774905,58.82859374722602,71.528540678188,29.5
23,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,2.873772884980755,27.366174068485986,58.82858258839404,71.52855604317419,27.42991315718988
24,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,2.873772884980755,27.366174068485986,58.82858258839404,71.52855604317419,27.986893775374003
25,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,0.356257811,29.58054448,58.82859374722602,71.528540678188,40.8
26,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,0.6170313824014965,28.607049111212035,58.82858258839404,71.52855604317419,31.886631686879877
27,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,0.6170313824014965,28.607049111212035,58.82858258839404,71.52855604317419,30.587259105091782
28,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2011,1.2510769558571428,28.60142797,58.82859374722602,71.528540678188,33.328650558346794
29,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,0.486660277,11.1761529,58.82859374722602,71.528540678188,38.6
30,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,0.49040303726532575,9.648120224948782,58.82858258839404,71.52855604317419,34.35788763918989
31,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,0.49040303726532575,9.648120224948782,58.82858258839404,71.52855604317419,32.844320457405004
32,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,0.695747522,19.39894657,62.4,71.50300005104607,31.1
33,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,0.7354238277708455,17.451721212128827,58.65718037441221,71.5285406743329,32.2769724814439
34,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,0.7354238277708455,17.451721212128827,58.65718037441221,71.5285406743329,31.64182496967725
35,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2012,0.6642815027142858,16.84774675,58.65718037441221,71.5285406743329,29.80004613855764
36,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2012,0.6642815027142858,13.641275006209211,58.65716161660972,71.52855604219971,30.184170451810623
37,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2012,0.6642815027142858,13.641275006209211,58.65716161660972,71.52855604219971,27.351932964939586
38,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,4.656013707,27.08774905,58.65718037441221,71.5285406743329,26.395226333228425
39,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,1.973107478224062,27.507823417041436,58.65716161660972,71.52855604219971,29.28612337209843
40,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,1.973107478224062,27.507823417041436,58.65716161660972,71.52855604219971,27.129751855735268
41,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,0.356257811,29.58054448,58.65718037441221,71.5285406743329,33.04698469894728
42,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,0.6170313846989577,27.941857930261023,58.65716161660972,71.52855604219971,31.886272103997108
43,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,0.6170313846989577,27.941857930261023,58.65716161660972,71.52855604219971,30.586739806966726
44,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2012,0.6642815027142858,28.60142797,58.65718037441221,71.5285406743329,32.257101788756394
45,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,0.486660277,11.1761529,58.65718037441221,71.5285406743329,38.42722434589502
46,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,0.5632303394745097,9.7777419261026,58.65716161660972,71.52855604219971,34.35778173366815
47,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,0.5632303394745097,9.7777419261026,58.65716161660972,71.52855604219971,34.05789519252602
48,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2013,0.695747522,15.42714908,62.4,71.50005851517736,31.2
49,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2013,0.6549984919435646,15.908461921008461,58.08580245818776,71.52854067048253,34.2
50,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2013,0.6549984919435646,15.908461921008461,58.08580245818776,71.52854067048253,34.6
51,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2013,1.6971152537142857,14.45195611,58.08580245818776,71.52854067048253,27.928571428571423
52,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2013,1.6971152537142857,14.555030313396058,58.08575837390587,71.52855604122747,29.48382823149716
