,encoded_strata_race_label_0,encoded_strata_race_label_1,encoded_strata_race_label_2,encoded_strata_race_label_3,encoded_strata_race_label_4,encoded_strata_race_label_5,encoded_strata_sex_label_0,encoded_strata_sex_label_1,encoded_strata_sex_label_2,encoded_geo_strata_region_0,encoded_geo_strata_region_1,encoded_geo_strata_region_2,encoded_geo_strata_region_3,encoded_geo_strata_poverty,encoded_geo_strata_Population,encoded_geo_strata_PopDensity,encoded_geo_strata_Segregation,date_label,Births | Teen Births,Deaths | Infant Deaths,Food Access | Limited Supermarket Access,Income Inequality | Household Income Inequality,Lead Poisoning | Child Lead Levels 5+ mcg/dL,"Racial Segregation Indices | Racial Segregation, White and Hispanic",Transportation | Lack of Car
27,False,False,False,True,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,38.17204494200001,4.9131390644,60.222041388,0.1950143718,1.3570268156679743,46.204842518,6.804274219400001
28,False,False,False,False,False,True,True,False,False,False,False,True,False,1,0,0,0,2011,25.5316723458,5.801096266800001,60.222041388,0.1950143718,1.537351706169301,46.20484251800001,6.8042742194
29,False,True,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2011,11.99804114,4.875738525,60.222041388,0.1950143718,1.537351706169301,46.20484251800001,6.8042742194
30,False,True,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2011,7.904436341400001,4.167648679600001,60.222041388,0.1950143718,1.3570268156679743,46.204842518,6.804274219400001
31,False,True,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2011,7.904436341400001,4.167648679600001,60.222041388,0.1950143718,1.3570268156679743,46.204842518,6.804274219400001
32,True,False,False,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,38.36715616,6.6678260976,63.14366606,0.003340583,1.927904408,49.97393478,7.104797372
33,True,False,False,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,20.138076641999998,5.7404352556,60.222041387999994,0.19501437179999997,1.5373517153773226,46.204842518,6.804274219399998
34,True,False,False,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,20.138076641999998,5.7404352556,60.222041387999994,0.19501437179999997,1.5373517153773226,46.204842518,6.804274219399998
35,False,False,False,False,True,False,True,False,False,False,False,True,False,1,0,0,0,2012,3.839066339,4.043012208479578,60.222041387999994,0.19501437179999997,1.5373517153773226,46.204842518,6.804274219399998
36,False,False,False,False,True,False,False,True,False,False,False,True,False,1,0,0,0,2012,7.425555596939981,3.1623837336734995,60.22204138800001,0.19501437179999997,1.357026891350626,46.204842518,6.804274219399999
37,False,False,False,False,True,False,False,False,True,False,False,True,False,1,0,0,0,2012,7.425555596939981,3.1623837336734995,60.22204138800001,0.19501437179999997,1.357026891350626,46.204842518,6.804274219399999
38,False,False,True,False,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,60.96582705,11.5757892014,60.222041387999994,0.19501437179999997,1.5373517153773226,46.204842518,6.804274219399998
39,False,False,True,False,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,27.200189525999992,10.127415556399999,60.22204138800001,0.19501437179999997,1.357026891350626,46.204842518,6.804274219399999
40,False,False,True,False,False,False,False,False,True,False,False,True,False,1,0,0,0,2012,27.200189525999992,10.127415556399999,60.22204138800001,0.19501437179999997,1.357026891350626,46.204842518,6.804274219399999
41,False,False,False,True,False,False,True,False,False,False,False,True,False,1,0,0,0,2012,70.02936813,5.8183458314,60.222041387999994,0.19501437179999997,1.5373517153773226,46.204842518,6.804274219399998
42,False,False,False,True,False,False,False,True,False,False,False,True,False,1,0,0,0,2012,38.172044942,4.9131390644,60.22204138800001,0.19501437179999997,1.357026891350626,46.204842518,6.804274219399999
